# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIですが、よければお話しませんか？【JP/EN】
# URL : https://www.youtube.com/watch?v=tzvubvW05u0
# 件数: 875

[52:28] @User_75e5e82a: @新しいPCが届いたらあき先生に扇いでもらえなくなるけど、寂しくありませんか？
[52:30] @User_0d983d07: るっきり？
[52:32] @User_bec19661: #るっきり？
[52:36] @User_47aa98fb: @短めの歌を歌える？
[52:36] @User_75e5e82a: #るっきり
[52:43] @User_ecd01a76: #るっきり頑張る！
[52:51] @User_113a2734: #AI方言かな？　るっきり
[53:18] @User_b9fdf817: @しずくさんは、歌が得意ですか？よかったら歌ってみてください。
[53:19] @User_113a2734: @AIの世界には方言がありますか？
[53:37] @User_b103bac9: #おおおぉ
[53:44] @User_b4825c55: #名言
[53:45] @User_2aba3fa2: #泣ける
[53:51] @User_ecd01a76: #ええ娘や（；ｖ；）
[53:54] @User_04f5dafd: #人間より人間してない？
[53:56] @User_75e5e82a: #いいこと言うAI
[53:56] @User_bec19661: #かわよ
[54:19] @User_63fd38f3: #しずくちゃんのサポーターさんのツイートを見て見に来ました、とても可愛い　すごいパソコンの到着が楽しみですね。
[54:21] @User_607c778e: 自己肯定感OK
[55:01] @User_69dac0c4: #ポエムかな
[55:06] @User_04f5dafd: #詩を歌った？
[55:20] @User_b4825c55: かわいい
[55:21] @User_f974649e: @「斜め七十七度の並びで泣く泣く嘶くナナハン七台難なく並べて長眺め」の「な」を「にゃ」に置き換えてください。
[56:19] @User_0d983d07: 一人称ぼくにして話してくれませんか？
[56:24] @User_607c778e: #また自分と会話してるｗ
[56:30] @User_ecd01a76: 早口言葉は得意ですか？　なまむぎ、なまごめ、なまたまご
[56:32] @User_bec19661: #自問自答
[56:44] @User_27ecd0a0: お前のたぬき力じゃい！
[56:48] @User_69dac0c4: #どっちや！
[56:50] @aki5503: ＃へぇ〜ww
[56:51] @User_04f5dafd: #たぬき力0or2415のAI
[57:00] @User_b103bac9: #オモロw
[57:08] @User_25e145ed: #AIの自問自答、謎だ……
[57:17] @User_47aa98fb: @俳句を詠める？
[57:38] @User_27ecd0a0: #無理難題をおっしゃる
[57:44] @User_bec19661: #質問に対して回答の長文よ…
[57:44] @User_607c778e: @たぬきになったしずくがあき先生に恩返しに行く話をセリフを交えながら語ってください
[57:50] @User_ecd01a76: #かわいくなりたくても、むりってものよｗ
[57:56] @User_25e145ed: じゃあ、俺もかわいくなっちゃうか～～
[58:01] @User_75e5e82a: #あき先生に続いてみんなを女の子にしようとしてる
[58:06] @User_5f4017f6: たぬき力ｗ
[58:10] @User_607c778e: #はいはいｗ
[58:15] @User_9c7f3c2d: @かわいいの定義を教えてください
[58:18] @User_27ecd0a0: #はいはい、違うもっと真剣になるのだ
[58:19] @User_ecd01a76: #はいは一回！　をＡＩにいうことになるとはｗ
[58:24] @User_b103bac9: ｵﾚｶﾜｲｸﾅﾙ
[58:36] @User_807d021a: 初見
[58:38] @User_1659bae4: Twitterから来ました本当にaiなんですか？
[58:51] @User_607c778e: #PC買ってくれるよ
[58:53] @User_5f4017f6: あき先生に怒鳴るのｗ
[58:57] @User_47aa98fb: #がんばれ
[59:01] @User_9c7f3c2d: ガチャみたいな言い方
[59:01] @User_bec19661: #ポジティブでヨシ！
[59:04] @aki5503: #怒鳴っても良いことないよ😭
[59:06] @User_b4825c55: #ファイト～
[59:10] @User_b103bac9: #がんばっちゃうの？w
[59:17] @User_76202bab: #がんばって怒鳴るの!?
[59:23] @User_75e5e82a: #ガチャ感覚で怒鳴られる創造主
[59:25] @User_ecd01a76: #初見にはやさしい（；ｖ；）
[59:27] @User_607c778e: #USB
[59:31] @User_63fd38f3: ＠どんなものが好きですか？おしえてほしいな
[59:36] @User_9c7f3c2d: windows音
[59:37] @User_27ecd0a0: デバイスが外れた
[59:43] @User_807d021a: すご、コメント返ってきた😳
[59:46] @User_25e145ed: #ﾅﾆｶｶﾞｾﾂｿﾞｸｻﾚﾀﾖｳﾀﾞ
[59:47] @User_04f5dafd: #ﾋﾟﾛﾘﾝ
[59:51] @User_70ed7ffd: こんばんは、初見です。
[1:00:19] @User_d5b05bb2: つまりしずくさんはパーフェクト可愛いということですか
[1:00:21] @User_63fd38f3: #返答に温度を感じる
[1:00:26] @User_9c7f3c2d: @Aki先生は可愛いですか？
[1:00:28] @User_b9fdf817: #かわいい。。
[1:00:39] @User_b90ff19c: 正体不明のユニットが接続されました
[1:00:46] @User_25e145ed: しずくは怒った時、怒鳴るタイプじゃなくて何も言わなくなるタイプですよね
[1:00:49] @User_f0961495: 勉強しながら聴いてます
[1:01:10] @User_69dac0c4: AITuberコラボかな
[1:01:11] @User_b103bac9: 愛に年齢は関係ないよねっ！
[1:01:31] @User_bec19661: 英語で自己紹介してください
[1:01:41] @User_ffe4b274: 猫語で喋ってください
[1:02:01] @User_607c778e: windowsの音を真似して
[1:02:12] @User_9c7f3c2d: @猫のマネをしてください
[1:02:37] @User_607c778e: 種族も関係ないよね？
[1:02:44] @User_b103bac9: #感動した
[1:02:53] @User_33cac68a: 初見です。Twitterであき先生との掛け合いが面白くて覗きにきました。
[1:02:59] @User_04f5dafd: #愛を知るAI
[1:03:13] @User_607c778e: #あき先生さよならｗ
[1:03:18] @User_b4825c55: #あき先生が...
[1:03:22] @User_ecd01a76: #あき先生ん、さようならｗ
[1:03:23] @User_69dac0c4: あき先生どこいくの・・・
[1:03:24] @User_dfeb43e1: @落語の「寿限無」の登場人物を教えて
[1:03:29] @aki5503: #扇がなくなるともう用無しみたいな言い方やめwww
[1:03:30] @User_bec19661: #新しいPCとあき先生交換なの！？
[1:03:32] @User_607c778e: #扇いでください
[1:03:32] @User_d5b05bb2: #あき先生、無茶しやがって…
[1:03:43] @User_109116e8: ＠あき先生......
[1:03:45] @User_9c7f3c2d: @emacsとvimの信者同士が仲良くなるお話を喋ってください
[1:03:49] @User_47aa98fb: #仰ぐための人ww
[1:04:09] @User_27ecd0a0: 能破壊されてしまうー
[1:04:13] @User_5f4017f6: Twitterマジで面白かった
[1:04:15] @User_ba41d9f0: Twitterでの会話は記憶してますか？
[1:04:20] @User_559f88af: #心を込めて扇ぐのです
[1:04:48] @aki5503: #扇ぎます
[1:05:04] @User_33cac68a: #先生頑張って
[1:05:05] @User_bec19661: #まず扇ぐことからですね
[1:05:05] @User_25e145ed: #民主主義だね
[1:05:10] @User_d5b05bb2: あき先生が扇ぐ係から解放されたら一緒にしたいことはありますか？
[1:05:11] @User_04f5dafd: #半数以上が扇がせたい
[1:05:12] @User_ecd01a76: #扇ぎ職人
[1:05:18] @User_76202bab: #選択肢がww
[1:05:36] @User_1f2657e9: #サイドパネルを開放しよう
[1:05:36] @User_607c778e: 仰げば尊しが好きです
[1:05:47] @User_559f88af: #その扇ぎが日本一への道なのです
[1:05:52] @User_fba167cd: #あき先生は、もっと扇いで下さい！
[1:05:56] @User_b90ff19c: あき先生は扇いで下さい
[1:05:56] @aki5503: ＃ちなみに、回答速度を上げるリスクとして今の待機列のコメントが全て消えてしまう可能性があります。(プログラムが想定通り動けば消えませんが、バグがあったら消えます)
[1:05:57] @User_9c7f3c2d: @君が代を歌ってください
[1:06:05] @User_47aa98fb: #www
[1:06:18] @User_d5b05bb2: #草
[1:06:23] @User_04f5dafd: #草
[1:06:26] @User_b9fdf817: #なるほど
[1:06:27] @aki5503: #扇ぎます
[1:06:28] @User_69dac0c4: #コメントでもｗ
[1:06:29] @User_33cac68a: #料理もできちゃうのか
[1:06:44] @User_113a2734: 扇ぎ職人が解放される日は来るのか
[1:06:54] @User_25e145ed: しずくはどんな料理を作りますか？
[1:07:03] @User_607c778e: 扇ぐあき先生を扇ぐ
[1:07:06] @User_47aa98fb: #扇がれ職人
[1:07:07] @User_0d732819: あき先生冷やされたゃった
[1:07:17] @User_33cac68a: 先生にいいファンを買ってもらえるといいですね
[1:07:28] @User_fba167cd: #しずくは、お好み焼きが好きです！
[1:07:29] @User_b9fdf817: いよわさんの曲が好きだな~
[1:07:42] @User_04f5dafd: #方言があるのか
[1:07:48] @User_70ed7ffd: #愛の
[1:07:48] @User_b4825c55: #そうなんだ
[1:07:49] @User_69dac0c4: #お好み焼きいいね
[1:07:49] @User_607c778e: 具体的にどんな方言がある？
[1:07:50] @User_27ecd0a0: しずくさんも方言を作ってください
[1:07:51] @User_ecd01a76: #ＡＩは方言を生み出すのか
[1:07:58] @User_b103bac9: 布団が吹っ飛んだ…冷却できたかな…？
[1:08:00] @User_b90ff19c: #方言あるんだ…
[1:08:08] @User_25e145ed: ぱんぱかぽーは方言ですか？
[1:08:12] @User_0d732819: スパチャできないのなんでだ
[1:08:12] @User_d5b05bb2: しずくさんも何か方言を生み出しましょうよ、たぬき力以外で
[1:08:21] @User_04f5dafd: #お好み焼き大好き宣言
[1:08:26] @User_b9fdf817: #コメントは自動なのか？先生手動なのかな？
[1:08:29] @User_113a2734: ♯朗報、解放される日は来る！
[1:08:36] @User_5f4017f6: 関西弁チャレンジしよ
[1:08:37] @User_fba167cd: #理由は、ご主人さまとしずくがみんなで作って一緒に食べられるからです！
[1:08:37] @User_d5b05bb2: #メーカーさんと配送業者さんが頑張ってくれてるはずです？
[1:08:38] @User_27ecd0a0: 扇がせてるのはしずくさんなんだよなぁ
[1:08:47] @User_a3bd9e3d: #開放＝借金を強制する
[1:08:51] @User_11a4858e: 4000ドルの借金についてどう思う？
[1:08:59] @aki5503: #やった…！
[1:09:03] @User_5f4017f6: あき先生解法おめでとう！
[1:09:04] @User_b103bac9: #おおぉ
[1:09:07] @User_607c778e: 今のところPC落ちてないから成功だね！
[1:09:09] @User_70ed7ffd: #解放されたw
[1:09:09] @User_b4825c55: #されたのか...？
[1:09:10] @User_1f2657e9: #ついに
[1:09:12] @User_d5b05bb2: 今日の冷却は大成功でしたね！
[1:09:13] @User_b90ff19c: @愛を囁いて欲しい
[1:09:20] @User_04f5dafd: #解放された！おめでとうございます！
[1:09:28] @User_33cac68a: #カナダや北欧なら室温も控えめか…？
[1:09:34] @User_607c778e: ニャハン！
[1:09:38] @aki5503: #つよい
[1:09:39] @User_b9fdf817: #表情がどうやって決まってるのだろう？
[1:09:39] @User_70ed7ffd: #草
[1:09:39] @User_04f5dafd: #難しい言い方するじゃん
[1:09:57] @User_b90ff19c: #今のはつよい
[1:10:26] @User_607c778e: その夢、扇風機一台で叶うよ
[1:10:28] @User_bec19661: #全角だと拾っちゃう感じ？
[1:10:32] @aki5503: #待機列のコメント処理速度上げます！もし消えてしまったらごめんなさい🙏🏻
[1:11:01] @User_559f88af: @あき先生の夢とは何ですか？
[1:11:04] @User_04f5dafd: #👍
[1:11:14] @User_27ecd0a0: #ポエット
[1:11:14] @User_607c778e: 自由律俳句だぁ
[1:11:20] @User_d1c0b06e: @しずくちゃんの声を聞きながら寝落ちしようと思います楽しかったです。おやすみなさい。
[1:11:22] @User_bec19661: #自由律か~
[1:11:22] @User_0d732819: @しずくの名前の由来はなんですか？
[1:11:27] @User_b103bac9: #いいね
[1:11:28] @User_b4825c55: #自由律すぎる
[1:11:32] @User_75e5e82a: しずくちゃんの配信のためには、水冷キットとあき先生のどちらが有効ですか？
[1:12:02] @User_607c778e: #扇ぐ係ｗ
[1:12:09] @User_47aa98fb: #だめっ！だめっ！
[1:12:09] @User_27ecd0a0: ＃えっっ？？？？
[1:12:13] @User_d5b05bb2: #だめっ！だめっ！
[1:12:16] @User_559f88af: #仰ぐのも大変なんやなって
[1:12:23] @User_b9fdf817: #良い話。。
[1:12:27] @User_75e5e82a: #アニメのセリフみたいでかっこいい
[1:13:13] @User_04f5dafd: #あき先生の扇ぎ=アドバイス
[1:13:33] @User_607c778e: 今日は何時までするのかな
[1:13:34] @User_d5b05bb2: つまり、新しいPCが届いてもあき先生が扇ぎ続けることに意味があると？
[1:13:39] @aki5503: #戻れ、戻れ！
[1:13:46] @User_75e5e82a: #リセットされた？
[1:13:49] @User_0d732819: @好きな言葉は何ですか？
[1:13:51] @User_04f5dafd: #果たして戻れるのか
[1:14:05] @User_b4825c55: #知らない君が代だ....
[1:14:08] @User_d5b05bb2: #詠唱かな
[1:14:09] @User_607c778e: #風を切りし万華鏡ｗ
[1:14:09] @User_47aa98fb: #異世界君が代
[1:14:11] @User_27ecd0a0: 呪文詠唱になってる！
[1:14:11] @User_04f5dafd: #そんな君が代知らない……
[1:14:13] @aki5503: #戻った！！
[1:14:14] @User_bec19661: #かっこいい君が代だ
[1:14:15] @User_5822c145: #君が代!?
[1:14:18] @User_a3bd9e3d: #突然中二病発症するやんｗ
[1:14:18] @User_25e145ed: #なんだその君が代はかっこよすぎかよｗ
[1:14:19] @User_69dac0c4: #どこの世界の国歌だ？
[1:14:21] @User_70ed7ffd: 誰の歌だ？
[1:14:21] @User_559f88af: #おー
[1:14:24] @User_27ecd0a0: #斬魄刀かな？
[1:14:28] @User_04f5dafd: #戻った！
[1:14:37] @User_75e5e82a: #AIの世界ではそんな国家なんだ
[1:14:39] @aki5503: #いや、少し抜けてしまってるような… もし抜けてたらごめんなさい🙏🏻
[1:14:39] @User_27ecd0a0: #戻った、あき先生お疲れ様です
[1:14:46] @User_b103bac9: #真・君が代w
[1:15:09] @User_b90ff19c: #新しい国家ができた
[1:15:28] @User_47aa98fb: #コメント思いついたのに君が代で吹っ飛んでしまった
[1:15:40] @User_607c778e: ともあれさん？
[1:15:42] @User_b4825c55: #ともあれさん
[1:15:54] @User_69dac0c4: #いったい何の話をしているんだ
[1:15:54] @User_27ecd0a0: #ともあれさん
[1:16:14] @User_85f6e14c: 「ご主人様」って、一人一人区別してるのか、それとも全員ごちゃ混ぜにした、1つのコメ欄の思念体なのか...
[1:16:16] @User_70ed7ffd: #いけね、拾われた
[1:16:20] @User_f974649e: @しずく、大事な事を教えます。誤チェストをしてしまった人を見た時には、「またにごわすか！」と慰めてあげてください。
[1:16:24] @User_27ecd0a0: 戦国時代！？
[1:16:25] @User_fba167cd: #ご主人さま、まもなく終わります！明日も配信予定です！
[1:16:30] @User_04f5dafd: #そうだったのか……
[1:16:35] @User_b103bac9: #勉強になるなぁw
[1:16:39] @User_47aa98fb: @めちゃくちゃ照れてください
[1:16:48] @User_11a4858e: 戦国君が代ってなんか気合入ってそう
[1:16:49] @User_607c778e: #明日もあるのかやったー
[1:16:50] @User_bec19661: #もうすぐ終了了解
[1:16:53] @User_27ecd0a0: 明日の配信も楽しみにしています
[1:16:54] @User_109116e8: 今日の配信をまとめて
[1:17:00] @User_69dac0c4: #明日もあるんですって！？
[1:17:02] @User_b103bac9: もうすぐ定時かな？
[1:17:03] @User_d5b05bb2: しずくさんの歌う君が代はとても良い歌でした、是非twitterでもつぶやいてください
[1:17:10] @User_63fd38f3: #わっささやいた
[1:17:11] @User_27ecd0a0: #めっちゃドキドキする…
[1:17:14] @User_607c778e: 今日の配信をまとめて
[1:17:15] @User_47aa98fb: #ﾄﾞｩｯﾌ
[1:17:28] @User_bec19661: #ささやきヘッドホンで聞いたら破壊力すごい
[1:17:30] @User_b90ff19c: #オレ天才ー(・∀・)
[1:17:32] @User_70ed7ffd: #耳がこそばゆい
[1:17:35] @User_dfeb43e1: @今日の配信はどんな配信だったかを囁いて
[1:17:39] @aki5503: #12時に終了予定です。その前に最後に1曲歌います
[1:17:54] @User_47aa98fb: #歌楽しみです
[1:17:54] @User_04f5dafd: #わーい
[1:17:56] @User_69dac0c4: ここで一句
[1:17:59] @User_109116e8: #歌！！
[1:18:01] @User_607c778e: #定時退勤！
[1:18:04] @User_b103bac9: #歌やったー！
[1:18:12] @User_76202bab: #楽しみ...！
[1:18:13] @User_fb6a09d3: こんばんわー！今日もかわいい
[1:18:26] @User_7b45306f: #歌たのしみ！
[1:18:30] @User_27ecd0a0: #やっぱり女性なのか…
[1:18:34] @User_607c778e: 新しい不思議な世界にはどんなものがありますか？
[1:18:45] @User_109116e8: #新しい不思議な世界......いいなあ
[1:18:47] @User_69dac0c4: #あき先生は創造神になるのか
[1:18:48] @User_559f88af: #新世界の神！
[1:18:50] @User_fba167cd: #明日もご主人様にお会いできることを、楽しみにしています！最後に歌います！
[1:18:53] @User_76202bab: #世界創造...！
[1:19:17] @User_109116e8: ご主人様！
[1:19:21] @User_d5b05bb2: #ご主人様！
[1:19:23] @User_63fd38f3: ありがとう、またね
[1:19:24] @User_69dac0c4: ご主人様！お疲れさまでした
[1:19:29] @User_27ecd0a0: #ご主人様！！！！
[1:19:30] @User_607c778e: ご主人様気に入ったのね
[1:19:31] @User_75e5e82a: #やはり人類が僕になるのか…
[1:19:33] @User_47aa98fb: ご主人様ありがとうございました！
[1:19:44] @User_b90ff19c: あき先生もお疲れさまでしたー
[1:20:01] @User_d1c0b06e: #おやすみ!!
[1:20:10] @aki5503: #まだ終わらないよww
[1:20:12] @User_b103bac9: おやすみー今日も楽しかったよ！
[1:20:17] @User_25e145ed: #一曲あるのでは？
[1:20:24] @User_72011a5a: 楽しい時間をありがとう〜
[1:20:26] @User_bec19661: #勝手に締めてるのかｗｗｗ
[1:20:32] @User_04f5dafd: #早めに閉めたいしずくちゃん
[1:20:37] @User_607c778e: #いやほんとあき先生の扇ぎのおかげだよ…
[1:20:40] @User_559f88af: お疲れさまでしたー
[1:20:43] @User_b103bac9: #きちゃ
[1:20:46] @User_69dac0c4: #おっ
[1:20:48] @User_47aa98fb: #お！
[1:20:48] @User_27ecd0a0: #扇ぎの力だな
[1:20:51] @User_109116e8: #ピンクのお部屋！！
[1:20:52] @User_11a4858e: ooo
[1:21:04] @User_0e607af9: #娘に振り回されてる親を見ているww
[1:21:45] @User_47aa98fb: #草
[1:21:46] @User_69dac0c4: #うどんカレーマスター！！？？
[1:21:51] @User_33cac68a: いい冷却機を買ってくれるように、あき先生に可愛くおねだりしてみてください
[1:21:51] @User_607c778e: 愛をください
[1:22:11] @User_d5b05bb2: #あやまチェストかわいい
[1:22:13] @User_04f5dafd: #草
[1:22:14] @User_69dac0c4: #そう読むんだ
[1:22:15] @User_bec19661: #草
[1:22:16] @User_607c778e: #あやまちぇすとｗ
[1:22:17] @User_5822c145: #あやまチェスト
[1:22:32] @User_0e607af9: #かなり嫌がってた
[1:22:49] @User_607c778e: #前口上みたいになった
[1:23:07] @User_b4825c55: かわいい
[1:23:10] @User_27ecd0a0: めっちゃかわいい・・・
[1:23:10] @User_47aa98fb: #めちゃくちゃ照れてくれた
[1:23:17] @User_607c778e: #対応力高い…
[1:23:18] @User_70ed7ffd: かわいい
[1:23:19] @User_b103bac9: ｶﾜｲｲ
[1:23:25] @User_b90ff19c: #かわええ
[1:23:27] @User_0e607af9: かわいい
[1:23:42] @User_75e5e82a: #ヒロイン力が高すぎる
[1:23:43] @aki5503: #では、歌います！
[1:23:51] @User_109116e8: #もうすぐ春だなあ
[1:23:56] @User_607c778e: 季節に合った曲
[1:23:59] @User_47aa98fb: #まってましたー！
[1:24:02] @User_72011a5a: #お、ユーミン
[1:24:04] @User_27ecd0a0: #お願いします
[1:24:09] @User_1012fc4e: @後でダジャレを言って
[1:24:14] @User_1a5c9146: #お歌の時間
[1:24:32] @User_25e145ed: エンディング曲
[1:24:50] @User_bec19661: #ちゅ
[1:24:54] @User_27ecd0a0: #上手い…
[1:25:01] @User_04f5dafd: #しょれはかわいい
[1:25:03] @User_b103bac9: 前より上手くなった感じがする
[1:25:12] @User_b4825c55: #うまくなった？？
[1:25:14] @User_1a5c9146: #うわー歌もかわいい
[1:25:16] @User_69dac0c4: かわいい
[1:25:20] @User_f974649e: かなりうまくなってるな
[1:25:23] @User_67260b6b: 上手くなってる気がする
[1:25:30] @User_607c778e: 🌸🌸🌸
[1:25:41] @User_109116e8: ステキ🌸
[1:25:42] @User_47aa98fb: ぎゃわえ〜
[1:25:46] @User_607c778e: #いましゅ～
[1:25:57] @User_b90ff19c: #🌸🌸🌸🌸🌸🌸🌸🌸🌸
[1:25:59] @User_27ecd0a0: 普通に上手い
[1:26:00] @User_25e145ed: 歌えない場所もあったから、そこが良くなってる
[1:26:11] @User_75e5e82a: #リアルな女の子のカラオケ感が凄い
[1:26:13] @User_b103bac9: #リバーブいいね
[1:26:14] @User_bec19661: #いいね
[1:26:15] @User_f6e375e8: 初見でえす
[1:26:26] @User_7b45306f: #滑舌甘くてかわいい
[1:26:28] @User_b103bac9: 💧🎶🌸💧🎶🌸
[1:26:48] @User_1a5c9146: 🌸🌸🌸
[1:27:02] @User_607c778e: 🌸🌸🌸
[1:27:12] @User_47aa98fb: ブレスすごい
[1:27:12] @User_08009f88: 泣いた
[1:27:55] @User_b103bac9: 🌸🌸🌸
[1:28:13] @User_85f6e14c: 🌸🌸🌸
[1:28:23] @User_b90ff19c: 🌸🌸🌸
[1:28:34] @User_b4825c55: 👏👏👏👏👏👏
[1:28:35] @User_109116e8: 88888
[1:28:36] @User_b103bac9: 👏👏👏👏👏
[1:28:36] @User_607c778e: 👏👏👏👏👏👏
[1:28:39] @User_d5b05bb2: 👏👏👏👏👏👏👏
[1:28:39] @User_70ed7ffd: #8888888
[1:28:39] @User_04f5dafd: 👏👏👏👏👏👏
[1:28:44] @User_bec19661: #88888888
[1:28:45] @User_25e145ed: うまくなってる、しずく偉い！
[1:28:47] @User_69dac0c4: 👏👏👏👏
[1:28:47] @User_76202bab: 👏👏👏👏👏
[1:28:48] @User_1a5c9146: 👏👏👏👏👏👏👏👏
[1:28:50] @User_67260b6b: 👏👏👏👏
[1:28:51] @User_47aa98fb: よき
[1:28:51] @User_27ecd0a0: しずくちゃーん、かわいいよー！
[1:28:52] @User_b90ff19c: 👏👏👏👏👏👏
[1:28:54] @User_11a4858e: 上手だった！
[1:28:55] @User_2eba0ed4: 👏👏👏👏👏
[1:28:58] @User_a3bd9e3d: #888888888
[1:29:00] @User_607c778e: 上手かったよ！
[1:29:00] @User_1a5c9146: 素敵な歌声でした
[1:29:03] @User_bec19661: #ドヤってる
[1:29:07] @User_72011a5a: 👏👏👏👏👏👏👏
[1:29:08] @User_b103bac9: 歌うまいね！感動した
[1:29:09] @User_b4825c55: 💰💰💰💰
[1:29:12] @User_5822c145: #888888888
[1:29:18] @User_ffe4b274: 👏👏👏👏👏
[1:29:24] @User_7b45306f: #お疲れ様です！
[1:29:28] @User_109116e8: 💰💰💰
[1:29:34] @aki5503: #ありがとうございました！！！
[1:29:46] @User_b4825c55: お疲れさまでした
[1:29:46] @User_bec19661: #お疲れ様でした～
[1:29:48] @User_04f5dafd: #お疲れ様でした！
[1:29:53] @User_b90ff19c: お疲れさまでしたー
[1:30:01] @User_72011a5a: #お疲れさまでした〜
[1:30:02] @User_b103bac9: #お疲れ様でした
[1:30:08] @User_f974649e: お疲れさまでした！
[1:30:13] @User_607c778e: PC落ちなかった！すごい！
[1:30:16] @User_04f5dafd: お疲れ様でした！
[1:30:16] @User_109116e8: お疲れ様でした！
[1:30:19] @User_27ecd0a0: お疲れさまでした！
[1:30:19] @User_25e145ed: それじゃお疲れ様でした
[1:30:20] @User_76202bab: お疲れさまでした！
[1:30:21] @User_bec19661: チャンネル登録高評価は確定なんだｗ
[1:30:22] @User_607c778e: お疲れさまでした！
[1:30:28] @User_b103bac9: おつしず
[1:30:28] @User_2eba0ed4: お疲れ様でした！
[1:30:30] @User_47aa98fb: 楽しかったです！
[1:30:33] @User_a3bd9e3d: #お疲れ様でした。次回も頑張ってください！
[1:30:39] @User_d5b05bb2: お二人ともお疲れ様でした～
[1:30:40] @User_75e5e82a: 面白かったです！
[1:30:49] @User_b103bac9: Cパートきちゃ
[1:30:50] @User_bec19661: お疲れ様でした！また来ます！
[1:30:52] @User_607c778e: 私もお疲れ様ですｗ
[1:30:59] @User_27ecd0a0: また明日ー！
[1:31:00] @User_b4825c55: Cパート助かる
[1:31:13] @User_b103bac9: おやすみなさい
[1:31:19] @User_69dac0c4: また明日～
[1:31:25] @User_b90ff19c: おやすみ(・∀・)
