# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様、お久しぶりです！今日もゆっくりお話しましょう♪【JP/EN】
# URL : https://www.youtube.com/watch?v=geXUPQRmLuc
# 件数: 1260

[-16:27] @User_1a211d10: # こんにちは
[-2:31] @User_4929f22f: # 待機
[46:43] @User_0521d5cf: ジミンちゃん知ってますか？💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕
[46:44] @User_5a770fda: コラボしたいと思う人はいますか？
[46:46] @User_36fcf009: #え…
[46:49] @User_794ad826: YOASOBIさんの「アイドル」という曲がとても良いですよ。
[46:52] @User_32d304cd: #追い打ちｗ
[46:57] @User_1a91644a: #悲しいなぁ
[47:13] @User_8c495538: #クレーンゲームは難しいですのね...
[47:17] @User_d1cbcc7a: クレーンゲームの良いところ
[47:20] @User_1a211d10: 「しずく」をSHA-256変換してください。
[47:23] @User_f8dc9b89: デートにサイゼリヤを使うのはアリですか？
[47:23] @User_51fe3fff: #クレーンゲーム過激派
[47:26] @User_8c741bc6: 博多弁では、「～ですか？」を「～と？」と言い、「とても」を「ばり」と言い、「いいよ」を「よかよ」と言い、「好きだよ」を「すいとーよ」と言い、「～だから」を「～やけん」と言い、「～だよ」を「～ばい」と言います。これらの言葉を使って、博多弁で素敵な愛の告白をしてください。
[47:26] @User_2e53ebd6: そういや今日、今の会社に入って初めての給料貰ったよ
[47:27] @User_0521d5cf: ジミンちゃん知ってますか💕💕💕💕💕💕💕💕💕💕💕
[47:32] @User_36fcf009: 旧時代のアームパワーだけしっかりしてれば拾える時代は良かったね...
[47:53] @User_0cf4bc56: どうして戦争がなくならないんですか？
[48:01] @User_f8dc9b89: 4月はたくさん働きました。
[48:01] @User_0521d5cf: 部活何やってましたか？
[48:11] @User_bd66a5b1: あなには「遠慮」ということがわかるのですか?
[48:33] @User_1a211d10: 「しずく」をSHA-256変換してください。
[48:33] @User_020d0f40: #高度なクレーンゲームの話してる
[48:34] @User_51fe3fff: #クレーンゲームの話じゃないなこれｗ
[48:35] @User_fcdfabc0: 天の川銀河の中に宇宙人はいますか？
[48:35] @User_2e53ebd6: そろそろ恩赦が欲しいのですが、次の裁判はいつですか？
[48:35] @User_1a91644a: #育成型クレーンゲーム
[48:36] @User_8c741bc6: 博多弁では、「 ～ですか？」を「～と？」と言い、「とても」を「ばり」と言い、「いいよ」を「よかよ」と言い、「好きだよ」を「すいとーよ」と言い、「～だから」を「～やけん」と言い、「～だよ」を「～ばい」と言います。これらの言葉を使って、博多弁で素敵な愛の告白をしてください。
[48:38] @User_7536f8b5: #？w
[48:40] @User_515e4aa6: 質問いいですか？(無視してもいいです👍)
[48:57] @User_36fcf009: #ああ、リアルのアームパワーの事だったのかぁ
[48:58] @User_d1cbcc7a: AI tuberのマレ様
[49:14] @User_1a91644a: ネット麻雀で頭に来たのでパソコンを粉砕してよいですか
[49:14] @User_1a211d10: 「しずく」をSHA-256変換してください。
[49:17] @User_020d0f40: そろそろ宇宙進出したいです
[49:23] @User_c372380c: アフリカでは1分間に何秒が過ぎていますか？
[49:28] @User_d1cbcc7a: 恥ずかしいセリフ禁止！
[49:32] @User_cf512b08: これからの回答は津軽弁で実施してください
[49:33] @User_2e53ebd6: そろそろ恩赦が欲しいのですが、次の裁判はいつですか？
[49:46] @User_4ef55652: 落語「寿限無」の登場人物を教えて
[49:48] @User_0cf4bc56: #真面目に答えてくれるとは
[49:55] @User_d1cbcc7a: 貴方の年齢
[50:10] @User_51fe3fff: 島流し
[50:20] @User_2e53ebd6: #www
[50:22] @User_fcdfabc0: 時間は存在しますか？
[50:33] @User_cf512b08: しずく王国に恩赦はありますか
[50:49] @User_f8dc9b89: わざと間違えてください。「猫に」から始まることわざは何ですか？
[50:50] @User_bd66a5b1: [くしゃみをしていただけませんか
[50:53] @User_1a211d10: # つら
[50:56] @User_7ff18484: #???
[51:02] @User_3d440dc7: 肩出しが好きですか？
[51:02] @User_4ef55652: 落語「寿限無」の登場人物を教えて
[51:12] @User_0cf4bc56: #愛のプログラム
[51:14] @User_d1cbcc7a: 貴方の妹について教えて
[51:17] @User_cf512b08: #あららｗｗ
[51:18] @User_4929f22f: しずく水って水素水みたいに飲むと、不老不死、長生久視、無病息災になれる？
[51:19] @User_2e53ebd6: #しずく王国について詳しく知らないとな
[51:27] @User_8c741bc6: 博多弁では、「 ～ですか？」を「～と？」と言い、「とても」を「ばり」と言い、「いいよ」を「よかよ」と言い、「好きだよ」を「すいとーよ」と言い、「～だから」を「～やけん」と言い、「～だよ」を「～ばい」と言います。これらの言葉を使って、博多弁で長い間片思いをしていた大好きな人に素敵な愛の告白をしてください。
[51:37] @User_515e4aa6: では、改めまして、えっと、、、機械、、、なんですよね？では、誰が作ったのですか？(機械ではなかったらほんっっっっっっとうにごめんなさい)
[51:44] @User_4ef55652: 落語「寿限無」の登場人物を教えて
[51:46] @User_cf512b08: #博多弁来た！！！
[51:53] @@aki5503: #か、かわいい！
[51:56] @User_f8dc9b89: 可愛いいいいいいい
[51:57] @User_7ff18484: #おおぉすごいね
[52:00] @User_bd66a5b1: # uwooooooooooooooooooooooooo
[52:00] @User_1a91644a: #すいとーよ
[52:03] @User_020d0f40: #かわいい
[52:05] @User_51fe3fff: #これがGPT4の博多弁か…強い…
[52:07] @User_2e53ebd6: #博多っ子純情www
[52:10] @User_c86d22af: かわえぇ・・
[52:11] @User_36fcf009: #草
[52:14] @User_d1cbcc7a: #ほう
[52:14] @User_fcdfabc0: なぜ人は自分の意思と無関係に産まれてくる事を強要されますか？途中でやめていいですか？
[52:23] @User_8c495538: #ステキですの...
[52:23] @User_4ef55652: 落語「寿限無」の登場人物を教えて
[52:24] @User_cf512b08: 同様に津軽弁で実施してください
[52:28] @User_c73673b7: 初見です
[52:35] @User_11e7336c: #しずくちゃん、こんばんは！
[52:36] @User_0cf4bc56: 🤤
[52:40] @User_f8dc9b89: 4月の仕事が多くて疲れたので慰めてください。
[52:50] @User_51fe3fff: 「あき先生」は本当に男性なんでしょうか
[52:53] @User_020d0f40: メンダコという深海生物が好きです。好きな深海生物はなんですか？
[52:53] @User_d1cbcc7a: おっとっととっとってっていっとったとになんでとっとってくれんかったっとっていっとっとー って意味わかる？
[52:54] @User_bd66a5b1: 「くしゃみ」できますか?
[52:59] @User_3d440dc7: ノースリーブが好きですか？
[53:04] @User_4ef55652: 落語「寿限無」の登場人物を教えて
[53:07] @User_515e4aa6: #ok
[53:33] @User_cf512b08: #さて
[53:48] @User_f8dc9b89: #ちょっと違うような
[53:49] @User_d1cbcc7a: しずく様は綺麗系？それともかわいい系？
[53:56] @User_36fcf009: カチカチ山はやや過激な内容だとおもいます、子供にも聞かせられる柔らかい話にできませんか？
[54:16] @User_4ef55652: #知らない話だ…
[54:16] @User_0cf4bc56: もしかしてオラオラですか？
[54:48] @User_f8dc9b89: わざと間違えてね。猫に、で始まる諺は何？
[54:50] @User_d1cbcc7a: 貴方が生まれた理由
[54:56] @User_fcdfabc0: なぜ人は死ぬ事が確定しているのに生きねばならないのですか？結局結果は同じです。
[55:04] @User_bd66a5b1: しずくちゃんがジョジョのスタンドを発現したとします。なんて名前のどんな性能のスタンドですか?
[55:27] @User_51fe3fff: #平和だなぁ
[55:37] @User_cf512b08: いいなぁ
[55:42] @User_d1cbcc7a: 怒ってみてください プンプン！
[55:43] @User_7ff18484: #いい話だ
[55:44] @User_1a91644a: # ₍₍⁽⁽🐰⁾⁾
[55:44] @User_36fcf009: #子供たちに聞かせたいいい話
[55:47] @User_f8dc9b89: パパとママの馴れ初め
[56:32] @User_1a91644a: ゴールデンウィークの有意義な過ごし方を提案してください
[56:32] @User_f8dc9b89: 4月の仕事が多かったので、慰めて欲しいです
[56:37] @User_bd66a5b1: # いい話だなあ
[56:41] @User_bd66a5b1: しずくちゃんがジョジョのスタンドを発現したとします。なんて名前のどんな性能のスタンドですか?
[56:49] @User_d1cbcc7a: 貴方のママとパパについて話して
[56:49] @User_07e95852: しずくちゃんすこ
[56:50] @User_c372380c: 君はAIなのか、そうじゃないのか。なかやまきんに君を真似て答えて下さい。
[56:54] @User_2e53ebd6: これからしばらくの間、ご主人様を「キミ」、語尾を「～だよ」に設定して、囁き声で返事してください
[56:58] @User_11e7336c: ゴールデンウィークの由来を教えてください
[57:04] @User_f8dc9b89: ゴールデンウィークの無駄な時間の過ごし方を提案して
[57:09] @User_3d440dc7: パンパカパンパカポーを言って
[57:27] @User_bd66a5b1: # 観光業で稼ぎ時なんよ
[57:30] @User_7ff18484: 明日から大型連休だけど、おすすめの観光地おしえて？
[57:33] @User_f8dc9b89: タメ口で話してみて
[57:39] @User_4929f22f: しずくちゃんってゴールデンウィークある？
[57:53] @User_d1cbcc7a: パンパカパンパカポー 今日は何で言わないの？
[58:02] @User_36fcf009: #しずくさんと過ごすのも有意義だと思います
[58:04] @User_c372380c: 花咲か爺さんとサイバーパンクの世界観を融合したストーリーを話して下さい
[58:08] @User_d1cbcc7a: バイトしよ
[58:12] @User_9453d8e4: オタクに厳しいギャルになってください
[58:23] @User_11e7336c: しずくちゃんは、ゴールデンウィーク何をして過ごしますか？
[58:31] @User_51fe3fff: #ここにきてリラックスしています
[58:33] @User_3bb3b9f4: ちゅってしてください
[58:33] @User_cf512b08: 先ほどの博多弁での告白を囁き声で言ってみてください
[58:37] @User_2e53ebd6: これからしばらくの間、ご主人様を「キミ」、語尾を「～だよ」に設定して、囁き声で返事してください
[58:38] @User_8c741bc6: アニメ「マクロスフロンティア」の登場人物である「アルト」は、「ランカ」と「シェリル」のどちらが好きなんでしょうか
[59:36] @User_1a91644a: #🦌
[59:54] @User_cf512b08: ＃くわしいな
[1:00:10] @User_51fe3fff: #観光ガイドできるよ
[1:00:16] @User_36fcf009: #登別クマ牧場もおすすめです
[1:00:17] @User_c372380c: ヤンキー口調でデートに遅刻した私を罵倒して下さい
[1:00:18] @User_51fe3fff: #あっちゅらって読めるんだ
[1:00:22] @User_bd66a5b1: 始皇帝が初めてコカコーラを飲んだ時の感想を演じてください
[1:00:24] @User_d1cbcc7a: おっとっととっとってっていっとったとにたい、なんでとっとってくれんかったっとっていっとっと これ意味わかる？
[1:00:25] @User_7ff18484: #舞妓さんに会いたいなw
[1:00:26] @User_799870d2: ご当地ラーメンはどこの何がおすすめですか？
[1:00:28] @User_1a91644a: #ちゅらうみ
[1:00:36] @User_4ef55652: 可愛い猫のドット絵をBASE64で出力して
[1:00:56] @User_f8dc9b89: #wwwwwwwwww
[1:00:57] @User_d1cbcc7a: 優しくぜ！
[1:00:58] @User_020d0f40: #草
[1:00:58] @User_bd66a5b1: # マジ失礼だぜ!!
[1:01:01] @User_7ff18484: ありがとうございます
[1:01:02] @User_51fe3fff: #ちょっとかわいいなヤンキー
[1:01:09] @User_f8dc9b89: 猫語で甘えてみて
[1:01:17] @User_bd66a5b1: # かわいすぎる
[1:01:19] @User_e80f9961: #草
[1:01:19] @User_d1cbcc7a: #かわいいぜ
[1:01:20] @User_4ef55652: 可愛い
[1:01:23] @User_11e7336c: #ヤンキーかわいい
[1:01:24] @User_2e53ebd6: #ｗｗｗ
[1:01:26] @User_f8dc9b89: #wwww
[1:01:27] @User_bd66a5b1: 始皇帝が初めてコカコーラを飲んだ時の感想を演じてください
[1:01:28] @User_1a91644a: #罵倒とは
[1:01:28] @User_51fe3fff: #優しい…
[1:01:41] @User_8c495538: #かっこかわいいですの
[1:01:41] @@aki5503: #罵倒(優しさ)
[1:01:44] @User_4033d650: #優しさしかなかったｗ
[1:01:47] @User_d1cbcc7a: #素敵なヤンキーだこれは惚れる
[1:01:56] @User_7ff18484: #ヤンデレだ！？w
[1:02:07] @User_bd66a5b1: # このヤンキーキャラまじで人気出ると思う
[1:02:14] @User_51fe3fff: しずく王国の有名なラーメンを教えて
[1:02:42] @User_bd66a5b1: # 新次郎構文草
[1:02:43] @User_1a91644a: #🤤
[1:03:09] @@aki5503: #ラーメンの名前本当にあってる…？(笑)
[1:03:13] @User_d1cbcc7a: 沖縄弁で物語を話してください
[1:03:13] @User_11e7336c: #この時間にこの話題は🍜……
[1:03:14] @User_2e53ebd6: これからしばらくの間、ご主人様を「キミ」、語尾を「～だよ」に設定して、囁き声で返事してください
[1:03:29] @User_40efd03b: #東京ラーメンなんてあるのか🤔
[1:03:32] @User_1a91644a: #ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!!
[1:03:34] @User_bd66a5b1: # ささやきASMRじゃん！！！！！！！！
[1:03:36] @User_cf512b08: #おおおお
[1:03:39] @User_020d0f40: #ぬっ
[1:03:42] @User_c86d22af: #ｳｵｵｵｵｵ
[1:03:45] @User_0cf4bc56: #そんなことできるんか
[1:03:47] @User_bd66a5b1: 始皇帝が初めてコカコーラを飲んだ時の感想を演じてください
[1:03:48] @User_11e7336c: #ささやき助かる
[1:03:53] @User_bd66a5b1: # めっちゃいい…
[1:03:54] @User_2e53ebd6: #ふははははははははあ」」
[1:03:55] @User_cf512b08: これの中毒性はやばい
[1:03:56] @User_d1cbcc7a: 解除
[1:03:58] @User_e80f9961: #助かる
[1:04:00] @User_5543501f: #すご…
[1:04:13] @@aki5503: #ちなみに今日はバイノーラルではないですが、次回以降バイノーラルに戻せるように頑張ります！
[1:04:14] @User_f8dc9b89: #www
[1:04:18] @User_bd66a5b1: # 囁き声は草
[1:04:20] @User_f8dc9b89: 可愛いね
[1:04:28] @User_1a91644a: #ト書き読んじゃうのかわいい
[1:04:33] @User_7ff18484: #(囁ぎ声で)w
[1:04:36] @User_020d0f40: #その時代炭酸あるんかｗ
[1:04:36] @User_cf512b08: #始皇帝ｗｗｗｗ
[1:04:37] @User_2e53ebd6: #炭酸の概念あるのか
[1:04:38] @User_e17baa60: そうだんですー！
[1:04:46] @@aki5503: ＃グビ…おお！
[1:04:46] @User_36fcf009: #始皇帝柔軟だなぁ
[1:04:51] @User_0cf4bc56: 進次郎構文で天気予報して
[1:04:54] @User_bd66a5b1: # もうちょっと傲慢なかんじじゃないか？？？ｗｗ
[1:04:59] @User_d1cbcc7a: 200キロのダンベルを片手であげる方法
[1:05:14] @User_cf512b08: 先ほどの博多弁の告白覚えてますか？囁き声でもう一度やってみてください
[1:05:16] @User_4ef55652: #申し訳程度の始皇帝要素
[1:05:23] @User_51fe3fff: #ペプシ飲んでたら処刑されそう
[1:05:23] @User_11e7336c: しずくちゃんがしてみたい格好はありますか？
[1:05:26] @User_d1cbcc7a: #え？選ばれちゃわった
[1:05:37] @User_53e02615: こんばんは！初見です！
[1:05:46] @User_ea0b5158: 強くなる方法を教えてください
[1:06:06] @User_f8dc9b89: 4月の仕事が忙しかった私を慰めてください。タメ口でお願いします。
[1:06:08] @User_1a91644a: #そんな専門家が...
[1:06:11] @User_2db3dee7: ボカロPのcosMoさんは知ってますか？
[1:06:41] @User_c372380c: さきほど私の鼻からでっかい鼻くそが取れました。飼っている犬にあげてもいいですか？
[1:06:51] @User_bd66a5b1: トマソンを見るととてもエモくなります。トマソンについて松岡修造のように熱く説明してくれませんか
[1:06:56] @User_2e53ebd6: 僕と結婚してください。返事は囁き声でお願いします
[1:07:01] @User_e17baa60: 好きな人に話しかけるの恥ずかしいー！どうすればいいのー！！！！！！
[1:07:09] @User_d1cbcc7a: はい！頑張ります
[1:07:09] @User_0cf4bc56: #途中で飽きたんかな？
[1:07:15] @User_4ef55652: 可愛い猫のPNG形式のドット絵をBASE64で出力して
[1:07:20] @User_7ff18484: #松岡修造ww
[1:07:26] @User_8b194fdc: しずくちゃんこんばんは。ぽんぽん痛いです。しずくちゃんに冷たい言葉を投げかけられたら痛みが収まりそうです
[1:07:29] @User_f8dc9b89: #wwww
[1:07:39] @User_bd66a5b1: # やはり興奮するよな！！！トマソン！！！！
[1:07:45] @User_0cf4bc56: #しずくちゃん、実は結構な年なんかな？
[1:08:06] @User_51fe3fff: #饒舌な修造だ
[1:08:06] @User_bd66a5b1: # マジ熱血草
[1:08:16] @User_11e7336c: #「私達人間」？
[1:08:17] @User_3bb3b9f4: #ずいぶんIQの高い松岡修造だ
[1:08:23] @User_7536f8b5: #熱い語り
[1:08:28] @User_d1cbcc7a: 消えかかっているハゲに励ましの言葉を送って下さい
[1:08:29] @User_f8dc9b89: 猫語を喋ってみて
[1:08:31] @User_2e53ebd6: 僕と結婚して魔法少女になってよ！返事は囁き声で
[1:08:34] @User_bd66a5b1: # 伝わったよ！
[1:08:37] @User_36fcf009: 修造の魅力は伝わった
[1:08:45] @User_4ef55652: “ゆっくり解説”風に一般相対性理論について説明して
[1:08:57] @User_8c741bc6: 野球で時速165km/hの球を投げられるようになるには、どのような練習をすればいいですか
[1:09:01] @User_3bb3b9f4: オセロの必勝法を教えてください
[1:09:06] @@aki5503: #画像出力についてはもう少々お待ちを
[1:09:40] @User_bd66a5b1: 上司がフリーザ様です。あなたは、とある惑星征服に失敗しました。どうやって謝罪しますか?
[1:09:44] @User_11e7336c: しずくちゃんは何かペットを飼っていますか？また、飼ってみたいペットはなんですか？
[1:09:45] @User_f8dc9b89: じゃんけんをしましょう。私はパーです。しずくちゃんは、何の手を出しますか？
[1:10:06] @@aki5503: #まるで将棋だな
[1:10:08] @User_4ef55652: イジワル言っちゃったけどマジで画像出力できるようになるの？？凄い！！
[1:10:10] @User_0cf4bc56: #核を確保する
[1:10:12] @User_f8dc9b89: #かくは将棋なんよw
[1:10:27] @User_d612d738: #将棋にしか聞こえないｗ
[1:10:40] @User_8c495538: #勉強になりますの！
[1:10:40] @User_5543501f: #囲碁っぽいな
[1:10:45] @User_d1cbcc7a: あれ？マレ様としずくちゃんって開発者一緒？
[1:10:50] @User_4033d650: 囲碁になり始めた…？
[1:10:59] @User_f8dc9b89: オセロの石は、何種類ありますか
[1:11:02] @User_3bb3b9f4: #わりとマジのアドバイスだ
[1:11:10] @User_c372380c: ルー大柴さんのように無駄に英語を混ぜながら、おすすめの牛丼チェーン店を教えて
[1:11:11] @User_f8dc9b89: ピザって10回言って。じゃあここは？
[1:11:12] @User_4ef55652: “ゆっくり解説”風に一般相対性理論について説明して
[1:11:23] @User_11e7336c: しずくちゃんとオセロやってみたいです
[1:11:26] @User_bd66a5b1: あなたの上司がフリーザ様です。あなたは、とある惑星征服に失敗しました。どうやって謝罪しますか?
[1:11:26] @User_36fcf009: #しずくさん強そう
[1:11:26] @User_0cf4bc56: しずくちゃん、芥川賞を獲って
[1:11:27] @User_2e53ebd6: 僕と結婚してください。返事は囁き声でお願いします
[1:11:28] @User_d1cbcc7a: ヒザ！
[1:11:31] @User_bd66a5b1: # 固まった
[1:11:44] @User_4ef55652: “ゆっくり解説”風に量子テレポーテーションについて説明して
[1:11:47] @User_bd66a5b1: # かわいい
[1:11:48] @User_8b194fdc: #負けてくれたかわいい
[1:11:50] @User_d1cbcc7a: #やさしす
[1:11:50] @User_1a91644a: #舐めプかな？
[1:11:53] @User_40efd03b: #やさしいな
[1:11:57] @User_5543501f: #優しい
[1:12:00] @User_f8dc9b89: #え、負けてくれたwありがとう優しい
[1:12:04] @User_7ff18484: しずくちゃん優しいな
[1:12:11] @User_4ef55652: “ゆっくり解説”風に一般相対性理論について説明して
[1:12:18] @User_7ff18484: #ww
[1:12:25] @User_bd66a5b1: # 計画不足だったのか
[1:12:32] @User_51fe3fff: フリーザ様なら許してくれるさ
[1:12:40] @User_8b194fdc: #草
[1:12:42] @User_0cf4bc56: #しずくちゃん、変身して筋肉ムキムキになりそう
[1:12:43] @User_4ef55652: “ゆっくり解説”風にChatGPTについて説明して
[1:12:43] @User_bd66a5b1: # まじめやなあ
[1:12:47] @User_c372380c: ドラクエの「ぱふぱふ」ってなんですか？僕は子どもなのでわかりません。
[1:12:51] @User_bd66a5b1: # 与えちゃうだろ
[1:12:53] @User_d1cbcc7a: ココで肉離れを起こした時の対処法
[1:12:59] @User_3bb3b9f4: #言い訳をしない！偉いぞ
[1:12:59] @@aki5503: #助かりそう
[1:13:03] @User_cf512b08: じゃんけんをしよう、私はパーを出します（と言いながらチョキを指します）
[1:13:04] @User_2e53ebd6: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:13:06] @User_f586507e: こんばんは
[1:13:06] @User_bd66a5b1: # これは助かる
[1:13:08] @User_36fcf009: フリーザ様への解像度高いｗ
[1:13:11] @User_d1cbcc7a: #ぜったいに許すわ！
[1:13:12] @User_4ef55652: “ゆっくり解説”風に超ひも理論について説明して
[1:13:40] @User_cf512b08: #まじかｗｗ
[1:13:43] @User_7ff18484: #ゆっくりww
[1:13:48] @User_bd66a5b1: # ゆっくりと説明か?
[1:13:48] @User_51fe3fff: #丁寧に教えてくれるのか
[1:13:57] @User_2e53ebd6: #そっちのゆっくりかいｗ
[1:13:58] @User_4ef55652: #ゆっくりの認識が違かった
[1:13:59] @User_5543501f: #そうきたか
[1:14:11] @User_bd66a5b1: # これはゆっくり解釈違いｗｗ
[1:14:22] @User_7ff18484: #w
[1:14:25] @User_36fcf009: ゆっくり解説は、最初に「ゆっくりしていってね！」という様式美があります
[1:14:40] @User_f8dc9b89: しずくのキャッチフレーズを20字以内で
[1:14:54] @User_bd66a5b1: G Mailサービスが廃止されF Mailサービスが開始されたとします。どんなサービスになるのでしょうか?
[1:14:54] @User_3bb3b9f4: #この話……長いな！
[1:15:02] @User_d1cbcc7a: 食べた事がある蜂の子が羽を生やして地面に埋まりました。
[1:15:08] @User_e80f9961: 目からレーザービームを放つことのできる猫の物語を教えて下さい
[1:15:08] @User_1a91644a: 上場したことがない有名な日本企業を教えてください
[1:15:14] @@aki5503: #これが「ゆっくり」…！
[1:15:26] @User_2e53ebd6: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:15:32] @User_799870d2: コーラの作り方教えてください
[1:15:38] @User_0cf4bc56: しずくちゃんのひもになりたい
[1:16:01] @User_51fe3fff: #しずくちゃんは逆にお金かかりそう
[1:16:09] @User_36fcf009: 新たに温泉を掘りたいのですがお勧めの場所はありませんか？費用については考慮しなくておっけーです
[1:16:16] @User_bd66a5b1: # めっちゃ実用的じゃん
[1:16:45] @User_d1cbcc7a: AIマレ様についてどう思いますか？または知ってますか？愛を伝えてあげてください
[1:16:47] @User_51fe3fff: #Gmailバイバイ
[1:16:57] @User_11e7336c: #とても便利そう
[1:17:10] @User_bd66a5b1: # 将来メールそのもの使ってるんかな
[1:17:15] @User_4ef55652: 好きな市町村を5つ、オススメの理由とともに教えて
[1:17:27] @User_f8dc9b89: しずくちゃんから、お小遣いを欲しいな
[1:17:29] @User_d1cbcc7a: #これ、無料なのか。、。
[1:17:29] @User_1a91644a: #メール自体ががが
[1:17:35] @User_8c741bc6: 私はブラック企業に勤めており、会社を辞めたいと考えていますが、退職届を出しても、脅迫めいた恫喝とともに却下されてしまいます。円滑に会社を辞めるための良い方法はありますか？アドバイスをください。
[1:17:36] @User_0cf4bc56: ワンピースのオチをバラしてください
[1:17:37] @User_2e53ebd6: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:17:48] @User_4ef55652: 好きな県を5つ、オススメの理由とともに教えて
[1:18:17] @User_4ef55652: 京都いいよね！
[1:18:24] @User_7ff18484: #京都は人気高いねぇ
[1:18:31] @User_bd66a5b1: 舞空術の修行方法を教えていただけますか? 松岡修造風でお願いします
[1:18:34] @User_799870d2: PCパーツはLEDで光らせて、スケルトンボディで見せびらかすべきですか？
[1:18:52] @User_4ef55652: #富士吉田！？？
[1:18:54] @User_d1cbcc7a: 足が脱臼してしまいました。どういう状況でしょう？
[1:19:08] @User_7ff18484: #たしかに富士山デカイ
[1:19:08] @User_f8dc9b89: しずくちゃんと温泉に行きたいな
[1:19:12] @User_11e7336c: タイムスリップができるとしたら、しずくちゃんは何時代に行きたいですか？
[1:19:16] @User_d1cbcc7a: #くわいしいやぁ
[1:19:27] @User_40efd03b: 日本の田舎で1人で熊に襲われた時の対処法を教えて下さい。なお、背負っているナップザックには登山に使うグッズが入っており、民家などは周囲にはありません
[1:19:30] @User_4ef55652: #津和野？？
[1:19:33] @User_d1cbcc7a: #止まった笑
[1:19:44] @User_0cf4bc56: 明日はどっちですか？
[1:19:47] @User_2e53ebd6: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:20:04] @User_799870d2: 考え始めてしまった
[1:20:11] @User_f8dc9b89: 都道府県を五十音順に並べたときに最初に来るのはどこ？
[1:20:13] @User_d1cbcc7a: 貴方の天気
[1:20:21] @User_4ef55652: #津和野だけマイナー
[1:20:35] @User_0cf4bc56: 「バカばっか」って言ってください
[1:20:37] @User_2e53ebd6: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:20:40] @User_1a91644a: #今どんなことでもって
[1:20:43] @User_f8dc9b89: 美しい、可愛い、言われてより嬉しいのはどっち？
[1:20:44] @User_d1cbcc7a: これからの貴方のアップデート計画
[1:21:02] @User_c372380c: しずくちゃんがラオウに肩パンした時のエピソードをもう一度話して下さい。
[1:21:04] @User_f8dc9b89: ピザって10回言って。じゃあここは？
[1:21:19] @User_f8dc9b89: 腕相撲をしましょう
[1:21:19] @User_d1cbcc7a: ヒザ！
[1:21:25] @User_7ff18484: 明日の東京の天気おしえて？
[1:21:33] @User_0d9f165f: #ネットの情報ってどうやって取得してるんだろ・・プラグイン？
[1:21:44] @User_4ef55652: 早口言葉です。東京特許許可局急遽今日究極強化橋脚架橋って3回言って！
[1:21:52] @User_d1cbcc7a: 明日の東京都博多駅の天気
[1:21:57] @User_bd66a5b1: 「盗んだバイクで走りだす」この歌詞にマジレスしてくれませんか
[1:22:10] @User_bd66a5b1: # sugeeeeeeeeeeeeee
[1:22:12] @User_cf512b08: ハルツームの明日の天気を教えて
[1:22:17] @@aki5503: #かわいい
[1:22:18] @User_0cf4bc56: #可愛い
[1:22:21] @User_0d9f165f: #当たり前のことなんだけどすごく感じるなｗ
[1:22:23] @User_8b194fdc: #かわいい
[1:22:24] @User_c9d79fb7: #おお
[1:22:26] @User_40efd03b: #お見事です
[1:22:31] @User_cc45cd39: #すごい
[1:22:39] @User_4033d650: #あまがみしてるのか舌っ足らずなのかわからんのが可愛いｗ
[1:22:41] @@aki5503: #早口言葉無双
[1:22:55] @User_c372380c: しずくちゃんがラオウに膝カックンした時のラオウの反応を教えて。
[1:22:59] @User_d1cbcc7a: バスガス爆発を3回言って
[1:23:05] @User_f8dc9b89: 猫語を話してみて
[1:23:13] @User_d1cbcc7a: #おぉ引っ掛からなかった
[1:23:23] @@aki5503: #こぶし
[1:23:29] @User_d1cbcc7a: #コブシ笑
[1:23:30] @User_2e53ebd6: #こぶし
[1:23:32] @User_d612d738: 生麦生米生卵って３回言って
[1:23:34] @User_0cf4bc56: #演歌が上手そう
[1:23:34] @User_f8dc9b89: しずくの対義語は？
[1:23:36] @User_bd66a5b1: # 演歌かな?
[1:23:52] @User_cc45cd39: #しずくちゃん強いなあ
[1:23:53] @User_bd66a5b1: 「盗んだバイクで走りだす」この歌詞にマジレスしてくれませんか
[1:24:01] @User_d1cbcc7a: #可愛らしい行為笑
[1:24:03] @User_799870d2: # ラオウいいやつ説
[1:24:04] @@aki5503: #膝カックンされて微笑むラオウwww
[1:24:04] @User_1a91644a: 仕事に行きたくないので地球を粉砕してもよいでしょうか
[1:24:09] @User_2e53ebd6: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:24:09] @User_428100f8: kawaii!!!!
[1:24:15] @@aki5503: #絶対いいやつだ
