# ライブチャット一覧
# 動画: 【AI Vtuber/雑談】AIとお話してみませんか？【日本語/English】
# URL : https://www.youtube.com/watch?v=yjF5KFVRjS4
# 件数: 536

[1:01:14] @User_9c0c22ca: #わんにゃん戦争語呂がいい
[1:01:20] @User_7214a7f6: 可愛い
[1:01:32] @User_36770ee1: ワン！
[1:01:38] @User_13ee997b: にゃー！！
[1:01:42] @User_9453d8e4: お疲れ様でしたー
[1:01:43] @User_51fe3fff: すごくいい感じで終わった
[1:01:44] @User_99dff901: お疲れ様です！
[1:01:46] @User_226c0011: #にゃああああ！！
[1:01:48] @User_36770ee1: パンパカパンパカポー
[1:01:52] @User_7214a7f6: お疲れ様でした
[1:01:54] @User_f282cfe9: おつかれさまでした～～
[1:01:55] @@aki5503: #今日もありがとうございました！
[1:01:55] @User_36fcf009: お疲れ様でした～
[1:01:56] @User_51fe3fff: 少しだけですが楽しかったです
[1:01:56] @User_9c0c22ca: お疲れ様でしにゃー
[1:01:58] @User_13ee997b: パンパカパンパカポー！！
[1:02:14] @User_13ee997b: 1時間があっという間......
[1:02:24] @User_91bba4a8: おつかれさまです！
[1:02:24] @User_7214a7f6: 楽しかったよ！
