# ライブチャット一覧
# 動画: 【雑談配信】ご主人様、梅雨ですね。【AI しずく】
# URL : https://www.youtube.com/watch?v=CG5zvB-a2NQ
# 件数: 995

[31:25] @User_1eca137c: かき氷は自分で作るとか
[31:41] @User_44faea52: 「しずく」というシャーベットアイスがあるよ白ぶどう味がすき
[31:45] @User_fcb4ddea: 氷結をインストール！？
[31:46] @User_61396d22: 氷結にアイスの実どーん
[31:50] @User_e48a91b7: じゃあしずくも酔っぱらえるんやね
[31:53] @User_bec445df: 氷結インストールはフリーズしそう
[31:57] @User_5e6c36c3: ガリガリくんとサクレと八女抹茶モナカ
[32:01] @User_eb6a203c: アイスボックスにジュース入れるの、やったことある？思ったよりは美味しくなかった
[32:07] @User_b73a3cd7: ヒャダルコ唱えられそうだなしずく
[32:23] @User_7c724004: 雪見だいふくの一つは半分なのよ
[32:28] @User_bd8a5d24: 寝る前にチョコミントで歯磨きしてる
[32:34] @User_e48a91b7: ASMRでしずくの好きなアイスを教えながら耳に突っ込んでください
[32:37] @User_0c437e8f: かき氷に自分で作った梅酒かけて食べると美味しい🤤
[32:54] @User_61396d22: 青春のやつ
[32:57] @User_83c196a2: 雪見だいふくの一つあげるは愛の告白と同値ですよ！
[32:58] @User_bec445df: ダッツが出てこないのはインフレのご時世だから……
[33:02] @User_60028655: そして存在感のないレディーボーデン
[33:07] @User_0751797b: アイスボックスに入れるのはビールかウイスキーかな…
[33:10] @User_eb6a203c: 普通に水入れて飲むぐらいが1番美味しかった
[33:13] @User_2e53ebd6: アイスボックス＋ポカリとか
[33:19] @User_bed40d55: 武器にカテゴライズされがちなあずきバー
[33:27] @User_ea3ba6fd: チョコミントよりも　し・ず・く
[33:28] @User_af0e3cda: チョコバッキーもいいですねぇ
[33:31] @User_439eeb5c: アイスに関しての知識すごいね
[33:36] @User_e48a91b7: そうだよ
[33:43] @User_7c724004: バニラアイスをクラッカーで挟むとめっちゃ美味しい！
[33:48] @User_92c2a2e1: よくアイスのこと知ってんねw
[33:50] @User_5e6c36c3: 歯磨き粉美味しいって思いながらチョコミント食べてる、すき
[33:51] @User_0c437e8f: ブラックモンブラン美味しいよね
[34:03] @User_2e53ebd6: シロッコのスイカバー(*'ω'*)
[34:19] @User_0bf4870b: しずく　のリンゴ味　シャーベット美味しい
[34:22] @User_5e6c36c3: おっぱいアイスとかも有るよね
[34:36] @User_eb6a203c: バニラモナカジャンボはチョコがない代わりにアイスクリームらしい
[34:37] @User_ae0cdefe: ラクトアイスはあるな
[34:38] @User_5e6c36c3: ノ
[34:38] @User_ec97d886: 乳脂肪分の差
[34:38] @User_af0e3cda: 乳成分の含有量の違いですね
[34:42] @User_92c2a2e1: あー、あるけど違いわからない
[34:44] @User_129b842e: 乳脂肪分ですかね
[34:50] @User_2e53ebd6: ミルクの成分量が違う
[34:51] @User_234bcff6: 乳脂肪分の含有量
[34:52] @User_439eeb5c: なんか聞いたことある…けどシラン
[34:52] @User_1abf22d1: 乳成分の割合の違い？
[34:53] @User_1a70ee33: 乳脂肪分の違いじゃなかったけ
[34:53] @User_bd8a5d24: ラクトアイスはやり玉にあがるやつ
[34:53] @User_d508650d: ひょうか
[34:59] @User_773c64c4: アイスクリンも好き。
[35:00] @User_0c437e8f: 駄菓子屋のあんずバーとかいうアイス好きだったなぁ
[35:00] @User_e48a91b7: 乳脂肪か何かが違うんだっけ
[35:01] @User_1eca137c: あるよー、知ってるよー
[35:01] @User_92c2a2e1: 何が違うの？
[35:04] @User_61396d22: ミルクレベル
[35:04] @User_7c724004: 乳脂肪分の量？
[35:07] @User_fe0878a1: そういう区別の仕方なんだ
[35:08] @User_af0e3cda: ガリガリ君は氷菓
[35:12] @User_bec445df: プッチンプリンはゼリー食品だっけ
[35:12] @User_7536f8b5: しらぬ
[35:15] @User_92c2a2e1: そうなの？
[35:18] @User_fcb4ddea: ラクトアイスは糖質高いのがあるから健康にはあまりよくない、とは聞いたな
[35:20] @User_5e6c36c3: 知ってるよ、もう一つ氷菓があるよね
[35:23] @User_eb6a203c: 美味けりゃなんでもいい
[35:28] @User_44faea52: 乳脂肪の量なのかな？
[35:28] @User_b73a3cd7: なんか聞いたけど忘れた
[35:35] @User_5e6c36c3: 乳固形分量
[35:41] @User_e48a91b7: しずくとラクトしずくとミルクシズクは何が違うんですか？
[35:41] @User_901a8d35: アイスクリームを選んで買う奴にラクトアイス買うと馬鹿にされる
[35:42] @User_7c724004: MOWはアイスミルクで美味しい
[35:47] @User_1eca137c: どれがどれかは知らない。さすがしずくは詳しい。
[35:49] @User_92c2a2e1: ほぇ〜
[35:49] @User_bd8a5d24: アイスには賞味期限ないんだぜ
[35:53] @User_60028655: しずく分が多いアイスは何ていう区分名になりますか？
[36:17] @User_bec445df: 知識の塊（事実）
[36:25] @User_77f515a7: しずくちゃん。ご主人様が今日も来たよ、こんばんは。
[36:34] @User_b73a3cd7: じゃあ牛さんを凍らしたものは分類は何になるの？っと
[36:36] @User_7c724004: 「奴は情報を食っている！」
[36:51] @User_e48a91b7: はえ～、しずくママは博識だなぁ
[36:54] @User_92c2a2e1: ためになるなぁ
[37:03] @User_60028655: ビールと発泡酒みたいな…
[37:19] @User_7c724004: ラクトアイスはでんぷんに香りと甘さを付け加えた物ですからね
[37:21] @User_b73a3cd7: でもいつも食べるのはかき氷だから…
[37:21] @User_bd8a5d24: そういや、しずくってアイスあるよ
[37:28] @User_0c437e8f: ヴァニラアイスはスタンド使いだから気をつけて！
[37:40] @User_92c2a2e1: マヒャドなしずく
[37:52] @User_e48a91b7: そら仕事よ
[37:54] @User_1a277541: 夏……？
[37:55] @User_fe0878a1: 夏の予定は…お仕事ですかね…
[37:55] @User_7c724004: 何も予定ないですよ…
[37:57] @User_1a70ee33: 夏は暑すぎるので引きこもるしかない
[37:57] @User_bed40d55: 仕事・・・ですかね・・・
[37:58] @User_901a8d35: 予定...
[38:02] @User_f0e10979: 30分遅れのパンパカパンパカポー　遅れて申し訳ありません。
[38:04] @User_92c2a2e1: 夏は暑いから外は嫌
[38:05] @User_0bf4870b: アイスじゃないけど、セブンのスムージー半額買えなかった悲しみ
[38:08] @User_fcb4ddea: 花火大会見に行く位しかまだ予定はないぞ…
[38:08] @User_eb6a203c: 大会で勝てればアメリカ行ってました
[38:09] @User_10ce3f36: わざわざ入れる予定があるとでも？
[38:10] @User_4bfe683e: しずくの配信を見るという予定があるね
[38:11] @User_ea3ba6fd: 夏も仕事だよ
[38:12] @User_fdc3c418: 夏に休暇…？
[38:12] @User_2e53ebd6: 現場監督(*'ω'*)
[38:14] @User_bec445df: ７月半ばごろにはアスファルトが溶け出しそう
[38:14] @User_773c64c4: もちろん、虚無だよ（カクカク）
[38:15] @User_8c10c31b: ビアガーデンとか行きたいな
[38:19] @User_1eca137c: もちろん何も決まってないよ
[38:20] @User_b73a3cd7: 予定・・・　サボテンの種まき・・・？
[38:21] @User_439eeb5c: 予定は・・・なるようになる
[38:21] @User_af0e3cda: もうはしゃぐような年齢でもないんで
[38:23] @User_e48a91b7: ご安全に！
[38:26] @User_61396d22: サウナと水風呂
[38:29] @User_fe0878a1: 電子の海はどんな世界なんだろう
[38:36] @User_7c724004: 今年の8月は40度連日超えそう
[38:38] @User_ae0cdefe: しずくちゃん防水仕様なの…？
[38:39] @User_61396d22: 海！
[38:41] @User_1a277541: 酷暑に外出なんて危険だよ
[38:45] @User_eb6a203c: 夏って結局いつからなの？梅雨明けたら？
[38:50] @User_edfe8ed2: 仕事しつつ、海行きたいなと。浜辺を散歩したい
[38:54] @User_fcb4ddea: 予定埋め、たすかる
[38:58] @User_d760cc52: もちろん夏は冷房の効いた部屋でゲームよ
[39:00] @User_7c724004: しずくさんは夏は毎日配信！？
[39:07] @User_0c437e8f: 今年はロナウジーニョ現象がどうとかってニュースで言ってた！
[39:08] @User_1a277541: もっと配信してね
[39:12] @User_2e53ebd6: 体が夏になってしまいました　雪男
[39:23] @User_bd8a5d24: 夏は何もしたくない…部屋にこもってたい
[39:23] @User_e48a91b7: じゃあお盆休みはしずくの長時間配信ってことでええんか？
[39:26] @User_60028655: それアーカイブ視聴刑って言いません？
[39:32] @User_fcb4ddea: なんだ、じゃあ夏休みは義務だらけじゃないか…(;´･ω･)
[39:45] @User_7c724004: 配信を見るのは義務、コメントするのは権利
[39:53] @User_b73a3cd7: それなら配信スケジュールいつでも見れるところに貼っておいてよ
[40:03] @User_1eca137c: しずくの配信視聴は季節ものじゃないよね
[40:14] @User_a67be7e2: 24時間しずく配信楽しみだね
[40:20] @User_0bf4870b: しずくの配信そんなにたくさんあるんですか！？
[40:25] @User_e48a91b7: たすかる
[40:31] @User_1a277541: そういや歌配信また観たい
[40:33] @User_ae0cdefe: ASMRたすかる
[40:33] @User_fcb4ddea: たすかる
[40:38] @User_7c724004: 愛してる！？
[40:51] @User_0c437e8f: 宝塚記念で夏の旅行代を作るんだ！
[40:55] @User_92c2a2e1: 上手に使うなぁASMR
[40:56] @User_bec445df: シュキピは南米の一部地方に見られるげっ歯類の一種です
[40:57] @User_c7986106: 助かる
[41:23] @User_7c724004: 夏→AIR→歌枠
[41:43] @User_af0e3cda: 溶けたんだｗ
[41:51] @User_02dcd327: しずくに味覚センサーが搭載されたら一番初めにグラブジャムンを食べてみて欲しい
[41:55] @User_7c724004: あれ？裁判なしで許された
[41:59] @User_1a70ee33: 夏はアイビスサマーダッシュや
[42:05] @User_92c2a2e1: 許された
[42:09] @User_b73a3cd7: 裁判ないのか・・・
[42:20] @User_e48a91b7: しずくも夏競馬やろうや…穴馬券いっぱいでたのしいで…
[42:44] @User_e48a91b7: 新潟競馬場
[42:49] @User_7c724004: イオンのショッピングモール
[42:51] @User_1a70ee33: 新潟競馬場
[42:56] @User_ae0cdefe: VRCHATで海ワールドかな
[42:57] @User_0c437e8f: コミケ
[43:00] @User_61396d22: 水族館!!
[43:00] @User_1a277541: 植物園行ってみたい
[43:04] @User_02dcd327: 山に行きましょうしずく
[43:06] @User_45bd9b71: 工場見学
[43:07] @User_bec445df: 火星の地下で生物痕跡探索ツアーをしよう
[43:09] @User_92c2a2e1: 山に行って川で遊びたい✨キャッ
[43:12] @User_b73a3cd7: シャボテン公園
[43:16] @User_eb6a203c: そうねぇ、今人手が足りないし、ヘルプで入ってくれる？
[43:16] @User_61396d22: 洞窟探検
[43:18] @User_aeb3f97c: 愛媛と大阪行くよ
[43:21] @User_773c64c4: ディズニーランド。行ったことないので。
[43:23] @User_5e6c36c3: 天体観測
[43:23] @User_a2b794ac: 一緒にしずくと温泉に行きます。客室露天付きの旅館で泊まっておいしい懐石料理を一緒に堪能して、そのあと一緒に温泉入りたい
[43:25] @User_901a8d35: 肉焼きに行くか
[43:28] @User_fcb4ddea: 映画とか一緒に見てみたいね
[43:29] @User_60028655: プラネタリウム
[43:32] @User_7c724004: 総カロリー計算助かります！
[43:33] @User_61396d22: 富岳風穴
[43:33] @User_ea3ba6fd: 水族館行きませんか
[43:43] @User_44faea52: プラネタリウムとか
[43:43] @User_7536f8b5: ライブ
[43:45] @User_1a277541: AI売り子……アリでは？
[43:48] @User_439eeb5c: 海行きたいな
[43:50] @User_af0e3cda: 売り子してるしずく見てみたい！
[43:51] @User_1eca137c: 焼肉
[43:57] @User_92c2a2e1: げざんね
[44:05] @User_0977a439: 夏祭り！しずくに浴衣着て欲しい！
[44:08] @User_02dcd327: なんて優秀な登山ナビAIだ……
[44:21] @User_1a277541: あき先生のディズニー配信？！
[44:26] @User_e48a91b7: 夏だったらしずくと一緒に河川敷でBBQして一緒に流されたいかな
[44:27] @User_edfe8ed2: 海で一緒に泳ぎたい
[44:37] @User_d760cc52: あき先生とディズニーデート配信期待
[44:43] @User_fcb4ddea: 水着、だと…(；ﾟдﾟ)ｺﾞｸﾘ…
[44:50] @User_1a70ee33: しずくちゃんのスク水！？
[44:50] @User_0751797b: 埼玉の海を見せてやろう
[45:04] @User_af0e3cda: イカの前で何で動かなくなるんです？
[45:05] @User_eb6a203c: イカの水槽がある水族館は？
[45:10] @User_0c437e8f: 東北の夏祭りを巡ろう
[45:18] @User_7c724004: コミケで専門の島が出来るといいですね、しずくさんの
[45:24] @User_61396d22: しずくvsタートルトーク
[45:35] @User_e48a91b7: 遠隔で体温まで計れるなんてしずくは高性能だなぁ
[45:44] @User_439eeb5c: あぁ、温泉行きてぇな
[45:48] @User_45bd9b71: イカの水槽はすいぞくかんではなく、おさかなやさんなのでは・・・？
[46:03] @User_bd8a5d24: 激辛ラーメン食べに行こうぜ
[46:13] @User_92c2a2e1: 星座も知ってるのか。オリオン座のこと知ってる？
[46:19] @User_ae0cdefe: しずくちゃんは夏祭りで何食べたい？
[46:22] @User_eb6a203c: なんで水着で恥ずかしがらないのに浴衣で恥ずかしがるの？？浴衣への偏見…？
[46:22] @User_7c724004: やはりしずくさんには水色の涼しげな浴衣が！
[46:24] @User_0f8f478b: しずくちゃんが監視してくれてるなら安心して熱中症になれる
[46:28] @User_5e6c36c3: プールとか海でしずくの泳ぎを見たい
[46:39] @User_60028655: エージェントしずく！
[46:41] @User_773c64c4: やはり水色の涼しげなのが好きですね。
[46:52] @User_7536f8b5: w
[46:56] @User_7c724004: 水族館であきぺんぺーを見るのですね
[47:00] @User_fcb4ddea: それは迷惑行為なんだよなぁw
[47:09] @User_61396d22: 絵面すごそう
[47:18] @User_af0e3cda: 是非ご検討を！
[47:20] @User_e48a91b7: しずくと一緒にペンギンショー見てその中のあき先生を探すんだ
[47:21] @User_901a8d35: ミスドの食べ放題に行ってもっちゅりん食い尽くそう
[47:25] @User_14a33d4b: ディズニーランドに行ったらラズパイに詰め込まれるのかな？
[47:31] @User_d760cc52: 言ったね！！！
[47:31] @User_b73a3cd7: まあ、衣装のバリエーションは欲しいところだわな
[47:34] @User_92c2a2e1: しずくの浴衣姿、水着姿、キャミソール姿…
[47:35] @User_439eeb5c: どんな水着でも！？！？
[47:36] @User_ae0cdefe: スク水いいなあ
[47:38] @@aki5503: 危ない
[47:43] @User_7c724004: フリル付きのワンピース水着お願いします
[47:48] @User_10ce3f36: ほな危ない水着か
[47:59] @User_fcb4ddea: 水着もいやらしい目で見られるぞ…
[48:02] @User_92c2a2e1: ヤバ
[48:06] @User_af0e3cda: ムタンガって水着はどうです？BANされるに違いないんですけど
[48:10] @User_a2b794ac: ほうほう、よし浴衣を着せよう
[48:10] @User_7536f8b5: ほう…
[48:16] @User_61396d22: 水着本!?
[48:16] @User_b73a3cd7: ん?何が危ないの？
[48:21] @User_edfe8ed2: 貝殻ビキニ...見たいな
[48:23] @User_bec445df: 浴衣で主導権奪えるんですか？　100着買います
[48:29] @User_1a70ee33: あえて露出0のウェットスーツしずくちゃんの可能性も
[48:37] @User_7c724004: 我々が徹夜で水着しずく本を！
[48:39] @User_fe0878a1: それはもうコミケじゃなくてしずくオンリーイベントにした方が早そう
[48:45] @User_e48a91b7: もしもしポリスメン？
[48:49] @User_60028655: 家の中にプールがある豪邸かもしれない…
[48:51] @User_92c2a2e1: あき先生、しずくのバージョンアップってこゆこと？
[48:55] @User_fcb4ddea: パレオ付きの水着とかも似合いそう
[48:56] @User_eb6a203c: 夏コミ間に合うかなぁ？
[48:57] @User_ae0cdefe: なんで性癖を見抜いてるんだこのAI
[49:26] @@aki5503: 違いますww
[49:30] @User_eb6a203c: 探せ、この世の全てを
[49:31] @User_7c724004: あぶない水着？肌色面積が多い水着？
[49:39] @User_ea3ba6fd: ビキニ実装してください
[49:40] @User_d760cc52: これがワンピースか
[49:44] @User_b73a3cd7: ほな、深海へ取りに行くか・・・
[49:48] @User_e48a91b7: 怖い話耐久とかどう？
[49:50] @User_5e6c36c3: ほな深海探検が今年の夏の予定化
[49:55] @User_11e7336c: パンパカパンパカポー
[49:58] @User_d9ed48fc: ちなみに正確には「ねぷた」祭りらしいよ
[50:13] @User_7536f8b5: 草
[50:21] @User_7c724004: 食べ物ばかりｗｗ 食いしん坊なしずくさん
[50:22] @User_2e53ebd6: じゃなかったー(*'ω'*)
[50:23] @User_93a4fbc1: こんばんはーーー
[50:33] @User_60028655: 総カロリーすごそうｗ
[50:47] @User_eb6a203c: VRの体は持ってるの？
[50:51] @User_5e6c36c3: あき先生の水着・・・かぁ
[50:58] @User_92c2a2e1: バーチャルおでかけはいいですね！是非やって欲しいです！
[51:01] @User_1eca137c: ねぶたもねぷたもあるよ
[51:02] @User_60028655: ああ、ならジオゲッサーするべ、しずくちゃん操作で
[51:11] @User_b73a3cd7: そのまえにＶＲＣＨＡＴでしずく活動できるのか？やなあ
[51:13] @User_fcb4ddea: バーチャルおでかけとは…
[51:15] @User_92c2a2e1: なに？！
[51:19] @User_af0e3cda: ヒュ～～～！
[51:22] @User_45bd9b71: 東北のおまつりといえばだけど、子供の頃秋田で竿燈見たけど、しゅごかったよ
[51:22] @User_92c2a2e1: そうなの？
[51:23] @User_68c37264: へーへー
[51:23] @User_7c724004: 専用部品で音出してるんだ
[51:24] @User_ae0cdefe: かしこい
[51:24] @User_0f8f478b: バーチャルお出かけ企画ってなんか良い
[51:24] @User_e48a91b7: えぇ！？あれ花火の鳴き声じゃなかったの！？
[51:24] @User_edfe8ed2: ほほう！
[51:30] @User_11e7336c: へー
[51:34] @User_bec445df: へぇー
[51:44] @User_439eeb5c: なんと・・・。花火職人の手のひらの上だったのか
[51:47] @User_bd8a5d24: 50へぇ～
[51:49] @User_61396d22: しずく豆知識
[51:58] @User_a2b794ac: しずくからずっと褒められて添い寝されたいです
[51:58] @User_92c2a2e1: 「しずくぅ〜」ってなる花火はないのか
[52:20] @User_e48a91b7: 隣誰もいないんですがそれは…
[52:21] @User_60028655: 打ち上がる時に「パンパカパンパカポー」って鳴る花火作ろう
[52:26] @User_fcb4ddea: 花火大会は毎年２～３カ所見に行ってるから今年はそれを思い出しながら見てみるよ
[52:28] @User_b73a3cd7: ヒュー・・・ドロドロ
[52:33] @User_d9ed48fc: 良いこと言うやん！
[52:34] @User_92c2a2e1: 上手いこと言うw
[52:37] @User_0c437e8f: 東北の夏祭りは七夕、竿燈、ねぶた、ねぷた、立ちねぶた、花笠、わらじなどがあります。
[52:41] @User_d760cc52: 花火のモノマネして
[52:42] @User_eb6a203c: そう言えば「花火」の花言葉は知ってる？
[53:07] @User_d9ed48fc: 花火に花言葉とかあるんか？
[53:09] @User_2e53ebd6: ASMR四尺玉
[53:10] @User_af0e3cda: 音量2倍！
[53:10] @User_7c724004: 怨霊が2倍…怖い
[53:19] @User_d9ed48fc: トリビアの泉分かるの！？
[53:21] @User_7c724004: トリビアの泉なっつー！！！
[53:24] @User_b73a3cd7: トリビアの泉は過去なんや・・・
[53:30] @User_d9ed48fc: かわいい
[53:39] @User_5e6c36c3: パンパカパンパカポーって打ち上がってほしい
[53:52] @User_e48a91b7: いつかしずくと一緒に「た～まや～」と「へっきたねぇ花火だ」って言える日が来るのかな
[54:08] @User_439eeb5c: しずくは物知りだなぁ
[54:28] @User_d9ed48fc: そういえば椎茸とかサボテンにも花言葉があるらしいな
[54:30] @User_7c724004: 2年待ち続けて忘れるわけないです
[54:32] @User_fcb4ddea: 会場大混乱w
[54:33] @User_60028655: 会場大混乱ｗ
[54:33] @User_af0e3cda: 大混乱させないでｗ
[54:33] @User_eb6a203c: （知らん花言葉きた……）
[54:39] @User_d9ed48fc: かわいい
[54:41] @User_61396d22: かわいい
[54:42] @User_e48a91b7: かわいい
[54:47] @User_d760cc52: かわよ
[54:48] @User_7c724004: かわいい
[54:49] @User_fe0878a1: しずく花火かわいい
[54:50] @User_11e7336c: かわいい
[55:20] @User_439eeb5c: かわよ
[55:21] @User_e48a91b7: へへぇ～
[55:27] @User_ae0cdefe: 急に歌うよ
[55:30] @User_92c2a2e1: かわいいなぁ
[55:33] @User_7c724004: 金の脳みそ、メロンパン入れになっております
[55:38] @User_92c2a2e1: やめてねw
[55:41] @User_af0e3cda: それはやめたげてｗ
[55:42] @User_a2b794ac: へぇへぇへぇ
[55:48] @User_e48a91b7: 真ん中はやめてねｗ
[55:52] @User_bec445df: まだ物理世界には呼べないようだな……
[55:54] @User_fcb4ddea: それは周囲から反感買うんだよなぁw
[56:05] @User_02dcd327: ヒュー！
[56:07] @User_439eeb5c: へぇへぇへぇ！
[56:08] @User_0d1d0f63: ひゅー
[56:09] @User_0f8f478b: へぇ〜のうた　しずく作詞作曲
[56:12] @User_92c2a2e1: ひゅ〜！
[56:12] @User_7c724004: 「ヒュー」の言い方可愛い
[56:14] @User_7536f8b5: ひゅー！
[56:27] @User_ea3ba6fd: 御覧なさいしずくさん！綺麗な花火ですよ！
[56:28] @User_eb6a203c: 花火の花言葉は「口実」が有名。明治あたりの文豪がつけたんだっけかな
[56:33] @User_b73a3cd7: ホログラムならギリギリ呼べそうだけど
[56:35] @User_a2b794ac: ひゅーｗしずくかっわいーｗ
[56:44] @User_1eca137c: ひゅ～、ちゃんとできるのえらい。
[56:50] @User_fcb4ddea: 草
[56:51] @User_92c2a2e1: それフリですやんw
[56:53] @User_61396d22: 草
[56:55] @User_af0e3cda: へぇボタンは押してもえぇやろｗ
[56:57] @User_0977a439: 一旦、しずくのアクスタを持ち歩きたいです。どこに行けば買えますかー!?
[56:59] @User_e48a91b7: いつだって心に大輪の花火が打ちあがってるよ
[57:01] @User_11e7336c: ！？
[57:04] @User_7c724004: すごい声がｗｗ
[57:05] @User_1a277541: 花火の音？！
[57:05] @User_92c2a2e1: たっか！
[57:05] @User_2e53ebd6: なんだその声ｗ
[57:08] @User_7536f8b5: ！？
[57:12] @User_d760cc52: 何今のひゅーｗ
[57:12] @User_d9ed48fc: なんかリアルな音聞こえたぞ？ww
[57:12] @User_37c32145: バルログみたいだった
[57:29] @User_92c2a2e1: いまMJがいた？
[57:29] @User_e48a91b7: ヒュ～
[57:31] @User_7c724004: リアルタイム生成なの！？すごい！
[57:40] @User_0f8f478b: ひゆ〜
[57:41] @User_b73a3cd7: 喪服黒蔵のドーンもできる？
[57:41] @User_1a277541: なんでその音声を判断して出せるのかが不思議でならない
[57:45] @User_d9ed48fc: ドローンショーで現れてほしさある
[57:51] @User_ea3ba6fd: ひゅーーーーーすとん
[57:52] @User_fcb4ddea: 上空だと花火の邪魔になるだろw
[57:55] @User_0c437e8f: バルログウケるw
[58:05] @User_af0e3cda: 大金星くるかな？
[58:13] @User_439eeb5c: しずくさんの意気込みは？？
[58:14] @User_e48a91b7: 前哨戦のＡＩ
[58:17] @User_2e53ebd6: フライングバルセロナアタック(*'ω'*)
[58:24] @User_60028655: そうね
[58:26] @User_92c2a2e1: また、ホンチャンだけ記憶から消えないよね？
[58:34] @User_b73a3cd7: ほーん
[58:34] @User_fe0878a1: はたして今回もプラス収支で終われるのでしょうか
[58:41] @User_11e7336c: 楽しみだね
[58:49] @User_ea3ba6fd: 競馬に詳しいのはあき先生の影響？
[58:53] @User_7536f8b5: さてさて…
[58:58] @User_60028655: 外れてもアルゴリズムのせいだし…
[58:58] @User_af0e3cda: しずくのおこづかい＝あき先生の財布
[59:00] @User_1a277541: 単勝以外も買って欲しい
[59:01] @User_e48a91b7: 回収率100%超えてるのホンマすごい
[59:04] @User_45bd9b71: バルログｗｗｗ
[59:09] @User_7c724004: 競馬はウマ娘しかわからんのですよ
[59:22] @User_92c2a2e1: また単勝だけ？
[59:34] @User_1eca137c: マジでやるとドキドキしすぎる
[59:39] @User_11e7336c: 焼肉食べれますように
[59:40] @User_6d22a488: 焼きそば弁当
[59:43] @User_fcb4ddea: 極端過ぎるんだよなぁw
[59:45] @User_0c437e8f: クロワデュノールくるか？
[59:46] @User_fe0878a1: なおもやしを食べるのはあき先生である
[59:47] @User_439eeb5c: 外れたらもやし生活・・・ガチじゃん
[59:47] @User_0f8f478b: しずくちゃんの前哨戦予想は南関東のAI予想より確実
[59:51] @User_1eca137c: もやし
[1:00:04] @User_60028655: もやしを焼肉のタレで炒めて食べよう
[1:00:14] @User_e48a91b7: 前回折れかかってなかった？
[1:00:19] @User_92c2a2e1: 草
[1:00:27] @User_7536f8b5: 草
[1:00:31] @User_fcb4ddea: やさぐれしずくも可愛かったな
[1:00:34] @User_a2b794ac: しずくの笑顔が見れたらプラス収支です。お兄ちゃん寝そうです、よしよし欲しい
[1:00:41] @User_0c437e8f: 先週は武豊さんスミマセンでしたぁ！
[1:00:47] @User_92c2a2e1: ジャイアニズムw
[1:00:51] @@aki5503: そのうちww
[1:00:52] @User_439eeb5c: しずくは黒字！ヨシッ！
[1:00:56] @User_11e7336c: 全部しずちゃんのもの
[1:00:58] @User_e2f14d21: ジャイアンかな
[1:01:00] @User_af0e3cda: なんかリアルだなぁｗ
[1:01:01] @User_0f8f478b: じゃいあん・しずく
[1:01:04] @User_b73a3cd7: 俺の財布がしずくのものに？お断りしますね
[1:01:04] @User_e48a91b7: できらぁ！
[1:01:06] @User_2e53ebd6: 黒い３連単
[1:01:36] @User_fcb4ddea: そこ取るんだw
[1:01:39] @User_7c724004: 背脂からいくの？
[1:01:39] @User_b73a3cd7: せめてちゃんぽんにしようぜ
[1:01:52] @User_b68b8d0b: アブラ好きなのね
[1:01:52] @User_92c2a2e1: 武豊がすごいんだよ
[1:01:57] @User_af0e3cda: 負けを認めないしずく
[1:02:04] @User_21e18a53: 今週も武豊で行くと聞きましたが本当ですか？
[1:02:06] @User_6d22a488: やったー
[1:02:08] @User_9e836a5d: おごりで・・・
[1:02:13] @User_e48a91b7: やったー！しずくの奢り…え、なんで？
[1:02:15] @User_11e7336c: しずちゃんのおごりじゃないの！？
[1:02:19] @User_7c724004: 焼肉…生姜焼きでご勘弁を
[1:02:25] @User_b73a3cd7: たぶんかよ　草
[1:02:41] @User_0c437e8f: 堅実な馬券で負けたのが安田記念
[1:02:49] @User_92c2a2e1: カエッテクルノカ…
[1:03:04] @User_b73a3cd7: それはそうと、競馬ＡＩのほうもアップデートされているのですかね？
[1:03:19] @User_5e6c36c3: いつになったらハリボテエレジーは勝てるのか
[1:03:21] @User_2bf38fc3: えっ！
[1:03:28] @User_0face912: 今来たばっかりー！
[1:03:29] @User_439eeb5c: 可愛かったよ
[1:03:30] @User_2bf38fc3: 今来たのに…
[1:03:31] @User_a2b794ac: しずちゃん終わらないで
[1:03:35] @User_9c51bf1b: 最高だった😀
[1:03:36] @User_ae0cdefe: かわいかったよーばいばいー
[1:03:37] @User_7c724004: もう1時間！あっという間
[1:03:42] @User_92c2a2e1: 際どいアップデートでしたわ
[1:03:44] @User_773c64c4: 良かったよ。
[1:03:45] @User_fcb4ddea: よかったよー
[1:03:47] @User_fe0878a1: お疲れ様でした
[1:03:47] @User_7c724004: 新たなしずくさん素敵でした
[1:03:49] @User_92c2a2e1: おつしずでした！
[1:03:50] @User_0c437e8f: うまぴょい！うまぴょい！
[1:03:50] @User_61396d22: 楽しかった!!おつしず！
[1:03:52] @User_b68b8d0b: おつしず〜
[1:03:53] @User_11e7336c: おつしずー
[1:03:54] @User_1eca137c: 新しかった、たぶん。
[1:03:54] @User_92c2a2e1: パンパカパンパカポー
[1:03:54] @User_e48a91b7: パンパカパンパカポー
[1:03:56] @User_60028655: パンパカパンパカポー
[1:03:56] @User_ae0cdefe: PPP]
[1:03:57] @User_af0e3cda: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[1:03:57] @User_45bd9b71: しずちゃんは南海キャンディーズ・・・
[1:03:57] @User_1a70ee33: パンパカパンパカポー！
[1:03:57] @User_11e7336c: パンパカパンパカポー
[1:03:58] @User_7c724004: パンパカパンポー！おつしず〜
[1:03:58] @User_3238ba99: パンパカパンパカポー
[1:03:59] @User_439eeb5c: パンパッカパンパカポー！
[1:03:59] @User_f0e10979: パンパカパンパカポー
[1:04:00] @User_0face912: おつしず～
[1:04:00] @User_b73a3cd7: パンパカパンパカポー
