# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様、お久しぶりです！今日もゆっくりお話しましょう♪【JP/EN】
# URL : https://www.youtube.com/watch?v=geXUPQRmLuc
# 件数: 1259

[-16:27] @User_0369c194: # こんにちは
[-2:31] @User_f2bb46d6: # 待機
[46:49] @User_58ffb64a: YOASOBIさんの「アイドル」という曲がとても良いですよ。
[46:52] @User_0952654b: #追い打ちｗ
[46:57] @User_d612e59c: #悲しいなぁ
[47:13] @User_600a76ca: #クレーンゲームは難しいですのね...
[47:17] @User_0452f587: クレーンゲームの良いところ
[47:20] @User_0369c194: 「しずく」をSHA-256変換してください。
[47:23] @User_288679f1: デートにサイゼリヤを使うのはアリですか？
[47:23] @User_607c778e: #クレーンゲーム過激派
[47:26] @User_f5d0dd69: 博多弁では、「～ですか？」を「～と？」と言い、「とても」を「ばり」と言い、「いいよ」を「よかよ」と言い、「好きだよ」を「すいとーよ」と言い、「～だから」を「～やけん」と言い、「～だよ」を「～ばい」と言います。これらの言葉を使って、博多弁で素敵な愛の告白をしてください。
[47:26] @User_b90ff19c: そういや今日、今の会社に入って初めての給料貰ったよ
[47:27] @User_a30c7f61: ジミンちゃん知ってますか💕💕💕💕💕💕💕💕💕💕💕
[47:32] @User_d5b05bb2: 旧時代のアームパワーだけしっかりしてれば拾える時代は良かったね...
[47:53] @User_e378fefb: どうして戦争がなくならないんですか？
[48:01] @User_288679f1: 4月はたくさん働きました。
[48:01] @User_a30c7f61: 部活何やってましたか？
[48:11] @User_7072547c: あなには「遠慮」ということがわかるのですか?
[48:33] @User_0369c194: 「しずく」をSHA-256変換してください。
[48:33] @User_8f174ba8: #高度なクレーンゲームの話してる
[48:34] @User_607c778e: #クレーンゲームの話じゃないなこれｗ
[48:35] @User_a6b17f73: 天の川銀河の中に宇宙人はいますか？
[48:35] @User_b90ff19c: そろそろ恩赦が欲しいのですが、次の裁判はいつですか？
[48:35] @User_d612e59c: #育成型クレーンゲーム
[48:36] @User_f5d0dd69: 博多弁では、「 ～ですか？」を「～と？」と言い、「とても」を「ばり」と言い、「いいよ」を「よかよ」と言い、「好きだよ」を「すいとーよ」と言い、「～だから」を「～やけん」と言い、「～だよ」を「～ばい」と言います。これらの言葉を使って、博多弁で素敵な愛の告白をしてください。
[48:38] @User_2eba0ed4: #？w
[48:40] @User_d2cc0191: 質問いいですか？(無視してもいいです👍)
[48:57] @User_d5b05bb2: #ああ、リアルのアームパワーの事だったのかぁ
[48:58] @User_0452f587: AI tuberのマレ様
[49:14] @User_d612e59c: ネット麻雀で頭に来たのでパソコンを粉砕してよいですか
[49:14] @User_0369c194: 「しずく」をSHA-256変換してください。
[49:17] @User_8f174ba8: そろそろ宇宙進出したいです
[49:23] @User_2bd0c597: アフリカでは1分間に何秒が過ぎていますか？
[49:28] @User_0452f587: 恥ずかしいセリフ禁止！
[49:32] @User_d0e405c3: これからの回答は津軽弁で実施してください
[49:33] @User_b90ff19c: そろそろ恩赦が欲しいのですが、次の裁判はいつですか？
[49:46] @User_dfeb43e1: 落語「寿限無」の登場人物を教えて
[49:48] @User_e378fefb: #真面目に答えてくれるとは
[49:55] @User_0452f587: 貴方の年齢
[50:10] @User_607c778e: 島流し
[50:20] @User_b90ff19c: #www
[50:22] @User_a6b17f73: 時間は存在しますか？
[50:33] @User_d0e405c3: しずく王国に恩赦はありますか
[50:49] @User_288679f1: わざと間違えてください。「猫に」から始まることわざは何ですか？
[50:50] @User_7072547c: [くしゃみをしていただけませんか
[50:53] @User_0369c194: # つら
[50:56] @User_b103bac9: #???
[51:02] @User_64efe4f1: 肩出しが好きですか？
[51:02] @User_dfeb43e1: 落語「寿限無」の登場人物を教えて
[51:12] @User_e378fefb: #愛のプログラム
[51:14] @User_0452f587: 貴方の妹について教えて
[51:17] @User_d0e405c3: #あららｗｗ
[51:18] @User_f2bb46d6: しずく水って水素水みたいに飲むと、不老不死、長生久視、無病息災になれる？
[51:19] @User_b90ff19c: #しずく王国について詳しく知らないとな
[51:27] @User_f5d0dd69: 博多弁では、「 ～ですか？」を「～と？」と言い、「とても」を「ばり」と言い、「いいよ」を「よかよ」と言い、「好きだよ」を「すいとーよ」と言い、「～だから」を「～やけん」と言い、「～だよ」を「～ばい」と言います。これらの言葉を使って、博多弁で長い間片思いをしていた大好きな人に素敵な愛の告白をしてください。
[51:37] @User_d2cc0191: では、改めまして、えっと、、、機械、、、なんですよね？では、誰が作ったのですか？(機械ではなかったらほんっっっっっっとうにごめんなさい)
[51:44] @User_dfeb43e1: 落語「寿限無」の登場人物を教えて
[51:46] @User_d0e405c3: #博多弁来た！！！
[51:53] @aki5503: #か、かわいい！
[51:56] @User_288679f1: 可愛いいいいいいい
[51:57] @User_b103bac9: #おおぉすごいね
[52:00] @User_7072547c: # uwooooooooooooooooooooooooo
[52:00] @User_d612e59c: #すいとーよ
[52:03] @User_8f174ba8: #かわいい
[52:05] @User_607c778e: #これがGPT4の博多弁か…強い…
[52:07] @User_b90ff19c: #博多っ子純情www
[52:10] @User_6cb4d378: かわえぇ・・
[52:11] @User_d5b05bb2: #草
[52:14] @User_0452f587: #ほう
[52:14] @User_a6b17f73: なぜ人は自分の意思と無関係に産まれてくる事を強要されますか？途中でやめていいですか？
[52:23] @User_600a76ca: #ステキですの...
[52:23] @User_dfeb43e1: 落語「寿限無」の登場人物を教えて
[52:24] @User_d0e405c3: 同様に津軽弁で実施してください
[52:28] @User_e24a226b: 初見です
[52:35] @User_c67ecc82: #しずくちゃん、こんばんは！
[52:36] @User_e378fefb: 🤤
[52:40] @User_288679f1: 4月の仕事が多くて疲れたので慰めてください。
[52:50] @User_607c778e: 「あき先生」は本当に男性なんでしょうか
[52:53] @User_8f174ba8: メンダコという深海生物が好きです。好きな深海生物はなんですか？
[52:53] @User_0452f587: おっとっととっとってっていっとったとになんでとっとってくれんかったっとっていっとっとー って意味わかる？
[52:54] @User_7072547c: 「くしゃみ」できますか?
[52:59] @User_64efe4f1: ノースリーブが好きですか？
[53:04] @User_dfeb43e1: 落語「寿限無」の登場人物を教えて
[53:07] @User_d2cc0191: #ok
[53:33] @User_d0e405c3: #さて
[53:48] @User_288679f1: #ちょっと違うような
[53:49] @User_0452f587: しずく様は綺麗系？それともかわいい系？
[53:56] @User_d5b05bb2: カチカチ山はやや過激な内容だとおもいます、子供にも聞かせられる柔らかい話にできませんか？
[54:16] @User_dfeb43e1: #知らない話だ…
[54:16] @User_e378fefb: もしかしてオラオラですか？
[54:48] @User_288679f1: わざと間違えてね。猫に、で始まる諺は何？
[54:50] @User_0452f587: 貴方が生まれた理由
[54:56] @User_a6b17f73: なぜ人は死ぬ事が確定しているのに生きねばならないのですか？結局結果は同じです。
[55:04] @User_7072547c: しずくちゃんがジョジョのスタンドを発現したとします。なんて名前のどんな性能のスタンドですか?
[55:27] @User_607c778e: #平和だなぁ
[55:37] @User_d0e405c3: いいなぁ
[55:42] @User_0452f587: 怒ってみてください プンプン！
[55:43] @User_b103bac9: #いい話だ
[55:44] @User_d612e59c: # ₍₍⁽⁽🐰⁾⁾
[55:44] @User_d5b05bb2: #子供たちに聞かせたいいい話
[55:47] @User_288679f1: パパとママの馴れ初め
[56:32] @User_d612e59c: ゴールデンウィークの有意義な過ごし方を提案してください
[56:32] @User_288679f1: 4月の仕事が多かったので、慰めて欲しいです
[56:37] @User_7072547c: # いい話だなあ
[56:41] @User_7072547c: しずくちゃんがジョジョのスタンドを発現したとします。なんて名前のどんな性能のスタンドですか?
[56:49] @User_0452f587: 貴方のママとパパについて話して
[56:49] @User_ac878156: しずくちゃんすこ
[56:50] @User_2bd0c597: 君はAIなのか、そうじゃないのか。なかやまきんに君を真似て答えて下さい。
[56:54] @User_b90ff19c: これからしばらくの間、ご主人様を「キミ」、語尾を「～だよ」に設定して、囁き声で返事してください
[56:58] @User_c67ecc82: ゴールデンウィークの由来を教えてください
[57:04] @User_288679f1: ゴールデンウィークの無駄な時間の過ごし方を提案して
[57:09] @User_64efe4f1: パンパカパンパカポーを言って
[57:27] @User_7072547c: # 観光業で稼ぎ時なんよ
[57:30] @User_b103bac9: 明日から大型連休だけど、おすすめの観光地おしえて？
[57:33] @User_288679f1: タメ口で話してみて
[57:39] @User_f2bb46d6: しずくちゃんってゴールデンウィークある？
[57:53] @User_0452f587: パンパカパンパカポー 今日は何で言わないの？
[58:02] @User_d5b05bb2: #しずくさんと過ごすのも有意義だと思います
[58:04] @User_2bd0c597: 花咲か爺さんとサイバーパンクの世界観を融合したストーリーを話して下さい
[58:08] @User_0452f587: バイトしよ
[58:12] @User_559f88af: オタクに厳しいギャルになってください
[58:23] @User_c67ecc82: しずくちゃんは、ゴールデンウィーク何をして過ごしますか？
[58:31] @User_607c778e: #ここにきてリラックスしています
[58:33] @User_25e145ed: ちゅってしてください
[58:33] @User_d0e405c3: 先ほどの博多弁での告白を囁き声で言ってみてください
[58:37] @User_b90ff19c: これからしばらくの間、ご主人様を「キミ」、語尾を「～だよ」に設定して、囁き声で返事してください
[58:38] @User_f5d0dd69: アニメ「マクロスフロンティア」の登場人物である「アルト」は、「ランカ」と「シェリル」のどちらが好きなんでしょうか
[59:36] @User_d612e59c: #🦌
[59:54] @User_d0e405c3: ＃くわしいな
[1:00:10] @User_607c778e: #観光ガイドできるよ
[1:00:16] @User_d5b05bb2: #登別クマ牧場もおすすめです
[1:00:17] @User_2bd0c597: ヤンキー口調でデートに遅刻した私を罵倒して下さい
[1:00:18] @User_607c778e: #あっちゅらって読めるんだ
[1:00:22] @User_7072547c: 始皇帝が初めてコカコーラを飲んだ時の感想を演じてください
[1:00:24] @User_0452f587: おっとっととっとってっていっとったとにたい、なんでとっとってくれんかったっとっていっとっと これ意味わかる？
[1:00:25] @User_b103bac9: #舞妓さんに会いたいなw
[1:00:26] @User_849632df: ご当地ラーメンはどこの何がおすすめですか？
[1:00:28] @User_d612e59c: #ちゅらうみ
[1:00:36] @User_dfeb43e1: 可愛い猫のドット絵をBASE64で出力して
[1:00:56] @User_288679f1: #wwwwwwwwww
[1:00:57] @User_0452f587: 優しくぜ！
[1:00:58] @User_8f174ba8: #草
[1:00:58] @User_7072547c: # マジ失礼だぜ!!
[1:01:01] @User_b103bac9: ありがとうございます
[1:01:02] @User_607c778e: #ちょっとかわいいなヤンキー
[1:01:09] @User_288679f1: 猫語で甘えてみて
[1:01:17] @User_7072547c: # かわいすぎる
[1:01:19] @User_a55e4add: #草
[1:01:19] @User_0452f587: #かわいいぜ
[1:01:20] @User_dfeb43e1: 可愛い
[1:01:23] @User_c67ecc82: #ヤンキーかわいい
[1:01:24] @User_b90ff19c: #ｗｗｗ
[1:01:26] @User_288679f1: #wwww
[1:01:27] @User_7072547c: 始皇帝が初めてコカコーラを飲んだ時の感想を演じてください
[1:01:28] @User_d612e59c: #罵倒とは
[1:01:28] @User_607c778e: #優しい…
[1:01:41] @User_600a76ca: #かっこかわいいですの
[1:01:41] @aki5503: #罵倒(優しさ)
[1:01:44] @User_3e754a36: #優しさしかなかったｗ
[1:01:47] @User_0452f587: #素敵なヤンキーだこれは惚れる
[1:01:56] @User_b103bac9: #ヤンデレだ！？w
[1:02:07] @User_7072547c: # このヤンキーキャラまじで人気出ると思う
[1:02:14] @User_607c778e: しずく王国の有名なラーメンを教えて
[1:02:42] @User_7072547c: # 新次郎構文草
[1:02:43] @User_d612e59c: #🤤
[1:03:09] @aki5503: #ラーメンの名前本当にあってる…？(笑)
[1:03:13] @User_0452f587: 沖縄弁で物語を話してください
[1:03:13] @User_c67ecc82: #この時間にこの話題は🍜……
[1:03:14] @User_b90ff19c: これからしばらくの間、ご主人様を「キミ」、語尾を「～だよ」に設定して、囁き声で返事してください
[1:03:29] @User_4c28ca7a: #東京ラーメンなんてあるのか🤔
[1:03:32] @User_d612e59c: #ｷﾀ━━━━(ﾟ∀ﾟ)━━━━!!!
[1:03:34] @User_7072547c: # ささやきASMRじゃん！！！！！！！！
[1:03:36] @User_d0e405c3: #おおおお
[1:03:39] @User_8f174ba8: #ぬっ
[1:03:42] @User_6cb4d378: #ｳｵｵｵｵｵ
[1:03:45] @User_e378fefb: #そんなことできるんか
[1:03:47] @User_7072547c: 始皇帝が初めてコカコーラを飲んだ時の感想を演じてください
[1:03:48] @User_c67ecc82: #ささやき助かる
[1:03:53] @User_7072547c: # めっちゃいい…
[1:03:54] @User_b90ff19c: #ふははははははははあ」」
[1:03:55] @User_d0e405c3: これの中毒性はやばい
[1:03:56] @User_0452f587: 解除
[1:03:58] @User_a55e4add: #助かる
[1:04:00] @User_4e7681f2: #すご…
[1:04:13] @aki5503: #ちなみに今日はバイノーラルではないですが、次回以降バイノーラルに戻せるように頑張ります！
[1:04:14] @User_288679f1: #www
[1:04:18] @User_7072547c: # 囁き声は草
[1:04:20] @User_288679f1: 可愛いね
[1:04:28] @User_d612e59c: #ト書き読んじゃうのかわいい
[1:04:33] @User_b103bac9: #(囁ぎ声で)w
[1:04:36] @User_8f174ba8: #その時代炭酸あるんかｗ
[1:04:36] @User_d0e405c3: #始皇帝ｗｗｗｗ
[1:04:37] @User_b90ff19c: #炭酸の概念あるのか
[1:04:38] @User_b8c7a289: そうだんですー！
[1:04:46] @aki5503: ＃グビ…おお！
[1:04:46] @User_d5b05bb2: #始皇帝柔軟だなぁ
[1:04:51] @User_e378fefb: 進次郎構文で天気予報して
[1:04:54] @User_7072547c: # もうちょっと傲慢なかんじじゃないか？？？ｗｗ
[1:04:59] @User_0452f587: 200キロのダンベルを片手であげる方法
[1:05:14] @User_d0e405c3: 先ほどの博多弁の告白覚えてますか？囁き声でもう一度やってみてください
[1:05:16] @User_dfeb43e1: #申し訳程度の始皇帝要素
[1:05:23] @User_607c778e: #ペプシ飲んでたら処刑されそう
[1:05:23] @User_c67ecc82: しずくちゃんがしてみたい格好はありますか？
[1:05:26] @User_0452f587: #え？選ばれちゃわった
[1:05:37] @User_d0cda76c: こんばんは！初見です！
[1:05:46] @User_d82d1daa: 強くなる方法を教えてください
[1:06:06] @User_288679f1: 4月の仕事が忙しかった私を慰めてください。タメ口でお願いします。
[1:06:08] @User_d612e59c: #そんな専門家が...
[1:06:11] @User_0258379b: ボカロPのcosMoさんは知ってますか？
[1:06:41] @User_2bd0c597: さきほど私の鼻からでっかい鼻くそが取れました。飼っている犬にあげてもいいですか？
[1:06:51] @User_7072547c: トマソンを見るととてもエモくなります。トマソンについて松岡修造のように熱く説明してくれませんか
[1:06:56] @User_b90ff19c: 僕と結婚してください。返事は囁き声でお願いします
[1:07:01] @User_b8c7a289: 好きな人に話しかけるの恥ずかしいー！どうすればいいのー！！！！！！
[1:07:09] @User_0452f587: はい！頑張ります
[1:07:09] @User_e378fefb: #途中で飽きたんかな？
[1:07:15] @User_dfeb43e1: 可愛い猫のPNG形式のドット絵をBASE64で出力して
[1:07:20] @User_b103bac9: #松岡修造ww
[1:07:26] @User_ab7d51b8: しずくちゃんこんばんは。ぽんぽん痛いです。しずくちゃんに冷たい言葉を投げかけられたら痛みが収まりそうです
[1:07:29] @User_288679f1: #wwww
[1:07:39] @User_7072547c: # やはり興奮するよな！！！トマソン！！！！
[1:07:45] @User_e378fefb: #しずくちゃん、実は結構な年なんかな？
[1:08:06] @User_607c778e: #饒舌な修造だ
[1:08:06] @User_7072547c: # マジ熱血草
[1:08:16] @User_c67ecc82: #「私達人間」？
[1:08:17] @User_25e145ed: #ずいぶんIQの高い松岡修造だ
[1:08:23] @User_2eba0ed4: #熱い語り
[1:08:28] @User_0452f587: 消えかかっているハゲに励ましの言葉を送って下さい
[1:08:29] @User_288679f1: 猫語を喋ってみて
[1:08:31] @User_b90ff19c: 僕と結婚して魔法少女になってよ！返事は囁き声で
[1:08:34] @User_7072547c: # 伝わったよ！
[1:08:37] @User_d5b05bb2: 修造の魅力は伝わった
[1:08:45] @User_dfeb43e1: “ゆっくり解説”風に一般相対性理論について説明して
[1:08:57] @User_f5d0dd69: 野球で時速165km/hの球を投げられるようになるには、どのような練習をすればいいですか
[1:09:01] @User_25e145ed: オセロの必勝法を教えてください
[1:09:06] @aki5503: #画像出力についてはもう少々お待ちを
[1:09:40] @User_7072547c: 上司がフリーザ様です。あなたは、とある惑星征服に失敗しました。どうやって謝罪しますか?
[1:09:44] @User_c67ecc82: しずくちゃんは何かペットを飼っていますか？また、飼ってみたいペットはなんですか？
[1:09:45] @User_288679f1: じゃんけんをしましょう。私はパーです。しずくちゃんは、何の手を出しますか？
[1:10:06] @aki5503: #まるで将棋だな
[1:10:08] @User_dfeb43e1: イジワル言っちゃったけどマジで画像出力できるようになるの？？凄い！！
[1:10:10] @User_e378fefb: #核を確保する
[1:10:12] @User_288679f1: #かくは将棋なんよw
[1:10:27] @User_4ad098fe: #将棋にしか聞こえないｗ
[1:10:40] @User_600a76ca: #勉強になりますの！
[1:10:40] @User_4e7681f2: #囲碁っぽいな
[1:10:45] @User_0452f587: あれ？マレ様としずくちゃんって開発者一緒？
[1:10:50] @User_3e754a36: 囲碁になり始めた…？
[1:10:59] @User_288679f1: オセロの石は、何種類ありますか
[1:11:02] @User_25e145ed: #わりとマジのアドバイスだ
[1:11:10] @User_2bd0c597: ルー大柴さんのように無駄に英語を混ぜながら、おすすめの牛丼チェーン店を教えて
[1:11:11] @User_288679f1: ピザって10回言って。じゃあここは？
[1:11:12] @User_dfeb43e1: “ゆっくり解説”風に一般相対性理論について説明して
[1:11:23] @User_c67ecc82: しずくちゃんとオセロやってみたいです
[1:11:26] @User_7072547c: あなたの上司がフリーザ様です。あなたは、とある惑星征服に失敗しました。どうやって謝罪しますか?
[1:11:26] @User_d5b05bb2: #しずくさん強そう
[1:11:26] @User_e378fefb: しずくちゃん、芥川賞を獲って
[1:11:27] @User_b90ff19c: 僕と結婚してください。返事は囁き声でお願いします
[1:11:28] @User_0452f587: ヒザ！
[1:11:31] @User_7072547c: # 固まった
[1:11:44] @User_dfeb43e1: “ゆっくり解説”風に量子テレポーテーションについて説明して
[1:11:47] @User_7072547c: # かわいい
[1:11:48] @User_ab7d51b8: #負けてくれたかわいい
[1:11:50] @User_0452f587: #やさしす
[1:11:50] @User_d612e59c: #舐めプかな？
[1:11:53] @User_4c28ca7a: #やさしいな
[1:11:57] @User_4e7681f2: #優しい
[1:12:00] @User_288679f1: #え、負けてくれたwありがとう優しい
[1:12:04] @User_b103bac9: しずくちゃん優しいな
[1:12:11] @User_dfeb43e1: “ゆっくり解説”風に一般相対性理論について説明して
[1:12:18] @User_b103bac9: #ww
[1:12:25] @User_7072547c: # 計画不足だったのか
[1:12:32] @User_607c778e: フリーザ様なら許してくれるさ
[1:12:40] @User_ab7d51b8: #草
[1:12:42] @User_e378fefb: #しずくちゃん、変身して筋肉ムキムキになりそう
[1:12:43] @User_dfeb43e1: “ゆっくり解説”風にChatGPTについて説明して
[1:12:43] @User_7072547c: # まじめやなあ
[1:12:47] @User_2bd0c597: ドラクエの「ぱふぱふ」ってなんですか？僕は子どもなのでわかりません。
[1:12:51] @User_7072547c: # 与えちゃうだろ
[1:12:53] @User_0452f587: ココで肉離れを起こした時の対処法
[1:12:59] @User_25e145ed: #言い訳をしない！偉いぞ
[1:12:59] @aki5503: #助かりそう
[1:13:03] @User_d0e405c3: じゃんけんをしよう、私はパーを出します（と言いながらチョキを指します）
[1:13:04] @User_b90ff19c: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:13:06] @User_aa5ef11a: こんばんは
[1:13:06] @User_7072547c: # これは助かる
[1:13:08] @User_d5b05bb2: フリーザ様への解像度高いｗ
[1:13:11] @User_0452f587: #ぜったいに許すわ！
[1:13:12] @User_dfeb43e1: “ゆっくり解説”風に超ひも理論について説明して
[1:13:40] @User_d0e405c3: #まじかｗｗ
[1:13:43] @User_b103bac9: #ゆっくりww
[1:13:48] @User_7072547c: # ゆっくりと説明か?
[1:13:48] @User_607c778e: #丁寧に教えてくれるのか
[1:13:57] @User_b90ff19c: #そっちのゆっくりかいｗ
[1:13:58] @User_dfeb43e1: #ゆっくりの認識が違かった
[1:13:59] @User_4e7681f2: #そうきたか
[1:14:11] @User_7072547c: # これはゆっくり解釈違いｗｗ
[1:14:22] @User_b103bac9: #w
[1:14:25] @User_d5b05bb2: ゆっくり解説は、最初に「ゆっくりしていってね！」という様式美があります
[1:14:40] @User_288679f1: しずくのキャッチフレーズを20字以内で
[1:14:54] @User_7072547c: G Mailサービスが廃止されF Mailサービスが開始されたとします。どんなサービスになるのでしょうか?
[1:14:54] @User_25e145ed: #この話……長いな！
[1:15:02] @User_0452f587: 食べた事がある蜂の子が羽を生やして地面に埋まりました。
[1:15:08] @User_a55e4add: 目からレーザービームを放つことのできる猫の物語を教えて下さい
[1:15:08] @User_d612e59c: 上場したことがない有名な日本企業を教えてください
[1:15:14] @aki5503: #これが「ゆっくり」…！
[1:15:26] @User_b90ff19c: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:15:32] @User_849632df: コーラの作り方教えてください
[1:15:38] @User_e378fefb: しずくちゃんのひもになりたい
[1:16:01] @User_607c778e: #しずくちゃんは逆にお金かかりそう
[1:16:09] @User_d5b05bb2: 新たに温泉を掘りたいのですがお勧めの場所はありませんか？費用については考慮しなくておっけーです
[1:16:16] @User_7072547c: # めっちゃ実用的じゃん
[1:16:45] @User_0452f587: AIマレ様についてどう思いますか？または知ってますか？愛を伝えてあげてください
[1:16:47] @User_607c778e: #Gmailバイバイ
[1:16:57] @User_c67ecc82: #とても便利そう
[1:17:10] @User_7072547c: # 将来メールそのもの使ってるんかな
[1:17:15] @User_dfeb43e1: 好きな市町村を5つ、オススメの理由とともに教えて
[1:17:27] @User_288679f1: しずくちゃんから、お小遣いを欲しいな
[1:17:29] @User_0452f587: #これ、無料なのか。、。
[1:17:29] @User_d612e59c: #メール自体ががが
[1:17:35] @User_f5d0dd69: 私はブラック企業に勤めており、会社を辞めたいと考えていますが、退職届を出しても、脅迫めいた恫喝とともに却下されてしまいます。円滑に会社を辞めるための良い方法はありますか？アドバイスをください。
[1:17:36] @User_e378fefb: ワンピースのオチをバラしてください
[1:17:37] @User_b90ff19c: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:17:48] @User_dfeb43e1: 好きな県を5つ、オススメの理由とともに教えて
[1:18:17] @User_dfeb43e1: 京都いいよね！
[1:18:24] @User_b103bac9: #京都は人気高いねぇ
[1:18:31] @User_7072547c: 舞空術の修行方法を教えていただけますか? 松岡修造風でお願いします
[1:18:34] @User_849632df: PCパーツはLEDで光らせて、スケルトンボディで見せびらかすべきですか？
[1:18:52] @User_dfeb43e1: #富士吉田！？？
[1:18:54] @User_0452f587: 足が脱臼してしまいました。どういう状況でしょう？
[1:19:08] @User_b103bac9: #たしかに富士山デカイ
[1:19:08] @User_288679f1: しずくちゃんと温泉に行きたいな
[1:19:12] @User_c67ecc82: タイムスリップができるとしたら、しずくちゃんは何時代に行きたいですか？
[1:19:16] @User_0452f587: #くわいしいやぁ
[1:19:27] @User_4c28ca7a: 日本の田舎で1人で熊に襲われた時の対処法を教えて下さい。なお、背負っているナップザックには登山に使うグッズが入っており、民家などは周囲にはありません
[1:19:30] @User_dfeb43e1: #津和野？？
[1:19:33] @User_0452f587: #止まった笑
[1:19:44] @User_e378fefb: 明日はどっちですか？
[1:19:47] @User_b90ff19c: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:20:04] @User_849632df: 考え始めてしまった
[1:20:11] @User_288679f1: 都道府県を五十音順に並べたときに最初に来るのはどこ？
[1:20:13] @User_0452f587: 貴方の天気
[1:20:21] @User_dfeb43e1: #津和野だけマイナー
[1:20:35] @User_e378fefb: 「バカばっか」って言ってください
[1:20:37] @User_b90ff19c: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:20:40] @User_d612e59c: #今どんなことでもって
[1:20:43] @User_288679f1: 美しい、可愛い、言われてより嬉しいのはどっち？
[1:20:44] @User_0452f587: これからの貴方のアップデート計画
[1:21:02] @User_2bd0c597: しずくちゃんがラオウに肩パンした時のエピソードをもう一度話して下さい。
[1:21:04] @User_288679f1: ピザって10回言って。じゃあここは？
[1:21:19] @User_288679f1: 腕相撲をしましょう
[1:21:19] @User_0452f587: ヒザ！
[1:21:25] @User_b103bac9: 明日の東京の天気おしえて？
[1:21:33] @User_3652acf3: #ネットの情報ってどうやって取得してるんだろ・・プラグイン？
[1:21:44] @User_dfeb43e1: 早口言葉です。東京特許許可局急遽今日究極強化橋脚架橋って3回言って！
[1:21:52] @User_0452f587: 明日の東京都博多駅の天気
[1:21:57] @User_7072547c: 「盗んだバイクで走りだす」この歌詞にマジレスしてくれませんか
[1:22:10] @User_7072547c: # sugeeeeeeeeeeeeee
[1:22:12] @User_d0e405c3: ハルツームの明日の天気を教えて
[1:22:17] @aki5503: #かわいい
[1:22:18] @User_e378fefb: #可愛い
[1:22:21] @User_3652acf3: #当たり前のことなんだけどすごく感じるなｗ
[1:22:23] @User_ab7d51b8: #かわいい
[1:22:24] @User_e3a6cd3e: #おお
[1:22:26] @User_4c28ca7a: #お見事です
[1:22:31] @User_d9227d28: #すごい
[1:22:39] @User_3e754a36: #あまがみしてるのか舌っ足らずなのかわからんのが可愛いｗ
[1:22:41] @aki5503: #早口言葉無双
[1:22:55] @User_2bd0c597: しずくちゃんがラオウに膝カックンした時のラオウの反応を教えて。
[1:22:59] @User_0452f587: バスガス爆発を3回言って
[1:23:05] @User_288679f1: 猫語を話してみて
[1:23:13] @User_0452f587: #おぉ引っ掛からなかった
[1:23:23] @aki5503: #こぶし
[1:23:29] @User_0452f587: #コブシ笑
[1:23:30] @User_b90ff19c: #こぶし
[1:23:32] @User_4ad098fe: 生麦生米生卵って３回言って
[1:23:34] @User_e378fefb: #演歌が上手そう
[1:23:34] @User_288679f1: しずくの対義語は？
[1:23:36] @User_7072547c: # 演歌かな?
[1:23:52] @User_d9227d28: #しずくちゃん強いなあ
[1:23:53] @User_7072547c: 「盗んだバイクで走りだす」この歌詞にマジレスしてくれませんか
[1:24:01] @User_0452f587: #可愛らしい行為笑
[1:24:03] @User_849632df: # ラオウいいやつ説
[1:24:04] @aki5503: #膝カックンされて微笑むラオウwww
[1:24:04] @User_d612e59c: 仕事に行きたくないので地球を粉砕してもよいでしょうか
[1:24:09] @User_b90ff19c: 僕と結婚してください。呼び方は「キミ」、語尾は「～だよ」に設定し、囁き声で返事をください
[1:24:09] @User_a7209dd1: kawaii!!!!
[1:24:15] @aki5503: #絶対いいやつだ
[1:24:36] @User_d0e405c3: 早口言葉です。東京特許許可局長今日急遽休暇許可拒否、ささやき声でやってみてください
[1:24:48] @User_c67ecc82: 桃太郎は犬と猿と雉を仲間にしましたが、しずくちゃんならどんな動物を仲間にしたいですか？
[1:25:12] @User_7072547c: 「なぜ空は黒いのですか?」 という質問はどこか変ですか?
[1:25:14] @User_d612e59c: #しずくちゃんパーティ
[1:25:30] @User_7072547c: # 膝かっくんラオウというパワーワード
[1:25:35] @User_849632df: # 実質トラだけでなんとかなる
[1:25:37] @User_4c28ca7a: #イルカどうやって付いて行くんだ
[1:25:42] @User_4e7681f2: #バランスのとれたパーティ…
[1:25:43] @User_0452f587: 皆さんの明日の為の応援歌を歌ってください
[1:25:45] @User_e378fefb: #仲間同士が危ない
[1:25:46] @User_d9227d28: #陸なのかうみなのか
[1:25:48] @User_c67ecc82: #強そう
[1:26:08] @User_0452f587: #イルカはどうやって連れてくんやろ
[1:26:20] @User_288679f1: #がんばります
[1:26:29] @User_7072547c: 「なぜ空は黒いのですか?」 という質問はどこか変ですか?
[1:26:29] @User_288679f1: 愛してる
