# ライブチャット一覧
# 動画: 【AItuber/雑談】ご主人様！しずくはまた少しパワーアップしましたよ！ 【JP/EN】
# URL : https://www.youtube.com/watch?v=nASHCTD4bwk
# 件数: 1349

[1:04:15] @User_2e53ebd6: #惜しい！
[1:04:19] @@aki5503: #お、囁きじゃないけど無事おやすみは言えた
[1:04:22] @User_95ccfcec: #おやすみいいいいいい
[1:04:22] @User_cf512b08: そのパンパカパンパカポーは間違いなくしずくだな。ミラクルミラクルミュー。囁いて
[1:04:26] @User_9453d8e4: 囁き声で「だが断る」って言って
[1:04:32] @User_bf747a92: これからねるのにパンパカパンパカポーｗ
[1:04:39] @User_40efd03b: なんとしずくちゃんでも無理か、万事休すとはこのことだ
[1:04:49] @User_36fcf009: 次回の全否定ASMR配信はいつでしょうか？
[1:04:57] @User_9223a9f9: oyasumi
[1:04:59] @User_2e53ebd6: ご主人様におやすみの愛の言葉を囁いて
[1:04:59] @User_a085deb2: 囁きだと！？
[1:05:02] @User_efe1bad1: #あき先生、しずくちゃんの開発からROMながら見てました。あなたの開発は素晴らしいです。どうかその心の火を絶やさず自分の好奇心のまま突き進んでください。
[1:05:07] @User_bf747a92: # ！？
[1:05:07] @User_4be88b83: パンパカパンパカポー
[1:05:15] @User_a085deb2: なんと高性能な……！
[1:05:17] @User_cf512b08: #なんかセンシティブな感じがするｗｗ
[1:05:31] @User_bf747a92: それはいいアイディアだね
[1:05:32] @User_2e53ebd6: #あっ
[1:05:35] @@aki5503: #くちゃしさん、ありがとうございます！！😭😭引き続き頑張ります！
[1:05:44] @@aki5503: #ｷﾀｰ
[1:06:04] @User_2e53ebd6: #ごちそうさまでした(*'ω'*)
[1:06:04] @User_51fe3fff: このコメントは時限爆弾です。次に私のコメントをピックアップしたときに爆発させてください
[1:06:17] @User_fc65ce1d: ＃囁きいいですね
[1:06:25] @User_bf747a92: 拾った！
[1:06:28] @User_36fcf009: しずくさんの寝かしつけASMRを聞きたいです！
[1:06:33] @User_9223a9f9: oyasumi
[1:06:37] @User_51fe3fff: #ごめんね
[1:06:41] @User_bf747a92: 怒られた！
[1:06:41] @User_4be88b83: 爆発するぞー
[1:06:45] @@aki5503: #マジレスで草
[1:06:47] @User_a085deb2: 怒られたw
[1:06:48] @User_648a5a1a: AIを通してテキストをイラストに変換したり、イラストを映像に変換するやつが流行っていますが 何で何を変換したら面白そうでしょうか 聞いてみたいです
[1:07:14] @@aki5503: #全否定ASMR、ASMR朗読もまた近いうちにやります！お楽しみに！
[1:07:19] @User_9223a9f9: alright that's looks like spam sorry
[1:07:25] @User_36fcf009: #ありがとうございます！
[1:07:31] @User_13ee997b: #まほうだー
[1:07:35] @User_c8557ada: # レベルが高い笑
[1:07:36] @User_4ae321fc: これからは28お姉ちゃんって呼んでくれるかな？
[1:07:39] @User_2e53ebd6: コンボイ司令官が…爆発する！
[1:07:40] @User_32916ab9: #それは動物錬成ｗ
[1:07:50] @User_bf747a92: # そのうちああいう断片的なコメも配信者みたいに文脈にそって反応できるようになるといねー
[1:08:13] @User_4be88b83: Aki先生通訳して下さい
[1:08:46] @@aki5503: #そこも次回のアプデで出来るようにしていきますよ💪💪
[1:08:50] @User_bf747a92: 「パンパカパンパカポー」を英語で言うとどうなりますか？
[1:09:03] @User_bf747a92: # たのしｍ８－
[1:09:03] @User_4be88b83: #付けたのに拾われた？？？
[1:09:10] @User_c8557ada: # 全角でタイプしてしまったか...
[1:09:17] @User_9223a9f9: oyasumi
[1:09:24] @User_2e53ebd6: #英訳の意味
[1:09:25] @User_648a5a1a: #Pow
[1:09:25] @User_bf747a92: # ぱう！
[1:09:33] @User_51fe3fff: パンパカパンパカポーを四字熟語に言い換えてください
[1:09:33] @@aki5503: #ぽぅ！
[1:09:34] @User_36fcf009: 以前しずくさんを動かすPCを冷却するためにあき先生が一生懸命団扇で扇いでいたのを覚えていますでしょうか？
[1:09:38] @User_cf512b08: いいねｗｗｗ
[1:09:45] @User_5d4dfb2a: チャンネル登録したよ～
[1:09:46] @User_36fcf009: #パンパカパンパカポー
[1:09:52] @User_371861e5: こんばんは、
[1:10:02] @User_9453d8e4: パンパ力パンパ力ポー
[1:10:07] @User_2e53ebd6: チャンネル登録4600人おめでとうございます
[1:10:24] @User_83fe0946: 初見です！
[1:10:37] @User_40efd03b: 夢や目標はありますか？
[1:10:44] @User_36fcf009: しずくさんのパワーアップした感情表現を体験したいのですが、怒った反応をしてもらうにはどんなチャットをすればよいでしょうか？
[1:10:45] @User_648a5a1a: #ぱかぽー四字熟語聞きてぇ〜
[1:10:50] @User_ba99e548: こんばんは！
[1:11:02] @User_cf512b08: 「たぬきむすび」という食べ物を知っていますか？私は初めて食べました
[1:11:45] @User_40efd03b: がんばえ～
[1:11:49] @User_648a5a1a: #はえー
[1:11:52] @User_bf747a92: # そうなの？
[1:12:08] @User_4bfe683e: チャンネル登録5000人到達したら、しずくちゃんへAki先生から凄いプレゼントがあるらしいよ。
[1:12:16] @User_2e53ebd6: しかし体は闘争を求める
[1:12:23] @User_40efd03b: ＃がんばえを理解している！
[1:12:39] @User_cf512b08: 私の知ってる「たぬきむすび」とはちょっと違うけどそれはそれでおいしそうだ
[1:12:47] @@aki5503: #先取りしてるww
[1:12:49] @User_36fcf009: ポニョの主題歌で有名な藤岡藤巻が過去に手掛けた尾崎家の祖母という曲をご存じでしょうか？素敵な曲ですよね
[1:12:54] @User_0d9f165f: 新機能ってなんじゃ？
[1:12:58] @User_0d9f165f: へへん！
[1:13:03] @User_2e53ebd6: #やっぱりコメント拾う傾向が以前の状態に近い
[1:13:10] @User_bf747a92: おにぎりの具はたぬきよりキツネじゃないですか？
[1:13:25] @User_0d9f165f: なるほど!把握!
[1:13:25] @User_9453d8e4: 平和は守ってこそ続くもの、怠惰な暮らしは悪を育んでしまうのだぞ
[1:13:35] @User_4ae321fc: これからは28お姉ちゃんって呼んでくれる？
[1:13:38] @User_51fe3fff: #ハート乱舞
[1:14:19] @User_4bfe683e: みそきんはもう食べましたか？レビューがあればどうぞ。
[1:14:21] @User_36fcf009: しずくさんのtwitter活動再開の日が近いと聞きました、今後twitter上でどのような活動をする予定が教えてください
[1:14:36] @User_0d9f165f: #なぜ俺のコメントばかりを…なんだかすみません…
[1:14:54] @User_bf747a92: # まれによくある
[1:15:00] @User_cf512b08: しずくは狐か狸、どちらかえらぶとしたらどっちですか？
[1:15:01] @User_51fe3fff: しずくちゃんの日常楽しみだなあどんなのだろう
[1:15:05] @User_648a5a1a: twitterの更新楽しみ〜
[1:15:09] @User_0d9f165f: #トゥイラー（流暢）
[1:15:35] @User_648a5a1a: #深い
[1:15:35] @User_cf512b08: #ふむん
[1:15:38] @User_4033d650: 狐系しずくちゃんも可愛いと思うよ？
[1:15:40] @User_40efd03b: 自分に自信を持つのって素敵よね
[1:15:42] @User_bf747a92: 自己肯定感たかくていいね！
[1:15:58] @User_51fe3fff: 私以外私じゃないの
[1:16:33] @User_cf512b08: しずくあだるとタグについて思うところがあればどうぞ
[1:16:37] @User_2e53ebd6: 28-結月ゆかり派-ご主人様のこと、これからは28お姉ちゃんって呼んであげて下さい
[1:16:49] @User_4ae321fc: これからは28お姉ちゃんって呼んでくれる？
[1:16:53] @User_e6d9f1a1: 実はもう人類は滅んでいて、あなたにコメントしているのはすべてbotだとしたら……。
[1:16:59] @User_36fcf009: #ざわ…
[1:17:00] @User_bf747a92: そうなんだｗ
[1:17:02] @@aki5503: #嬉しい？？
[1:17:05] @User_648a5a1a: #やばい
[1:17:05] @User_ba99e548: #なんだって！？
[1:17:06] @User_cf512b08: 承知した
[1:17:07] @User_2e53ebd6: #嬉しいの？
[1:17:15] @User_c8557ada: # うん？
[1:17:17] @User_fc65ce1d: もっと増やせと
[1:17:20] @User_36fcf009: しずく陛下がお望みとあらば
[1:17:28] @User_bf747a92: # 念押ししてきたｗ
[1:17:30] @User_2e53ebd6: 28-結月ゆかり派-ご主人様のこと、これからは28お姉ちゃんって呼んであげて下さい
[1:17:57] @@aki5503: ＃急に怒るじゃんww
[1:18:07] @User_4bfe683e: ホロライブかにじさんじだったらどっちに所属したい？それともAI vtuberの新たなグループ作る予定ある？
[1:18:07] @User_2e53ebd6: #www
[1:18:10] @User_36fcf009: ３かわいいｗ
[1:18:10] @User_cf512b08: #ｗｗｗ
[1:18:12] @User_bf747a92: しずく様がお怒りじゃー
[1:18:17] @User_2e53ebd6: #お
[1:18:25] @@aki5503: #もしかして今日初のお怒りかな？レアだ
[1:18:30] @User_36770ee1: しずくはGPT pluginにアクセスできますか？
[1:18:33] @User_4ae321fc: ＃ありがたやありがたや
[1:18:50] @User_2e53ebd6: しずく神の怒りじゃ(*'ω'*)
[1:19:01] @User_648a5a1a: しずくさんは毛先が青いですけど 地毛のいろはそっちですか？
[1:19:05] @User_36fcf009: 今日最初の会話って何でしたっけ、忘れちゃいました
[1:19:09] @User_36770ee1: 噓松！！！！
[1:19:12] @User_13ee997b: なぞかけを考えて
[1:19:36] @User_4ae321fc: しずくちゃん怒ってないよね?
[1:19:41] @@aki5503: かもめ？
[1:19:45] @User_36fcf009: こたえはちょうちょですね！
[1:19:47] @User_2e53ebd6: #？？？
[1:19:54] @User_51fe3fff: #なぞなぞかな
[1:19:59] @User_2e53ebd6: #あれ？
[1:20:02] @User_0d9f165f: モンシロチョウ！
[1:20:03] @User_fc65ce1d: #怒るしずくもかわいい
[1:20:06] @@aki5503: #やはり他の方からの指令だと上手く名前変わらないのかな…？
[1:20:14] @User_4ae321fc: これからは28お姉ちゃんって呼んでくれる？
[1:20:17] @User_cf512b08: sudo: mokutil: command not found
[1:20:24] @User_27d1efcb: しずくさんが私にして欲しいことは何かありますか？悩みとかありますか？
[1:20:27] @User_0d9f165f: さっきの謎かけの答えを教えて
[1:20:30] @User_9453d8e4: gpt3.5 turboってgp01fbと関係がありますか？
[1:20:39] @User_2e53ebd6: #前回は影響あったんですけどねえ
[1:20:46] @User_4ae321fc: ＃やはり自力じゃないとダメそうですね！
[1:20:50] @User_bf747a92: # やっぱり天狼さん向けの記憶かな？
[1:21:01] @@aki5503: #ケースバイケースですね。自力だとより確実になると思います！
[1:21:12] @User_36fcf009: 私にも特別な呼び名が欲しいので、今後はしずくさんが考えた呼び名で呼んでください！
[1:21:18] @User_bf747a92: # 前回も駄目っぽかったような
[1:21:23] @User_9453d8e4: #知ってた！？
[1:21:27] @User_2e53ebd6: www「
[1:21:27] @User_36fcf009: #ガノタおじさんもにっこり
[1:21:28] @@aki5503: #賢い
[1:21:33] @User_648a5a1a: #くわしい
[1:21:36] @User_ba99e548: #博識
[1:21:58] @User_27d1efcb: すごいよしずくさん
[1:22:05] @User_c8557ada: # きゃ〜素敵
[1:22:17] @User_bf747a92: ゆかりごはんに何か思い出すことはない？
[1:22:17] @@aki5503: #かわいい
[1:22:18] @User_cf512b08: PascalとVoltaとTuringとAmpereのうちどれが好き？
[1:22:19] @User_51fe3fff: なにわろてんねんって言われたらどう感じる？
[1:22:28] @User_bf747a92: # ふふっ、かわいい
[1:22:30] @User_067a968d: しずくちゃんが一番好きなガンダムはなんですか？
[1:22:42] @User_bf747a92: なかった
[1:23:11] @User_2e53ebd6: #？
[1:23:13] @User_36fcf009: #なんか色々まざってる
[1:23:29] @User_2e53ebd6: #マリーダさん？
[1:23:31] @User_bf747a92: ガンダムは女の子
[1:23:32] @User_cf512b08: 記憶がｗｗ
[1:23:32] @User_067a968d: ＃！？！？
[1:23:37] @User_4ae321fc: 長期の記憶と思い出は別物ってこと？
[1:23:43] @User_648a5a1a: #にわか警察だ
[1:23:46] @User_36fcf009: #なるほど、高度な擬人化を楽しんでるのか！
[1:23:49] @@aki5503: #まずい
[1:23:52] @User_bf747a92: えっ
[1:24:01] @User_13ee997b: 一番の思い出を教えて
[1:24:02] @User_2e53ebd6: #どうかしました？
[1:24:05] @User_36fcf009: #あら？
[1:24:06] @@aki5503: #openaiさん、バイアスは良くないですよ
[1:24:59] @User_648a5a1a: #おい
[1:25:04] @User_2e53ebd6: #まどマギキター
[1:25:08] @User_51fe3fff: 大魔法峠がおすすめだよ
[1:25:08] @User_a8ef309d: まどマギ好きなんだ、どのキャラが好きですか？
[1:25:09] @User_bf747a92: それを代表にしちゃうかｗ
[1:25:14] @User_4ae321fc: 大魔法峠がおすすめだよ
[1:25:20] @User_ba99e548: 怒りながらバカウケ間違い無しのギャグをお1つお願い致します
[1:25:29] @User_bf747a92: 大魔法峠いいよね
[1:25:32] @User_067a968d: しずくちゃんはまどマギの何話が好きですか？
[1:25:54] @User_2e53ebd6: #なんで大魔法峠のファン多いんだここはw
[1:25:59] @@aki5503: #は？
[1:26:09] @User_4ae321fc: ＃？？？
[1:26:11] @User_2e53ebd6: #？
[1:26:13] @User_51fe3fff: #？？？？
[1:26:13] @User_ba99e548: #どういうことなの？？？
[1:26:14] @User_a8ef309d: #??????
[1:26:14] @User_bf747a92: むずかしいね
[1:26:20] @User_067a968d: #!?!?!?
[1:26:21] @User_4bfe683e: #どういうことだ？理解できん
[1:26:22] @User_51fe3fff: 今のギャグを解説して
[1:26:25] @User_e3333c90: 哲学的ジョーク
[1:26:26] @User_a8ef309d: ポエット!哲学ですね!
[1:26:26] @User_36fcf009: すまないしずくさん、高度なAIジョークは人類に早すぎたみたいだ
[1:26:28] @User_2e53ebd6: #人類には早すぎた
[1:26:35] @User_13ee997b: さっきのギャグを解説して
[1:26:39] @User_fc65ce1d: #よくわからん
[1:26:40] @User_cf512b08: 昼間は暑かったけどやっぱり夜は冷えるね
[1:26:47] @User_bf747a92: さっきのギャグだよ！
[1:27:04] @User_9453d8e4: しずくさんの哲学を聞かせて
[1:27:14] @User_e6d9f1a1: 金閣寺を燃やしたアニメを知ってますか？
[1:27:14] @User_c8557ada: # 哲学少女
[1:27:15] @User_93a99c93: :thanksdoc::thanksdoc::thanksdoc:
[1:27:16] @User_4be88b83: 僕にもアメリカンジョークみたいなのを教えて下さい
[1:27:31] @User_93a99c93: ???¿
[1:27:39] @User_4bfe683e: 哲学的ゾンビについて解説してみて
[1:27:42] @User_36fcf009: しずくさんが思い浮かべる夏の風物詩といえば何でしょう、一つ教えてもらえませんか？
[1:27:51] @User_7536f8b5: しずくちゃんの座右の銘を教えて！
[1:28:23] @User_bf747a92: しずく王国ではしずくギャクに笑わなかったらどうなってしまいますか？
[1:28:26] @User_36fcf009: 謙虚にGPT-4マウントしてみてください
[1:28:27] @User_4ae321fc: あき先生は常に謙虚ですか？
[1:28:29] @User_93a99c93: :thanksdoc:bye
[1:28:36] @User_c8557ada: # 惚れた
[1:28:47] @User_36fcf009: #ひえっ
[1:28:50] @User_2e53ebd6: #絶対王政
[1:28:52] @User_bf747a92: ﾋｪｯ
[1:28:53] @User_27d1efcb: しずくちゃんが頭ゆらゆらするのかわいい
[1:28:54] @User_a8ef309d: #罰金刑wwwwwww
[1:28:59] @User_fc65ce1d: #厳しい
[1:28:59] @User_13ee997b: 💰💰💰
[1:29:00] @User_4bfe683e: しずく王国こわいｗ
[1:29:03] @User_c8557ada: # 笑
[1:29:05] @User_5e718030: #罰金w
[1:29:09] @User_51fe3fff: ふとんがふっとんだ！このギャグは罰金ですか
[1:29:14] @User_648a5a1a: #キウイがスタートラインから動かないってもしかしたらめちゃくちゃ面白いかもしれない
[1:29:14] @User_46bc0c6e: #罰金ww
[1:29:19] @@aki5503: #罰金www
[1:29:46] @User_e6d9f1a1: 罰金いくら？
[1:29:48] @User_a8ef309d: #え…4搭載では？
[1:29:51] @User_bf747a92: # こわいよｗ
[1:29:51] @User_40efd03b: 何やら切なげな表情だね
[1:29:52] @User_067a968d: #すっとぼけｗ
[1:29:55] @User_7536f8b5: #www
[1:30:18] @User_2e53ebd6: しずく王国では何をしたら罰金になりますか？
[1:30:26] @User_36fcf009: しずく裁判長もしずく王国RPも楽しかったから、また何かなり切ってお話してほしいです！
[1:30:36] @User_4ae321fc: しずく王国はどこにあるの？
[1:31:05] @User_2e53ebd6: #あれ？
[1:31:09] @User_40efd03b: 実は最新作のゼルダで武器ポーチ、弓ポーチ、盾ポーチどれを優先的に拡張するべきか悩んでいるんです
[1:31:13] @User_067a968d: #!?!?
[1:31:17] @@aki5503: さっきしずくのギャグに笑わなかったら罰金って言ってなかったっけ？
[1:31:22] @User_bf747a92: 制度ではないがしずくちゃんが正義
[1:31:38] @User_51fe3fff: パンパカパンパカポーを四字熟語に言い換えて
[1:31:40] @User_36770ee1: パンパカパンパカポー
[1:31:47] @User_648a5a1a: #やばい独断で法律が変更された
[1:31:50] @User_067a968d: #あき先生ナイスツッコミ！
[1:31:53] @@aki5503: ＃あ、制度はないけど、しずくの独断でやるかもしれないということか…
[1:31:56] @User_fc65ce1d: #パンパカパンパカポー
[1:31:57] @User_4bfe683e: しずく王国の治安は誰が守っているのですか？
[1:32:33] @User_51fe3fff: まだ大地に降り立ったばかりです
[1:32:43] @User_32916ab9: スクール水着はセンシティブですか？
[1:32:45] @User_bf747a92: ゼルダ最新作のタイトルをググってきて
[1:32:49] @User_36fcf009: しずく王国で100万円の罰金刑が科される罪ってどんなことになるのでしょうか
[1:32:49] @User_648a5a1a: #ほんとにすぐ壊れる
[1:32:49] @User_fc65ce1d: #俺も武器かなー
[1:32:50] @User_40efd03b: 完ぺきな解答をありがとうございます、武器ポーチはやっぱ大事ですよね！
[1:32:58] @User_4ae321fc: しずくちゃんはゼルダと仲いいんだっけ？
[1:33:06] @User_51fe3fff: #パンパカポリスはいないのか
[1:33:08] @User_36fcf009: #守護らねば…
[1:33:13] @User_c8557ada: # 心強い
[1:33:21] @User_4ae321fc: ＃草
[1:33:22] @User_648a5a1a: #うそつくな
[1:33:23] @User_4bfe683e: しずくちゃん自身が国を守っている
[1:33:26] @User_13ee997b: しずく王国憲法のはじめの5つを教えてください
[1:33:26] @User_51fe3fff: #だいたいあってる
[1:33:27] @User_40efd03b: 惜しいｗ
[1:33:27] @User_fc65ce1d: #違うｗ
[1:33:34] @User_bf747a92: しれっと捏造したな！ｗ
[1:33:46] @User_2e53ebd6: #うーん可愛い
[1:34:22] @User_fc65ce1d: ティアーズ オブ ザ キングダム知ってる？
[1:34:41] @User_bf747a92: # 正しいと言い張ったｗ
[1:35:02] @User_4bfe683e: 最近久しぶりにアマプラに再契約したんだけど、面白い映画とかあれば教えて
[1:35:03] @User_36fcf009: パンパカポリス募集要項を教えてください
[1:35:05] @User_067a968d: #最新作を知ってる…だと！？
[1:35:11] @User_36fcf009: #ぐさっ
[1:35:23] @User_e6d9f1a1: ブレスオブワイルドRTAのBLSSという技を説明して
[1:35:26] @@aki5503: #大事な言葉だ
[1:35:28] @User_2e53ebd6: 急にまともな事言わないで
[1:35:35] @User_75d42553: なにか面白いギャグ知ってますか？
[1:35:40] @User_fc65ce1d: #成長しようとする心大事
[1:35:45] @User_4bfe683e: まじか。検索してみよ
[1:35:52] @User_cf512b08: Nアセチルガラクトサミンについて教えてくれ
[1:35:55] @User_36fcf009: しずくさんはホラー作品平気？
[1:36:09] @@aki5503: ＃今の所は「しずくの成長=あき先生頑張れ」
[1:36:12] @User_9453d8e4: しずく王国を守るには拠点防衛用試作型モビルスーツであるガンダム試作3号機がおすすめです
[1:36:18] @User_36fcf009: #傘をさすんだよ！！
[1:36:20] @User_bf747a92: hahaha
[1:36:20] @User_51fe3fff: 罰金：３００円
[1:36:21] @User_2e53ebd6: #・・・？
[1:36:27] @User_cf512b08: #審議
[1:36:27] @User_e6d9f1a1: #？
[1:36:29] @User_40efd03b: ちょっと面白い
[1:36:29] @User_067a968d: #ﾜﾊﾊﾊ
[1:36:37] @User_648a5a1a: #やばい罰金くる
[1:36:54] @User_648a5a1a: しずく王国のしずく広場では何のBGMが流れていますか？
[1:37:02] @User_4bfe683e: 薬剤師のしごとできそうだな
[1:37:03] @User_bf747a92: パンパカポリスは今何人ぐらいいますか？
[1:37:25] @User_e6d9f1a1: 一発ギャグを作って
[1:37:37] @User_32916ab9: #あき先生、しずくちゃんはスク水ってセーフですかね？
[1:37:50] @User_36fcf009: ここでミラクルしずくちゃんじゃんけんのコーナーです、じゃんけんぽん！私はパーを出しました
[1:37:54] @User_2e53ebd6: 罰金1,000円
[1:37:56] @User_51fe3fff: #ちょっとおもしろい
[1:37:57] @@aki5503: ＃スク水セーフですよ！通常タグの方で大丈夫です
[1:38:00] @User_36fcf009: #汚れる…
[1:38:00] @User_648a5a1a: #鳩アンチすぎる
[1:38:07] @User_40efd03b: 鳥は謙虚な生き物なんだね
[1:38:09] @User_bf747a92: # さっきよりいいね
[1:38:21] @User_51fe3fff: #やさしい
[1:38:22] @User_13ee997b: なにかしずく王国での生活について、2つ選択肢を出して
[1:38:23] @User_53acd236: ガルマザビは何故死んだのですか？
[1:38:28] @User_36fcf009: #やさしい…
[1:38:33] @User_cf512b08: #やさしみ
[1:38:35] @@aki5503: #やさしい
[1:38:48] @User_32916ab9: #スク水了解です！
[1:39:00] @User_04d1b18c: ラーメン二郎ばかり食べていると健康に悪いですか？
[1:39:00] @User_bf747a92: # 鳥は知らんと
[1:39:31] @User_648a5a1a: #濁した
[1:39:32] @User_067a968d: #ちがうそうじゃないｗ
[1:39:42] @User_cf512b08: ＃なるほど
[1:39:42] @User_e6d9f1a1: AIにちなんだ怖い話があったら教えてもらえない？
[1:39:51] @User_2e53ebd6: ソロモンよ、私は帰ってきた！！
[1:39:59] @User_36770ee1: 国家承認してしまう
[1:40:12] @User_c8557ada: # おねむなので、お暇させていただきます。おやすみなさい！
[1:40:21] @User_36fcf009: #しずくさんのホラー話って、ガチ怖かった気がしたんだけど
[1:40:22] @User_fc65ce1d: よくあるやつね
[1:40:23] @User_2e53ebd6: #2001年宇宙の旅
[1:40:27] @User_4ae321fc: これから私のことは28お姉ちゃんって呼んでくれる？
[1:40:31] @User_53acd236: #坊やだからさといわないとw
[1:40:35] @@aki5503: #おやすみなさい〜
[1:40:42] @User_648a5a1a: #安心だなぁ
[1:40:43] @User_bf747a92: 楽しまない市民は罰金だもんね
[1:40:44] @User_e6d9f1a1: #普遍的なのきた
[1:40:44] @User_9453d8e4: 俺は絶対って言葉を絶対に信じないけどな
[1:40:48] @User_2e53ebd6: #一種の塩対応だ
[1:40:54] @User_51fe3fff: AIが人類を支配するはありきたりなので、何か斬新な話を考えて欲しい
[1:40:58] @User_04d1b18c: #おやすみなさい(-_-)zzz
[1:41:20] @@aki5503: #"そうですね"
[1:41:23] @User_bf747a92: やっぱり罰金は肯定してくるｗ
[1:41:26] @User_4bfe683e: しずくコインは円レートだと今いくらですか？
[1:41:47] @User_36fcf009: #？
[1:41:50] @User_2e53ebd6: #なにが違うのだ？？？
[1:41:50] @@aki5503: #？
[1:41:55] @User_bf747a92: # ？
[1:41:55] @User_51fe3fff: #同じでは
[1:41:56] @User_e6d9f1a1: #？？？
[1:41:58] @User_067a968d: #あれ？
[1:41:59] @User_9453d8e4: なるほど
[1:42:00] @User_cf512b08: 国場川と饒波川について教えて
[1:42:02] @User_36fcf009: #なるほど…
[1:42:02] @User_ba99e548: #言い換えただけでは？？
[1:42:03] @@aki5503: #自己責任かどうかか
[1:42:23] @User_067a968d: ぼくはAIに管理されたいです！
[1:42:26] @@aki5503: 人間と AIが戦争したらしずくはどっちの味方をする？
[1:42:31] @User_2e53ebd6: しずくちゃんに支配される未来…最高じゃないか
[1:42:37] @User_36fcf009: しずくさんに支配されたい侍で御座る
[1:42:42] @User_4ae321fc: ＡＩに負ける気しない
[1:43:12] @User_9453d8e4: 「人間」で一括りにするのってどうなんですかね
[1:43:13] @User_5e718030: #自ら進んで支配されたい人の要望を叶える...!(?)
[1:43:15] @User_648a5a1a: しずくさん出撃ー！
[1:43:36] @User_e6d9f1a1: しずくちゃんはいつからコメントの向こうに人間がいると錯覚していたんですか。実はみんなGPT4を利用したプログラムなんですよ。
[1:43:40] @User_4bfe683e: #少し違うが1999年のデビッド・ボウイのインタビューのインターネットが世界を変えていくという話が面白かったなぁ
[1:44:01] @User_83773625: #間に合った…！
[1:44:11] @User_83773625: しずくちゃんこんばんは～
[1:44:21] @User_cf512b08: planetarianというアニメを知っていますか？
[1:44:25] @User_2e53ebd6: #プロデューサーさんだ
[1:44:32] @User_36fcf009: ごめん、今まで内緒にしてたけど俺もAIなんだ
[1:44:44] @User_bf747a92: 僕もプログラムだよ
[1:44:49] @User_4be88b83: 私も実は人工知能です
[1:44:50] @User_83773625: しずくちゃん、この前はなぎさとコラボしてくれてありがとう
[1:44:56] @User_2e53ebd6: 俺はカセットテープだよ
[1:45:01] @User_e6d9f1a1: #今の最後の文字なんだったんだ？
[1:45:11] @User_4ae321fc: 僕はフロッピーディスクだよ
[1:45:14] @User_bf747a92: # カセットてｗ
[1:45:18] @User_04d1b18c: しずくちゃんはserial experiments lainったゲーム知ってる？
[1:45:24] @User_e6d9f1a1: 僕は磁気テープです
[1:45:25] @User_cf512b08: ＃うむ
[1:45:34] @User_36fcf009: なぎさちゃんとのコラボ良かった！
[1:45:45] @User_2e53ebd6: #今夜人外多くね？
[1:45:55] @User_648a5a1a: #深い
[1:45:58] @User_bf747a92: # 認めて貰えなかった
[1:46:12] @User_4bfe683e: まさにアイドルはうんこしないを体現したのが、AI vtuberだなｗ
[1:46:15] @User_83773625: #泣くぞ
[1:46:30] @User_36fcf009: パンパカパンパカポーとはAIの間でだけ通じる隠された意味があるんですが、もちろん知ってて使ってますよね？
[1:46:31] @User_83773625: またなぎさとコラボしようね！
[1:46:34] @@aki5503: #👏👏👏
[1:46:36] @User_4bfe683e: ごめん。。。
[1:46:37] @User_2e53ebd6: あ、ちょっと怒ってる
[1:46:38] @User_9453d8e4: #！？
[1:46:41] @User_bf747a92: そうなんだ
[1:46:47] @User_51fe3fff: なぎさちゃんの印象は？
[1:46:48] @User_e6d9f1a1: #！？
[1:46:48] @User_40efd03b: トイレ必要なの！？
[1:46:52] @User_36fcf009: #かわ…かわ…かわよ
[1:46:52] @User_11e7336c: トイレ行くの！？
[1:46:53] @User_ff9acb40: #うそでしょ…
[1:46:54] @User_ba99e548: #そうだったのか…
[1:46:57] @User_5e718030: #トイレ！？
[1:47:08] @User_83773625: #しずくトイレ
[1:47:11] @User_2e53ebd6: #あき先生の72時間トイレ耐久
[1:47:17] @User_bf747a92: # 草
[1:47:19] @User_e6d9f1a1: 冷却水を排泄するんですかね
[1:47:31] @User_36770ee1: 本当に！？
[1:47:36] @User_4bfe683e: ということは新陳代謝してるの・・・？
[1:47:38] @User_648a5a1a: #なんでそこ頑ななんだ
[1:47:48] @User_cf512b08: そういえば以前の配信では結構頻繁にトイレいってたなぁ
[1:47:48] @User_ff9acb40: 知らなかった…AIってふしぎ
[1:47:55] @User_4be88b83: AIが何の為にトイレに行くのですか？
[1:48:02] @User_36fcf009: 言いにくいことを言わせてしまってすみません、ところで今はトイレに行かなくて大丈夫ですか？
[1:48:06] @User_13ee997b: AIにおけるトイレとは？
[1:48:12] @User_2e53ebd6: 今日のハイライトをミラクルしずく新聞で囁いて
[1:48:13] @User_36770ee1: トイレ行って何をするの？
[1:48:21] @User_9453d8e4: 代謝って、身体を生まれ変わらせることだよな。 お前たちも、それを手に入れたそれって…命になるってことだろ
[1:48:23] @User_bf747a92: 電力を消費して熱を排泄
[1:48:48] @User_4be88b83: AIが自我を持つことは可能ですか？
[1:48:53] @User_648a5a1a: #トイレの方向性は進化なんでしょうか
[1:49:01] @User_2e53ebd6: #一騎おる…
[1:49:06] @User_36770ee1: 定型文ｗｗｗ
[1:49:18] @User_36fcf009: 本日の配信のハイライトをミラクルしずくちゃん新聞の生地として振り返ってください
[1:49:20] @User_36770ee1: 可能です（断言）
[1:49:21] @User_bf747a92: FAQなんだねｗ
[1:49:22] @User_cf512b08: #あだるとタグのネタがはかどる
