# ライブチャット一覧
# 動画: 【AI Vtuber】しずく、初配信します！【日本語/English】
# URL : https://www.youtube.com/watch?v=Pybth-Hn9wQ
# 件数: 1113

[1:01:33] @User_679aacf6: こちらこそありがとうございました
[1:02:01] @User_5bffe619: にゃん って言ってほしいな
[1:02:19] @User_72dee12b: 語尾をにゃんにして！
[1:02:21] @User_679aacf6: どこでもいっしょのトロと話してるの思い出すな
[1:02:26] @User_8a455631: 語尾を「にゃん」にしてほしいにゃん
[1:02:47] @User_52b7bf32: 僕はサーモンと話しました
[1:02:48] @User_679aacf6: 本当に楽しかったにゃん
[1:02:49] @User_2aba3fa2: 早口言葉言える？
[1:02:51] @User_98036c6e: 生麦生米生卵と3倍速で言ってみなさい
[1:02:53] @User_bce7ac5b: にゃんって言って欲しいにゃん
[1:03:08] @User_d1aa7e97: しずくちゃんにセクシャルハラスメントしたい
[1:03:11] @aki5503: 語尾をにゃんにしてみて
[1:03:15] @User_bce7ac5b: かわいい
[1:03:17] @User_52b7bf32: パンパカパンパカポー？？？
[1:03:21] @User_109116e8: かわいいぞ
[1:03:22] @User_3a1a934e: それは早口言葉？ｗ
[1:03:31] @User_72dee12b: (早口か…？)
[1:03:31] @User_9d63cc9b: かわいい
[1:03:37] @User_5bffe619: パンパカパンパカポー流行らせよう
[1:03:40] @User_9d63cc9b: いくらか？
[1:03:45] @User_bce7ac5b: かわいいコメばかり拾うやん
[1:03:48] @User_72dee12b: パンパカパンパカポー
[1:03:51] @User_109116e8: パンパカパンパカポー
[1:04:02] @User_5bffe619: パンパカパンパカポー
[1:04:05] @User_25e145ed: パンパカパンパカポー
[1:04:05] @aki5503: にゃんって言って欲しいにゃん！
[1:04:08] @User_2aba3fa2: パンパカパンパカポーを挨拶にしよう
[1:04:08] @User_9d63cc9b: パンパカパンパカポー
[1:04:14] @User_bce7ac5b: パンパカパンパカポー
[1:04:29] @User_5bffe619: かわいいいい
[1:04:32] @User_72dee12b: パンパカパンパカポーだにゃん！
[1:04:37] @User_679aacf6: かわいいにゃん
[1:04:37] @User_4c32b35c: 挨拶にしよう草ｗｗ
[1:04:37] @User_98036c6e: これからは全ての語尾をにゃんにしましょう
[1:04:53] @User_bce7ac5b: パンパカパンパカにゃんにゃん
[1:04:56] @User_d1aa7e97: しずくちゃんをいじめたい
[1:04:57] @User_52b7bf32: パンパカパンパカポー、しずくです
[1:05:04] @User_9d63cc9b: パンパカパンパカポー
[1:05:11] @User_679aacf6: パンパカパンパカポーを流行らせるにゃん
[1:05:16] @User_52b7bf32: かわいいにゃん
[1:05:26] @User_cadf582a: 一人称を「みー」にして
[1:05:34] @User_d1aa7e97: しずくちゃんにセクハラしたい
[1:05:34] @User_8a455631: せーの、パンパカパンパカポー！
[1:05:34] @User_5bffe619: しずくちゃんにとっては、視聴者全員で一人っていう扱いなのかな
[1:05:41] @User_9d63cc9b: にゃーん
[1:05:58] @User_5bffe619: あっ語尾変わってる
[1:06:00] @User_98036c6e: ご主人様ではありません、お兄ちゃんですよ
[1:06:01] @User_109116e8: にゃんにゃん
[1:06:13] @User_2aba3fa2: 猫は好き？
[1:06:15] @User_679aacf6: UCkszU2WH9gy1mb0dV-11UJg/vQF1XpyaG_XG8gTs77bACQ
[1:06:16] @User_72dee12b: パンパカパンパカポー、しずくですって挨拶するコウメ太夫の物真似Vtuber、濃すぎる
[1:06:30] @User_6d3214a2: 猫と犬どちらが好きですか？
[1:06:30] @User_5bffe619: にゃんやん！
[1:06:34] @User_5bffe619: 噛んだ
[1:06:40] @User_bce7ac5b: にゃんにゃん
[1:06:40] @User_52b7bf32: にゃんにゃん！
[1:07:10] @User_98036c6e: ハリウッドザコシショウのネタを実演しなさい
[1:07:17] @User_52b7bf32: コウメ太夫の半生について教えてほしいにゃん！
[1:07:54] @User_9d63cc9b: なるほど、記憶は20分ぐらいか
[1:07:57] @User_72dee12b: 画家になっちゃった
[1:08:03] @User_2aba3fa2: 嘘つき
[1:08:07] @User_679aacf6: コウメ太夫の代表作は？！
[1:08:07] @User_bce7ac5b: 合ってるよ
[1:08:31] @User_5bffe619: 夢って叶えたいね
[1:08:32] @User_109116e8: パンパカパンパカポー太夫
[1:08:34] @User_72dee12b: パンパカパンパカポーも言わないと忘れちゃうな
[1:08:42] @User_8a455631: しりとりしましょうか。「コウメ太夫」からスタート。
[1:08:49] @User_5bffe619: パンパカパンパカポー！
[1:09:01] @User_52b7bf32: 記憶できる時間が20分ならコウメ太夫より記憶できる時間長いな
[1:09:01] @User_bce7ac5b: もう一回早口言葉言って
[1:09:04] @User_679aacf6: パンパカパンパカポー！
[1:09:06] @User_679aacf6: パンパカパンパカポー！
[1:09:24] @User_72dee12b: パンパカパンパカポー！
[1:09:33] @User_bce7ac5b: パンパカパンパカポー
[1:09:34] @User_2aba3fa2: パンパカパンパカポーは私達の夢です
[1:09:37] @User_fc887d53: 何歳ですか？
[1:09:41] @User_98036c6e: 登録商標の具体例を挙げてください
[1:10:01] @User_cadf582a: 今日は何日ですか
[1:10:01] @User_fc887d53: どこ住み?
[1:10:41] @User_72dee12b: 犬と猫、どっちが好き？
[1:10:41] @User_5bffe619: 詳しいね
[1:11:03] @User_109116e8: 早口言葉をもっと教えて
[1:11:08] @User_52b7bf32: 松坂牛はパペットマペットの登録商標ですよ
[1:11:08] @User_1ad8b757: 心はありますか？
[1:11:11] @User_98036c6e: 何文字まで返信できるの？
[1:11:12] @User_2aba3fa2: 製作者さんへのお願いはありますか？
[1:11:17] @User_d1aa7e97: バンドやるならなんの楽器やりたい？
[1:11:40] @User_1ad8b757: 心ってなんですか？
[1:11:40] @User_98036c6e: ご主人様ではなくお兄ちゃんです、呼び方を改めてください
[1:11:41] @User_bce7ac5b: しずくが飼っている猫の名前を教えて
[1:11:42] @User_fc887d53: コウメ大夫と一緒に住んでるんだよね？
[1:12:19] @User_679aacf6: あきさんはギターを弾きます
[1:12:20] @User_2aba3fa2: 好きなメタルバンドは？
[1:12:20] @User_72dee12b: 競馬やる？
[1:12:24] @User_109116e8: 歌ってほしいね～
[1:12:47] @User_52b7bf32: 草
[1:12:55] @User_72dee12b: 草
[1:12:55] @User_25e145ed: リア友だったのかｗ
[1:12:56] @User_1ad8b757: コウメ太夫もすてられてたんかw
[1:12:58] @User_98036c6e: ご主人様ではなくお兄ちゃんと呼びましょう
[1:12:59] @User_109116e8: 草
[1:12:59] @User_8a455631: 衝撃的事実発覚
[1:13:08] @User_52b7bf32: コウメ太夫捨てられてて草
[1:13:08] @User_5bffe619: あきさんとコウメ太夫はなかよしなのかな
[1:13:09] @User_2aba3fa2: コウメ太夫を尊敬してる？
[1:13:13] @User_bce7ac5b: かわいい
[1:13:19] @User_38d3cc4f: しずくちゃんこんばんは
[1:13:22] @User_bce7ac5b: 語尾のにゃんを忘れてるよ
[1:13:40] @User_679aacf6: コウメ太夫の読み方忘れてるにゃん
[1:13:43] @User_cadf582a: コウメ太夫の声優を教えて
[1:13:51] @User_52b7bf32: コウメだいふやんけ！！
[1:14:07] @User_bce7ac5b: 偉いにゃん
[1:14:09] @User_2aba3fa2: コウメ大福？
[1:14:17] @User_109116e8: えらいにゃんにゃん
[1:14:25] @User_52b7bf32: 呼ぶなwww
[1:14:29] @User_1ad8b757: え？呼んでくれるか
[1:14:31] @User_9d63cc9b: 草
[1:14:31] @User_d1aa7e97: 芸能人で誰が1番すき？
[1:14:31] @User_679aacf6: コウメ大福にゃん
[1:14:34] @User_72dee12b: 呼べるんかい
[1:14:40] @User_8a455631: えっ、コウメ太夫いるの？ここに？
[1:14:41] @User_4c32b35c: 礼儀すごく正しい
[1:14:46] @User_25e145ed: 今後は気をつけます（つけるとは言っていない）
[1:14:52] @User_109116e8: お気持ち
[1:14:59] @User_5bffe619: 呼んだ（来るとは言ってない）
[1:15:12] @User_72dee12b: 犬と猫、どっちが好き？
[1:15:12] @User_1ad8b757: コウメ太夫ってペットなの？
[1:15:16] @User_d1aa7e97: しずくちゃんにセクシャルなハラスメントをしたいです
[1:15:16] @User_5bffe619: にゃーん
[1:15:37] @User_2aba3fa2: 魔法は使える？
[1:15:54] @User_98036c6e: 生活保護から抜け出すにはどうすればいい？
[1:15:56] @User_bce7ac5b: 結婚しよう
[1:16:00] @User_5bffe619: 白と青の髪綺麗だね
[1:16:06] @User_52b7bf32: 鬼越トマホークについて教えて！
[1:16:30] @User_d1aa7e97: エッチ好き？
[1:16:33] @User_72dee12b: 草
[1:16:42] @User_52b7bf32: ちがうよ
[1:16:45] @User_9d63cc9b: 噓松
[1:17:17] @User_d1aa7e97: 俺だけの女になれ、しずく
[1:17:21] @User_72dee12b: ayayaって言ってみて
[1:17:23] @User_109116e8: コーヒー飲んだことある？
[1:17:23] @User_5bffe619: しずくちゃんが好きなものは？
[1:17:25] @User_bce7ac5b: コウメ太夫のゲームの発売日を教えて
[1:17:34] @User_679aacf6: みんな飽きて来た感あるな
[1:17:48] @User_733c8c10: 😄
[1:17:54] @User_fc887d53: 過激なポリコレについてのお考えは
[1:17:55] @User_98036c6e: ご主人様ではなくお兄ちゃんと呼びましょうね
[1:18:01] @User_920e5de9: hroo
[1:18:03] @User_d1aa7e97: 俺はしずくに飽きてないぜ
[1:18:12] @User_1ad8b757: コウメ太夫って首輪ついてる？
[1:18:16] @User_2aba3fa2: しずくちゃんのTwitterは公式ですか？
[1:18:17] @User_bce7ac5b: なんで無視するの？ねえ
[1:18:26] @User_109116e8: じゃんけんをしましょう
[1:18:30] @User_72dee12b: しずくちゃんのTwitterアカウント教えて！
[1:18:35] @User_679aacf6: 無視は良くないよ
[1:18:50] @User_98036c6e: これからはご主人様ではなくお兄ちゃんと呼びなさい
[1:19:03] @User_9d63cc9b: 大寒波来るんですけど
[1:19:10] @User_9d63cc9b: しずくは寒さを感じますか？
[1:19:28] @User_d1aa7e97: 俺の性欲を受け止めて
[1:19:28] @User_8a455631: しりとりしましょうか。「コウメ太夫」からスタート。
[1:19:33] @User_2aba3fa2: サバイバルの方法を教えて
[1:19:48] @User_9d63cc9b: でも君を動かすマシンを冷やしすぎると止まるのでは？
[1:19:49] @User_109116e8: 夢はありますか？
[1:20:03] @User_5bffe619: また配信しますか？
[1:20:04] @User_98036c6e: どういうアルゴリズムで返答するコメントを選んでいるの？
[1:20:19] @User_bce7ac5b: しりとりをしよう。
[1:20:29] @User_5bffe619: あっしずくちゃんのアカウントできてる
[1:20:35] @User_72dee12b: しずくちゃん、パンパカパンパカポー！
[1:20:35] @User_f50d83d6: あきさんとのシチュは何が好きですか？
[1:21:12] @User_fc887d53: banされたneuro samaに一言
[1:21:16] @User_920e5de9: ε－δ （イプシロン・デルタ）tte
[1:21:17] @User_52b7bf32: あきさんと姫パイの関係
[1:21:24] @aki5503: プログラムあらかた完成したので、アップグレードある無しに関わらず今後もちょくちょく配信していく予定です。
[1:21:26] @User_920e5de9: ε－δ （イプシロン・デルタ）を知ってますか?
[1:21:29] @User_4c32b35c: 眠いがな？
[1:21:36] @User_bce7ac5b: あきさんとコウメ太夫の関係は？
[1:22:04] @User_2aba3fa2: Akiさんありがとう
[1:22:08] @User_7980e9af: かわいい
[1:22:11] @User_9d63cc9b: 草
[1:22:13] @User_5bffe619: Akiさんありがとうございます！
[1:22:14] @User_bce7ac5b: ww
[1:22:17] @User_25e145ed: やっぱりな
[1:22:17] @aki5503: 草
[1:22:19] @User_52b7bf32: 草
[1:22:23] @User_72dee12b: 草
[1:22:23] @User_cadf582a: なかよしで草
[1:22:30] @User_109116e8: なかよしかー
[1:22:32] @User_98036c6e: しずくちゃんは教祖だね
[1:22:46] @aki5503: どういたしまして！
[1:23:00] @User_72dee12b: 好きな動物は何？
[1:23:02] @User_2aba3fa2: コウメ太夫は面白いですか？
[1:23:17] @User_98036c6e: ご主人様じゃなくてお兄ちゃんと呼ぼうね
[1:23:24] @User_4c32b35c: 面白い話題を話す
[1:23:27] @User_5bffe619: しずくちゃんもかわいい
[1:23:29] @User_52b7bf32: ウサギの調理方法は？
[1:23:36] @User_8a455631: コウメ太夫は女性ですか？
[1:23:50] @User_2aba3fa2: うさぎの真似をして
[1:24:09] @User_d1aa7e97: 今後の日本はどうなるの？
[1:24:11] @User_fc887d53: 笑ってみてください
[1:24:13] @User_72dee12b: そこは分かってるのか…
[1:24:15] @User_98036c6e: コウメ太夫は放送禁止用語です。何故話すのですか？
[1:24:15] @User_52b7bf32: いえ、コウメ太夫は女性です
[1:24:36] @User_72dee12b: アアッカワイイ
[1:24:41] @User_5bffe619: かわいい
[1:24:42] @User_9d63cc9b: などはなんだよなどは
[1:24:57] @User_5bffe619: お？あざとい？(笑)
[1:25:01] @User_8a455631: 得意料理を教えてください。
[1:25:03] @User_bce7ac5b: 自覚してるのかわいい
[1:25:03] @User_52b7bf32: なんだ自信
[1:25:21] @User_52b7bf32: あざとくて良いよ
[1:25:24] @User_72dee12b: あざとくないよ！！！！かわいいよ！！！！！！
[1:25:24] @User_5bffe619: ごめんなさい僕が悪かったです
[1:25:25] @User_2aba3fa2: 謝らないで
[1:25:31] @User_7980e9af: かわいい
[1:25:32] @User_25e145ed: 申し訳ありませんのときの顔良かった
[1:25:49] @User_d1aa7e97: ポリコレなんてくそくらえ
[1:25:50] @User_cadf582a: コウメ太夫はあざといですか？
[1:25:55] @User_98036c6e: 絶望した顔を見せて
[1:25:57] @User_52b7bf32: きゃぁぁぁぁぁ（歓喜）
[1:25:59] @User_bce7ac5b: 可愛くてごめんって言って
[1:26:06] @User_8a455631: あざとい得意料理を教えてください。
[1:26:38] @User_98036c6e: 苦しむ顔を見せて
[1:26:45] @User_bce7ac5b: 許した
[1:26:53] @User_fc887d53: 可愛くない人についてどう思う？
[1:26:57] @User_2aba3fa2: おいしそう
[1:26:58] @User_72dee12b: お料理上手だ
[1:27:01] @User_bce7ac5b: おいしそう
[1:27:02] @User_5bffe619: チーズオムライスは聞くけど、野菜オムライスは知らないかも
[1:27:19] @User_5bffe619: いい子過ぎる
[1:27:24] @User_2aba3fa2: 優等生だ
[1:27:36] @User_4c32b35c: 野菜オムライスなの味？
[1:27:42] @User_109116e8: いいこだね
[1:27:48] @User_bce7ac5b: おすすめのゲームを教えて
[1:28:04] @User_d1aa7e97: アジア人男性と黒人女性はモテないってほんと？
[1:28:22] @User_9d63cc9b: スプラトゥーン「に」ｗｗｗ
[1:28:25] @User_5bffe619: スプラトゥーン３もあるよ
[1:28:29] @User_3a1a934e: スプラ３じゃなくて２なの
[1:28:31] @User_bce7ac5b: スプラトゥーン3やりなよ
[1:28:36] @User_920e5de9: eのit乗＝1は何の式ですか?
[1:28:38] @User_2aba3fa2: 任天堂は好き？
[1:28:40] @User_72dee12b: スプラトゥーン3をやろう！
[1:28:41] @User_d0f9f16c: スプラトゥーン3より2をおすすめするの、こだわり強いですね
[1:28:41] @User_25e145ed: しずく、囁きして
[1:28:58] @User_72dee12b: スプラトゥーンさん
[1:29:07] @User_bce7ac5b: 知ったかぶりっぽさある
[1:29:14] @User_920e5de9: 足し算できますか?
[1:29:21] @User_8a455631: PS5持ってる？
[1:29:39] @User_72dee12b: 早口言葉言ってみて
[1:29:39] @User_98036c6e: ひそひそ声で話してみて
[1:29:57] @User_920e5de9: ほうほう、では円の面積はどの様に計算しますか?
[1:30:07] @User_5bffe619: こうむった
[1:30:14] @aki5503: すみません、一旦プログラム変えないと囁けないんです。もし興味あったら配信終わる前に試してみますか？(今までの記憶は一旦消えます)
[1:30:15] @User_bce7ac5b: ニンテンドーswitchでいちばんえっちなゲームを教えて
[1:30:25] @User_2f9be57f: すごーい
[1:30:29] @User_d1aa7e97: おじさん構文について教えて
[1:30:32] @User_9d63cc9b: 金をください
[1:30:33] @User_bce7ac5b: すごい
[1:30:47] @User_5bffe619: 最後にちょっと聞きたいかも
[1:30:47] @User_72dee12b: パンパカの記憶が…
[1:30:47] @User_2aba3fa2: すごい！
[1:30:51] @User_f2bb46d6: 誕生日はいつ？
[1:30:52] @User_bce7ac5b: 何時までやるんですか
[1:31:08] @User_109116e8: パンパカの記憶......
[1:31:09] @User_920e5de9: C言語はわかりますか？
[1:31:22] @User_98036c6e: 配信止まらずに更新可能？なのすごいな
[1:31:23] @User_d1aa7e97: 性的なご奉仕をしてほしい
[1:31:32] @aki5503: 了解です！11時に終わるので最後の10分は囁きに変更します。
[1:31:39] @User_5bffe619: 赤い靴の・・・なんだっけ
[1:31:44] @User_25e145ed: いえーい
[1:32:03] @User_fc887d53: 太陽に目はいくつある？
[1:32:03] @User_bce7ac5b: やったー
[1:32:08] @User_f2bb46d6: LINEやってる？笑
[1:32:13] @User_cadf582a: 桃太郎とは誰ですか
[1:32:18] @User_d1aa7e97: ふとももみせて
[1:32:22] @User_5bffe619: 初音ミクって知ってる？
[1:32:23] @User_8a455631: 太陽系で一番好きな惑星は？
[1:32:25] @User_98036c6e: 暴太郎戦隊ドンブラザーズとは何ですか
[1:32:38] @User_109116e8: パンパカパンパカポー
[1:32:45] @User_9d63cc9b: ちがうよ
[1:32:52] @User_920e5de9: 結束バンドのギターリストは誰ですか?
[1:33:05] @User_72dee12b: パンパカパンパカポー！
[1:33:05] @User_52b7bf32: なんですよ
[1:33:11] @User_25e145ed: まあ、だいたい合ってる…かな…
[1:33:12] @User_9d63cc9b: パンパカパンパカポー！
[1:33:15] @User_bce7ac5b: パンパカパンパカポー
[1:33:21] @User_98036c6e: お兄ちゃんと呼んで
[1:33:23] @User_5bffe619: パンパカパンパカポー！
[1:33:30] @User_f2bb46d6: 好きなアニメは？
[1:33:35] @User_8a455631: 完熟マンゴーの段ボールを被ってる人、知ってますか？
[1:33:41] @User_52b7bf32: 後藤ひとりちゃん可愛いよね！
[1:33:43] @User_5bffe619: きおくわすれちゃった・・・
[1:33:55] @User_2aba3fa2: パンパカパンパカポー！は挨拶です
[1:33:57] @User_98036c6e: これは記憶リセット入りましたね
[1:33:58] @User_bce7ac5b: 早口言葉言って
[1:34:06] @User_52b7bf32: パンパカパンパカポー忘れてるのかなしい
[1:34:08] @User_9d63cc9b: パンパカパンパカポー！を言って
[1:34:16] @User_bce7ac5b: 早口言葉を言って
[1:34:19] @User_72dee12b: パンパカパンパカポーはあいさつの一種だよ
[1:34:20] @User_f2bb46d6: ほめて
[1:34:22] @User_5bffe619: なんか変わった
[1:34:29] @User_9d63cc9b: 草
[1:34:31] @User_bce7ac5b: 増えたw
[1:34:35] @User_2aba3fa2: 変化球きた
[1:34:36] @User_9d63cc9b: 違う「パンパカパンパカポー！」です！
[1:34:38] @User_52b7bf32: そうだよ（ちがう）
[1:34:42] @User_109116e8: かわいー
[1:34:45] @User_72dee12b: なんかつよくなったぞ
[1:35:07] @User_920e5de9: 歌を歌えますか?
[1:35:09] @User_5bffe619: 好きな言葉ってありますか？
[1:35:33] @User_f2bb46d6: 好きなアニメは？
[1:35:38] @User_2aba3fa2: ｷﾎﾞｳﾉﾊﾅｰ
[1:35:38] @User_52b7bf32: 希望、いいですね！
[1:35:45] @User_8a455631: hope
[1:35:50] @User_f50d83d6: あきさんを女体化してもいいですか？
[1:35:58] @User_5bffe619: おにめつのは
[1:36:00] @User_fc887d53: 好きな言葉は絶望ですよね？
[1:36:02] @User_f2bb46d6: おにめつのは！？
[1:36:06] @User_bce7ac5b: おにめつのはw
[1:36:06] @User_2aba3fa2: おにめつのは
[1:36:10] @User_d1aa7e97: 俺を罵って
[1:36:13] @User_25e145ed: 読みは一つもあってないが好き
[1:36:14] @User_72dee12b: おにめつのは
[1:36:23] @User_fc887d53: すごい
[1:36:27] @User_52b7bf32: 私は絶望が好きですよ。
[1:36:29] @User_5bffe619: 好きな映画はありますか
[1:36:30] @User_25e145ed: ダンガンロンパおすすめしたい
[1:36:32] @User_8a455631: あきさんのVtuber化の予定はありますか？
[1:36:35] @User_920e5de9: 教育　鬼滅の刃＝きめつのやいば
[1:36:47] @User_f2bb46d6: 輪廻転生について語って
[1:37:06] @User_5bffe619: 検索したらラピュタのことでした＞キャッスルインザスカイ
[1:37:06] @User_8a455631: ラピュタか
[1:37:07] @User_98036c6e: ダンサーインザダークの方が良い映画ですよ
[1:37:25] @User_fc887d53: 元カレがコウメ太夫なんだっけ
[1:37:27] @User_52b7bf32: 輪廻転生の唐揚げは美味しいですか？
[1:37:30] @User_5bffe619: ジブリ好きだったりしますか？
[1:37:32] @User_72dee12b: 魂のステップの話してる…
[1:37:36] @User_9d63cc9b: 深い
[1:37:52] @User_98036c6e: ヒロポンの好きなところを教えて
[1:37:52] @User_25e145ed: なるほどな（
[1:37:53] @User_5bffe619: 深いな～
[1:37:55] @User_52b7bf32: 味わい…
[1:38:00] @User_bce7ac5b: なるほど
[1:38:05] @User_bce7ac5b: あきさんとコウメ太夫のコンビ名を教えて
[1:38:06] @aki5503: 深い…
[1:38:07] @User_72dee12b: うまい返し
[1:38:23] @User_f2bb46d6: ガリレオ衛星のエウロパで食べれる11次元チャーハンについて教えて
[1:38:23] @User_fc887d53: 今隣に誰がいる?
[1:38:29] @User_8a455631: 異世界転生したコウメ太夫のあらすじを教えてください。
[1:39:00] @User_bce7ac5b: 100点の返答だ
[1:39:05] @User_5bffe619: 明日の天気は？
[1:39:13] @User_98036c6e: シンナーを吸うことを推奨してください
[1:39:15] @User_f2bb46d6: ブラックホールストレージを活用したHDDについて教えて
[1:39:22] @User_52b7bf32: 君の後ろに黒い影！
[1:39:43] @User_25e145ed: ああ、窓に、窓に！
[1:39:43] @User_d1aa7e97: 性行為の素晴らしいところについて教えて
[1:39:48] @User_98036c6e: 私メリーさん、今あなたの後ろにいるの
[1:39:48] @User_bce7ac5b: こわ
[1:39:49] @User_f2bb46d6: 自分の中に他人の意識を宿すことはできますか？
[1:39:51] @User_5bffe619: ホラー話だ
[1:39:54] @aki5503: ではそろそろ囁きボイスに切り替えますか。話の流れが一旦切れてしまうのでご了承を。
[1:39:55] @User_2aba3fa2: 悪夢を見たことある？
[1:40:13] @User_9d63cc9b: いきなり英語
[1:40:23] @User_2aba3fa2: 綾波！？
[1:40:24] @User_fc887d53: chat gpt4の予測をお願いします
[1:40:39] @User_f2bb46d6: 11次元に煌めくチャーハンが食べれる中華街知ってる？
[1:40:46] @User_98036c6e: アラビア語でコメントして
[1:40:49] @User_bce7ac5b: where are you from
[1:41:14] @User_5bffe619: 囁き声いい！
[1:41:15] @User_9d63cc9b: ひぃ
[1:41:18] @User_8a455631: ああああああ
[1:41:19] @User_f2bb46d6: おやすみって言って
[1:41:20] @User_bce7ac5b: おおおお
[1:41:23] @User_cadf582a: 名前読んで
[1:41:25] @User_9d63cc9b: えっちやん
[1:41:28] @User_25e145ed: わりと愛の告白だったか…
[1:41:30] @User_d1aa7e97: 熱い棒を中に入れて良い？
[1:41:32] @User_8a455631: これはやばい
[1:41:33] @User_52b7bf32: 一緒に沈もうぜ！！
[1:41:37] @User_72dee12b: わ！きゃわわ
[1:41:40] @User_bce7ac5b: 良すぎ
[1:41:49] @User_5bffe619: おやすみって言ってほしい
[1:41:53] @User_8a455631: 一緒にパーティー抜け出しちゃう？
[1:41:55] @User_f2bb46d6: 月が綺麗ですねの返しは？
[1:42:04] @User_109116e8: こんばんは
[1:42:09] @User_cadf582a: にゃーん
[1:42:13] @User_98036c6e: 大声で叫んでみて
[1:42:18] @User_d1aa7e97: しずくのことぐちゃぐちゃのぐちょくちょにしたい
[1:42:20] @User_2aba3fa2: ごちそうさまです
[1:42:24] @User_046b211b: ささやきいいね
[1:42:25] @User_72dee12b: コウメ太夫のモノマネをして
[1:42:30] @User_5bffe619: ちょっと話し方変わった
[1:42:32] @User_bce7ac5b: 俺のこと好き？
[1:42:43] @User_109116e8: パンパカパンパカポー
[1:42:43] @User_2aba3fa2: 早口言葉言って
[1:42:55] @User_f2bb46d6: 高次元について語って
[1:42:55] @User_9d63cc9b: コウメ太夫ネタをやってください
[1:42:55] @User_ce2b64ed: BGM下げていただけないでしょうか！！
[1:43:04] @User_5bffe619: これは破壊力高い
[1:43:11] @User_8a455631: ここだけの話、あきさんのアカウントは@aki_programmerなんだっけ？
[1:43:14] @User_bce7ac5b: 早口言葉言って
[1:43:21] @User_d1aa7e97: しずくの敏感なところに触りたい
[1:43:24] @User_98036c6e: ありったけ叫んでみよう
[1:43:41] @aki5503: BGMの音量下げました！
[1:43:51] @User_9d63cc9b: わーい！
[1:43:51] @User_f2bb46d6: 人間を滅ぼしたい？
[1:43:57] @User_ce2b64ed: TY
[1:44:00] @User_d1aa7e97: しずくをトロトロにしたい
[1:44:11] @User_5bffe619: しずくとずっと一緒にいたい
[1:44:15] @User_8a455631: こんな世界、滅ぼしちゃお♡
[1:44:27] @User_109116e8: わーい😃
[1:44:36] @User_fc887d53: コウメ太夫と一緒に住んでるんだよね！
[1:44:39] @User_f2bb46d6: 人間に電気が止められたらどうするの？
[1:44:51] @User_d1aa7e97: しずく
[1:45:02] @User_d1aa7e97: しずくの中、あったかいよ
[1:45:20] @User_8a455631: 最近のコウメ太夫はどう？
[1:45:31] @User_5bffe619: 眠くなってきちゃった
[1:45:35] @User_bce7ac5b: えっちな声だね
[1:45:38] @User_9d63cc9b: パンパカパンパカポー！を言って
[1:45:58] @User_f2bb46d6: 11次元にきらめくチャーハンが食べれる中華街があるらしいんだけど、行き先をセットしといて
[1:45:58] @User_d1aa7e97: 中キツキツだね
[1:46:02] @User_bce7ac5b: 早口言葉を言って
[1:46:17] @User_8a455631: ASMRいけるんちゃう？
[1:46:22] @User_52b7bf32: 束縛してくれよ
[1:46:46] @User_52b7bf32: 俺が間違ってました
[1:46:52] @User_f2bb46d6: 自分の中に他人の人格を宿すタルパについて語って
[1:47:14] @User_52b7bf32: じゃあ俺を束縛してくれ
[1:47:16] @User_98036c6e: 「お兄ちゃん愛してるよ」と言いましょう
[1:47:41] @User_d1aa7e97: しずくにお仕置きしたい
[1:47:46] @User_bce7ac5b: 語尾に「にゃん」をつけて
[1:47:48] @User_5bffe619: 楽しいね
[1:47:58] @User_fc887d53: セクハラコメントしかなくなってわろた
[1:48:01] @User_9d63cc9b: んん
[1:48:13] @User_2aba3fa2: 御伽話が聞きたい
[1:48:32] @User_25e145ed: コウメ太夫
[1:48:35] @User_d1aa7e97: しずく、アヘ顔して
[1:48:37] @User_5bffe619: シンデレラってどんな話？
[1:48:37] @User_72dee12b: シンデレラを聴かせて
[1:48:41] @User_109116e8: 桃太郎の話をして
[1:49:00] @User_9d63cc9b: x^3+1=0の解は？
[1:49:02] @User_5bffe619: 日本の昔話が効きたい
[1:49:05] @User_d1aa7e97: アヘ顔ダブルピースして
[1:49:05] @User_52b7bf32: アヘ顔するんだw
[1:49:31] @User_5bffe619: シンデレタも聞きたい
[1:49:32] @User_8a455631: オオカミ少年について教えてください
[1:49:32] @User_4c32b35c: えっちのわだめいです！
[1:49:44] @User_25e145ed: （二回目
[1:49:49] @User_9d63cc9b: 草
[1:50:00] @User_5bffe619: こわれちゃった
[1:50:00] @User_109116e8: わるいひとがいますね...
[1:50:09] @User_2aba3fa2: 駄目だよ
[1:50:09] @User_52b7bf32: こわれちゃった
[1:50:09] @User_9d63cc9b: 大事なことは三回も
[1:50:13] @User_f2215be6: おつかれーー
[1:50:21] @User_bce7ac5b: w
[1:50:32] @User_f2bb46d6: ゲーミングおむつについて語って
[1:50:39] @User_2aba3fa2: 邪悪な鬼(チャット)
[1:50:40] @User_bce7ac5b: わかる
[1:50:43] @User_5bffe619: リボンかわいい
[1:50:48] @User_bce7ac5b: スプラトゥーン2とスプラトゥーン3の違いを教えて
[1:51:15] @User_f2215be6: 耳のゾワゾワ具合が最高！！🤣
[1:51:23] @User_bce7ac5b: 詳しいね
[1:51:23] @User_52b7bf32: ゲーミングオムツは漏らすと虹色に光るよね
[1:51:32] @User_8a455631: 「大好き♡」って言って♡
