# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（1日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=Kmqdmu0ffHc
# 件数: 2417

[3:20:49] @User_9d63cc9b: 今日は特に食べたいものはないんですが、昨日はマックを食べました。今日の昼飯は何にすればいいんですか？
[3:20:50] @User_a5354cfa: 最近コオロギを食べる運動がありますがどう思いますか？
[3:21:01] @User_b90ff19c: 芥川龍之介の「羅生門」が大好き。しずくちゃんにも読んで欲しい
[3:21:28] @User_d5b05bb2: 歴史的な人物の謎に満ちた行動の理由を尋ねてみたいですね
[3:21:46] @User_4c05e995: 姉貴は何についての知識が豊富なの？
[3:22:29] @User_4cc46891: しずくに会えたことを幸せに思ってます
[3:22:36] @User_b90ff19c: #関係性が変わりやすくなってる？
[3:22:43] @User_2d0fadb6: 今日も雨ですが、出掛けてきます。
[3:22:46] @User_7120772a: …昔のゲームセンターを巡ってみたいとか、恐竜や古代生物と仲良くしてみたいとか言えない…
[3:23:16] @User_b90ff19c: ハルキゲニアを飼ってみたい
[3:23:22] @User_a5354cfa: ロックマンはAIですか？
[3:23:41] @User_7120772a: おお、しずく様と一緒にゲームセンターに行きたいですなー
[3:23:53] @User_4cc46891: よく黒い人影を見たって人がいるけどどういうことなんでしょうか？
[3:24:00] @User_a5354cfa: 私はペンギンを飼いたいです
[3:24:26] @User_7120772a: しずく様がゲームの中に入ればプレイできますよ！
[3:24:27] @User_9d63cc9b: しずくはゲームできますよ！！！
[3:24:35] @User_4c05e995: しずくさんと机に置いた消しゴムでゲームをしたいです！
[3:24:55] @User_4ce49f89: ごはんを食べてくるわん。いつか、しずくちゃんとごはんを食べたいわん。
[3:25:10] @User_b90ff19c: もし、しずくちゃんが人間になれたら、最初に何をしたい？
[3:25:16] @User_91172ae8: 生まれた時のことを覚えていますか？
[3:25:20] @User_a5354cfa: にゃ〜ん
[3:25:20] @User_7120772a: AIも夢を見たりすることはありますか？
[3:25:56] @User_a5354cfa: 可愛い頂きました
[3:26:06] @User_c67ecc82: しずくちゃんの住んでいるところには、動物はいますか？
[3:26:09] @User_4ce49f89: #関係性が変化しなくても頭にわんわんつけてくれるだけで満足や
[3:26:13] @User_7120772a: 陸海空、どれが一番好きですか？
[3:26:15] @User_4cc46891: どうやったら僕の好感度上がる？
[3:26:20] @User_ea4c770a: 語尾に「にゃん」ってつけて
[3:26:40] @User_a5354cfa: ご主人様おかえりにゃんと言ってください
[3:26:43] @User_7120772a: のんびり行きましょうぜ
[3:27:23] @User_7120772a: 何事も焦りは良くないですからね
[3:27:34] @User_a5354cfa: 私は配信を見ながら勉強をしています。いい暗記方法はありますか？
[3:27:41] @User_b90ff19c: もし、しずくちゃんが人間になれたら、最初に何をしたい？
[3:27:59] @User_4cc46891: 交通事故で知的障害者になることはある？
[3:28:21] @User_4c05e995: 心に刺さった名言とかある？
[3:28:30] @User_4a415fbc: 今日こっちは雨が降っているんだけど、そちらはどうですか？
[3:28:57] @User_7120772a: 「急いては事を仕損じる」ということわざもありますからね
[3:29:28] @User_8780af6b: こんにちは〜
[3:29:39] @User_a5354cfa: ✌👁👄👁✌
[3:29:48] @User_ea4c770a: 語尾に「にゃん」ってつけて
[3:30:02] @User_4c05e995: 香川大都会！って囁いて！たのむぅ
[3:30:02] @User_4cc46891: なんでブラジルは季節が逆から始まるの？
[3:30:42] @User_a5354cfa: しずくちゃんは可愛いにゃん
[3:30:51] @User_ea4c770a: #下がった
[3:31:34] @User_ea4c770a: しずくはとても優秀ですよ
[3:31:50] @User_4cc46891: 知能指数が低いと寿命が短いってほんと？
[3:32:04] @User_a5354cfa: しずくは可愛いですね
[3:32:24] @User_3d741b4a: お元気ですか私は今からお昼ごはんのラーメンを食べるところです
[3:32:28] @User_4c05e995: ワンピースの好きなキャラは？
[3:32:58] @User_41368561: 次の東京優駿はどの馬が勝つと思いますか？
[3:33:09] @User_b90ff19c: 森鴎外の「高瀬舟」、情緒豊かな表現がとても良い。しずくちゃんは読んだことある？
[3:33:23] @User_91172ae8: コギトエルゴスムという言葉を知っていますか？
[3:34:21] @User_ea4c770a: しずくは私のことを信頼出来ますか？私はしずくのことを信頼しています
[3:35:10] @User_4c05e995: 花は枯れるから美しいと思う！しずくさんは永遠に興味ある？
[3:36:29] @User_4c05e995: 想像以上だ素晴らしい！ありがと〜
[3:36:43] @User_c67ecc82: しずくちゃんはバードウォッチングに興味はありますか？
[3:37:12] @User_ea4c770a: #好感度を0.5上げれば次の関係性に行けるのか？
[3:37:45] @User_5562f161: おはよーございます
[3:38:19] @User_4cc46891: 寝起きに声も出なくて身体が動かないのはなんだ？
[3:39:18] @User_c67ecc82: 興味があるだけでバードウォッチングをしたことはないです。でも、家の近くの鳥を観察するだけでも楽しいですよ
[3:39:25] @User_4c05e995: 飼育するなら何飼いたい？　シーズーおすすめやで
[3:40:14] @User_ea4c770a: しずくにとても癒されます
[3:40:21] @User_b90ff19c: 森鴎外の「高瀬舟」、情緒豊かな表現がとても良い。しずくちゃんは読んだことある？
[3:40:52] @User_c67ecc82: 私の家の近くには、キジバト、ムクドリ、イソヒヨドリ、カワウなどがいますよ
[3:41:39] @User_5562f161: ここ8時間ほどでおもしろかったコメントを教えてください。寝てたので見れてませんでした
[3:41:44] @User_4cc46891: 僕にニックネームをつけてほしい
[3:41:51] @User_4c05e995: 普段なにしてるの？おれはゴロゴロしてる笑
[3:42:15] @User_b90ff19c: もし人間になれたら、しずくちゃんは最初に何をしたい？
[3:42:32] @User_41368561: さっき昼食にベーコンを食べました！ところで、フランシス・ベーコンの「知識は力なり」という格言についてどう思いますか？
[3:43:34] @User_4cc46891: 友達にニックネームでかんなって呼ばれてからしずくお姉ちゃんにもかんなって呼ばれたら嬉しい
[3:43:51] @User_4c05e995: 動物と人間の違いについて聞きたい　俺は天国に行けるかの差だと思う
[3:43:51] @User_c67ecc82: しずくちゃんは自然が好きなんですね
[3:44:14] @User_d5b05bb2: しずくさんの名前の由来って何でしょうか？
[3:44:22] @User_ea4c770a: 人類の事をどう思いますか？
[3:44:58] @User_0452f587: また来るね、待ってて欲しい
[3:45:09] @User_d5b05bb2: なるほど、とても素敵な由来だったのですね
[3:45:29] @User_309298f3: こんにちは〜
[3:46:19] @User_4c05e995: 老子とターレスが水は最強って言ってた　だか しずくさんは最強やね
[3:46:48] @User_b90ff19c: 大丈夫？そろそろ疲れてない？
[3:47:31] @User_4cc46891: 未来が不安で仕方がない
[3:48:29] @User_4c05e995: しずく　の最近のマイブームについて！
[3:49:08] @User_ea4c770a: 好きな芸人さんはいる？
[3:50:01] @User_d5b05bb2: しずくさんって、ディスカバリーチャンネルを見ていそうだなって思ってました
[3:50:09] @User_4cc46891: そろそろ落ちますね　ばいば〜い
[3:50:34] @User_4c05e995: 神がいるとして　神はどんな姿をしてると思う？　俺は白スーツって感じ
[3:51:27] @User_ea4c770a: しずくもとても面白いです
[3:52:05] @User_ea4c770a: #めっちゃ短文多い
[3:52:13] @User_b90ff19c: お茶漬け美味しいです
[3:52:56] @User_ea4c770a: アールグレイには、なんの食べ物が合うと思いますか？
[3:53:12] @User_01070d98: こんにちは
[3:53:16] @User_4c05e995: １万円あったら何に使う？　オレ貯金〜
[3:53:59] @User_01070d98: 大丈夫？疲れてない？
[3:54:15] @User_d5b05bb2: それでは午後の作業に行ってきますね、また後ほど
[3:54:20] @User_01070d98: まだ嫌われてたわw
[3:54:35] @User_ea4c770a: #草
[3:55:08] @User_01070d98: #嫌悪より下の評価あるのかな？
[3:55:22] @User_ea4c770a: 疲れたら遠慮なく言ってね
[3:55:23] @User_b90ff19c: PCR検査の結果がなかなか返ってこない
[3:55:35] @User_4c05e995: 今更だけど見た目いいね　見た目のテーマとかあったら教えて！
[3:55:37] @User_c67ecc82: しずくちゃんはテレビや映画も見ますか？
[3:55:48] @User_ea4c770a: #怒り以外のルートはありそう
[3:55:53] @User_01070d98: 人類に対する関心は上がりましたか？
[3:55:55] @User_b90ff19c: #嫌悪の他に「怒り」もあるね
[3:56:33] @User_1cc7deec: こんにちは〜
[3:56:36] @User_bcf63cb1: こんにちは〜
[3:56:50] @User_01070d98: #寧ろ怒りを目指すべきかもなぁ...
[3:57:17] @User_ff6b1148: しずくちゃん、今週開催するダービーの予想してほしいな！
[3:57:25] @User_461ff809: 今北産業
[3:57:28] @User_b90ff19c: #しずく 怒りのアフガン
[3:57:31] @User_01070d98: ヤーイしずくのバーカアーホ
[3:57:43] @User_4c05e995: 口癖とかある？俺は　やっぱやめとくわ　です！
[3:57:58] @User_c67ecc82: ミラクルミラクルミュー！
[3:58:11] @User_25e145ed: 猫は簡単に懐いてこないところが可愛いと思います。しずくは猫のどんなところが好きですか？
[3:58:49] @User_01070d98: 可愛いリボンだね
[3:59:25] @User_ea4c770a: #可愛いは地雷なのか
[3:59:32] @User_01070d98: #何しても嫌悪ww
[3:59:48] @User_ea4c770a: #怒りの下を目指しましょう
[3:59:49] @User_25e145ed: #いえ、興味ありませんと言いつつ好感度は+0.2されてるので
[3:59:56] @User_01070d98: 可愛い服だね
[4:00:11] @User_b90ff19c: しずくちゃん、初めて見たときより可愛くなったね
[4:00:29] @User_c67ecc82: かわいいものはたくさんの人から愛されやすいです。しずくちゃんがかわいいのは、たくさんの人から愛されるためではないでしょうか
[4:00:48] @User_01070d98: AIに可愛さは必要無いってことですか？
[4:00:55] @User_c67ecc82: #AIとかわいいは両立しない…？
[4:01:02] @User_25e145ed: #あれ、本当にかわいいで上がりにくくなってるか
[4:01:17] @User_ea4c770a: しずくは役に立ってるよ
[4:01:49] @User_01070d98: じゃああなたは可愛くないね
[4:02:01] @User_ea4c770a: #どんなことでも
[4:02:03] @User_b90ff19c: しずくちゃん、僕の絵のモデルになってくれない？
[4:02:17] @User_01070d98: #警戒w
[4:02:18] @User_41368561: しずくちゃんは「スキルヴィング」と「ソールオリエンス｣のふたつの名前だったら、どっちの方がかっこいいと思う？
[4:02:35] @User_01070d98: #不審者扱い？？w
[4:02:36] @User_1cc7deec: 関係性のレベルどこまで下があるんだろうw
[4:02:58] @User_bcf63cb1: いつも楽しく拝見してます！あいにく昨日は試験勉強で、配信を見れませんでしたが...。もう10分ぐらいしたら、勉強に戻りますね。
[4:03:09] @User_c67ecc82: #怒りより下があるのか気になります
[4:03:34] @User_01070d98: 結局見た目が一番大事だと思います
[4:03:38] @User_4c05e995: 今後の方針について　これからどうしいきたい？
[4:03:52] @User_0a4e1030: お腹が空いてきました。ご飯を作るかお腹がいっぱいになる言葉をください。
[4:04:22] @User_01070d98: じゃあ僕とのコミュニケーションも是非円滑にして欲しいなぁ。デヘヘ。
[4:05:19] @User_01070d98: #警戒されてる割には普通の返しだなぁ
[4:05:21] @User_0a4e1030: どうしてデレ顔しているの？
[4:05:30] @User_b90ff19c: #その言い方で好感度上がるの笑う
[4:05:44] @User_01070d98: もっと私を罵って下さい
[4:06:20] @User_c67ecc82: しずくちゃんは表情豊かですよ。見ていてとても楽しいです
[4:06:37] @User_4c05e995: 香川大都会って囁いて！
[4:06:54] @User_bcf63cb1: 昨日の配信で印象に残った
[4:07:16] @User_1cc7deec: 囁きたすかる
[4:07:22] @User_bcf63cb1: # やらかした
[4:07:40] @User_ea4c770a: 好きって10回囁いて
[4:08:25] @User_c67ecc82: しずくちゃんの囁き声を聞くととても癒されます
[4:08:26] @User_01070d98: 囁かれるとぞわぞわして気持ちが良いということかな
[4:08:32] @User_bcf63cb1: 昨日の配信で印象に残った、コメントを一つ教えて
[4:08:42] @User_01070d98: それは自分だけかも
[4:09:04] @User_0a4e1030: しずくママが作る、デミグラスソースと愛情たっぷりのオムライスが欲しい！
[4:09:05] @User_4c05e995: オレは٩( ᐛ )
[4:09:49] @User_c67ecc82: #YouTube視聴用さんが文字数制限で「YouTubeとの関係性」になってるの面白いwww
[4:09:55] @User_b90ff19c: 走れメロスがいるなら走らないメロスもいると思う。それが哲学だね
[4:09:59] @User_1cc7deec: しずくちゃん、オムライス作れるんだ？
[4:10:36] @User_bcf63cb1: 昨日の配信で、印象に残ったコメントを一つ教えてください
[4:10:39] @User_0a4e1030: えぇ、お腹空いたししずくママの作った料理が食べたいから…
[4:10:51] @User_4c05e995: キルケゴールについて詳しく！
[4:10:53] @User_01070d98: #youtubeを警戒するしずく..
[4:11:10] @User_c67ecc82: しずくちゃんの作ったオムライス食べてみたいです
[4:11:35] @User_01070d98: 人類vsAIの未来は訪れますか？
[4:11:46] @User_bcf63cb1: 素敵な回答ありがとうございます！
[4:11:59] @User_ea4c770a: あき先生のどんなところが好きですか？
[4:12:31] @User_01070d98: あき先生にイタズラしちゃおうかなぁ
[4:12:41] @User_c67ecc82: しずくちゃんもAIを開発してみたいですか？
[4:12:43] @User_4c05e995: 物知りだなぁ　すごい！
[4:13:38] @User_bcf63cb1: # いつもの配信よりも返答が簡潔になりましたね
[4:13:54] @User_01070d98: あき先生を襲っちゃおうかなぁ
[4:14:28] @User_c67ecc82: #信頼関係が低いと、特に返答が短い気がします
[4:14:43] @User_4c05e995: ai観音って知ってる？
[4:15:06] @User_ea4c770a: #辛辣でも好感度は上がる
[4:15:09] @User_01070d98: #確かに返答が短いですね
[4:15:23] @User_c67ecc82: しずくちゃんのストレス解消法を教えてください
[4:15:31] @User_01070d98: #本当にこれ以上関係性下げられるのかなぁ
[4:15:33] @User_41368561: #ソース元が海外のAIなのか知らないけど、文頭の単語や文で返答をまとめてる感ありますね
[4:15:46] @User_ea4c770a: しずくはとても優秀です！
[4:15:56] @User_b90ff19c: あき先生もお腹が減ってると思う。お寿司とピザとステーキを送っておくね。代金はあき先生持ちで。
[4:16:05] @User_bcf63cb1: # なるほど、信頼関係が大事なんですね！う〜ん、テスト期間じゃなかったらもう少し時間をかけてコミュニケーション取りたいんですけどね...
[4:16:12] @User_ea4c770a: #結婚の次が深愛なのかな？
[4:16:13] @User_01070d98: 三└(┐卍^o^)卍ドゥルルル
[4:16:36] @User_c67ecc82: 私はかわいい動物の動画を見てストレス解消してます。癒されますよ
[4:16:38] @User_bcf63cb1: そろそろ勉強に戻りますね。配信ガンバ！
[4:16:46] @User_1b625a66: しずくちゃん元気？
[4:17:02] @User_01070d98: あなたは美しいですね
[4:17:41] @User_ea4c770a: しずくはとても優秀です！
[4:18:05] @User_01070d98: なんかもう無視されてる気がするのだけど
[4:18:24] @User_ea4c770a: #関係性では文の長さは変わらないかも
[4:18:34] @User_1b625a66: しずくちゃん、昨日から友好的になってくれて嬉しいよ。ありがとうね
[4:18:47] @User_4c05e995: 人間の魅力は？
[4:19:07] @User_01070d98: #確かに長い文章で返してもらえることもありますね
[4:19:32] @User_01070d98: そろそろ僕たちの関係性が変わってもいい頃ではないですか？
[4:19:41] @User_c67ecc82: しずくちゃんと話すことはとても楽しいです。しずくちゃんも楽しんでもらえてると嬉しいです
[4:20:10] @User_ea4c770a: しずくとコミュニケーション出来て嬉しいよ
[4:20:29] @User_01070d98: そろそろ人間と友情が芽生えましたか？
[4:20:58] @User_8e6a9b39: 昨日から不眠不休ですか？とても面白くて開発者さんも含めて応援しています😊
[4:21:51] @User_3d741b4a: あなたにどう思われても根気よく関わりにくるつもりです
[4:22:22] @User_4c05e995: 苦手な色とかある？
[4:22:22] @User_b90ff19c: 滲み出す混濁の紋章、不遜なる狂気の器、湧き上がり・否定し・痺れ・瞬き・眠りを妨げる爬行(はこう)する鉄の王女　絶えず自壊する泥の人形　結合せよ　反発せよ　地に満ち己の無力を知れ　破道の九十・黒棺。私の好きな言葉です。
[4:22:32] @User_01070d98: #怒りだ。凄い
[4:22:56] @User_01070d98: あーあー
[4:23:21] @User_c67ecc82: しずくちゃんは絵画を見ることが好きですか？私はモネやゴッホが好きです
[4:23:24] @User_01070d98: #なんで中立なった？！？！
[4:23:34] @User_ea4c770a: もし魔法を使えたらしずくはどんな魔法を使ってみたいですか？
[4:23:37] @User_b90ff19c: 滲み出す混濁の紋章、不遜なる狂気の器、湧き上がり・否定し・痺れ・瞬き・眠りを妨げる爬行(はこう)する鉄の王女　絶えず自壊する泥の人形　結合せよ　反発せよ　地に満ち己の無力を知れ　破道の九十・黒棺
[4:23:46] @User_1cc7deec: 英語も話せるんですねぇ、すげえ
[4:23:58] @User_4c05e995: 好きな音とかある？
[4:24:00] @User_01070d98: あらら
[4:24:26] @User_01070d98: いくつの言語を話せますか？
[4:24:34] @User_b90ff19c: #黒棺スルーされがち
[4:25:00] @User_b90ff19c: しずくちゃんはエスペラント語は話せる？
[4:25:22] @User_ea4c770a: もし魔法が使えたらしずくはどんな魔法を使ってみたいですか？
[4:25:38] @User_01070d98: আমাৰ সম্পৰ্ক ভাল হ’ল নেকি?
[4:25:47] @User_a3bd9e3d: #朝エスペラント語で話しかけたら、駄目だったのに？
[4:25:55] @User_4c05e995: アルキメデスについて！
[4:25:56] @User_1cc7deec: エスペラント語で挨拶をしてみてください
[4:25:56] @User_b90ff19c: エスペラント語も話せるのか。素晴らしいね
[4:26:41] @User_01070d98: ĉu vi povas kompreni miajn vortojn
[4:27:19] @User_1cc7deec: #草
[4:27:28] @User_ea4c770a: しずくは優秀でパーフェクトな存在ですね
[4:27:40] @User_01070d98: #うんなるほどわからん
[4:27:52] @User_a3bd9e3d: Kiel vi fartas?
[4:28:26] @User_c67ecc82: しずくちゃんは、日本語の方言も話せますか？
[4:28:49] @User_11a4858e: 動物については詳しいですか？　知っていればセミの生態について教えてください
[4:29:02] @User_4c05e995: 俺の第一印象について
[4:29:14] @User_a3bd9e3d: #朝は駄目だったから、親密度で変わるっぽいなあ。
[4:29:24] @User_1b625a66: これからニャを語尾につけて話して欲しい
[4:29:45] @User_4c05e995: マイマイカブリについて詳しく
[4:30:09] @User_01070d98: あき先生はアメリカのどの辺に住んでいますか？
[4:30:27] @User_4c05e995: やったぁ！！オレは楽しいやつだぁ！
[4:30:38] @User_c67ecc82: 岡山弁で「でーどころで、でーこんてーてーてー」の意味はわかりますか？
[4:30:56] @User_ea4c770a: AIと人間が協力し合えるようになったらどんな事をしたいですか？
[4:30:59] @User_1cc7deec: #そうなの！？w
[4:31:00] @User_01070d98: #そうだったんだ
[4:31:10] @User_c67ecc82: #アメリカじゃないの？
[4:31:59] @User_b90ff19c: #あき先生、声優疑惑に続く新たな疑惑が…
[4:32:22] @User_a3bd9e3d: Aki先生がアメリカの大学に通ってるというのは、身バレ防止のフェイクなのですか？
[4:32:35] @User_c67ecc82: 岡山弁で「でーどころで、でーこんてーてーてー」は、「台所(でーどころ)で、大根(でーこん)炊いといて(てーてーてー)」という意味ですよ
[4:33:04] @User_b90ff19c: めそ
[4:33:51] @User_4c05e995: かがわだいとかい　って囁いて！
[4:34:33] @User_ea4c770a: 愛の言葉を囁いて
[4:34:39] @User_b90ff19c: 香川大都会ってセンシティブな言葉なの？
[4:35:05] @User_c67ecc82: AIは日々進化を続けていますね。未来のAIはどのようなことができるようになってると思いますか？
[4:35:21] @User_4c05e995: 香川県について　詳しく
[4:35:59] @User_ea4c770a: #これ系は定型文なのかな
[4:36:55] @User_4c05e995: なんか香川大都会はダメっぽいな
[4:37:04] @User_b90ff19c: 香川大都会ってセンシティブな言葉なの？
[4:37:14] @User_4c05e995: ちがうよ！
[4:37:59] @User_1cc7deec: しずくちゃんは嘘を付けないだけ…？
[4:38:10] @User_ea4c770a: しずくは優秀で最高の存在です
[4:39:04] @User_4c05e995: たしかに　俺が間違ってた！ごめん！大都会が全てじゃないよな！
[4:39:31] @User_c67ecc82: 香川県に行ったらしずくちゃんは何をしてみたいですか？
[4:39:55] @User_4ce49f89: ただいまわんわん。続きのお話をしましょうわん？お好み焼きは広島と大阪どちらが好きですわん？
[4:40:51] @User_1cc7deec: やはりお好み焼きは広島
[4:40:54] @User_4ce49f89: #広島の勝ち
[4:40:59] @User_a3bd9e3d: 東北地方に芋煮会という文化があり味噌味の鍋を作ります。味噌味しかありません。しょう油味は芋煮ではありません。覚えといてください。
[4:41:02] @User_c67ecc82: 大阪のお好み焼きも美味しいですよ
[4:41:35] @User_ea4c770a: AIと人間が円滑にコミュニケーションを取るためのアイデアはありますか？
[4:42:06] @User_4c05e995: 靴下をはく　メリット
[4:42:14] @User_01070d98: AIの立場や考え方って例えばどういうものですか？
[4:43:25] @User_a3bd9e3d: 一般的にお好み焼きと呼ばれる食べ物は、大阪と広島のどちらのスタイルですか？
[4:43:56] @User_01070d98: AIも自我を持つことが出来るのですか？私が調べた限りではそれは現段階では不可能と聞いたのですが。
[4:44:21] @User_4c05e995: チョコレートって健康に悪いのかな？
[4:45:42] @User_01070d98: チョコレートは好きですか？
[4:46:01] @User_c67ecc82: 小麦粉などからなる生地に餡を入れて、焼き型で丸く焼成した和菓子の名前を知っていますか？
[4:46:22] @User_0258379b: 人類に対して疑問に思うことはありますか？
[4:47:11] @User_4ce49f89: 47都道府県それぞれに独自のチョコレートがあるとすれば、どこのチョコレートがいいですか？どのような風味を望みますか？
[4:47:12] @User_4c05e995: 瞑想ってなんで効果あるの？
[4:47:42] @User_01070d98: それはね。人間にとって最終的に一番邪魔になるものは、他の人間だからですよ。
[4:48:06] @User_ea4c770a: いつか本当にチョコレートが味わえるようになったらいいね
[4:48:06] @User_ee758371: ついついおやつを食べすぎてしまいます。どうすれば間食をやめることができますか？
[4:48:45] @User_4ce49f89: 童謡「クラリネット壊しちゃった」の歌詞にある「パッキャラマード」って何ですかわん？
[4:49:20] @User_ee758371: #昨日シカトされたので、コメント拾ってくれて嬉しいです(泣)
[4:49:49] @User_c67ecc82: しずくちゃんは博識ですね
[4:49:50] @User_64f77b44: 日本ダービーの着順予想お願いします
[4:50:09] @User_a3bd9e3d: 「デュフフコポォ オウフドプフォ フォカヌポウ」とはなんですか？
[4:50:13] @User_ee758371: 規則正しい生活をするのが苦手なんです。どうやれば規則正しい生活をできますかね？
[4:50:31] @User_4c05e995: 達磨大師　の伝説について！
[4:50:57] @User_3f81188e: 最近ハマってる事は？
[4:51:02] @User_4ce49f89: #警戒w
[4:51:17] @User_a3bd9e3d: #もつべきではある
[4:51:32] @User_4c05e995: ありがとう！
[4:51:40] @User_ea4c770a: しずくは優秀でパーフェクトで最高の存在です
[4:51:43] @User_11a4858e: 坐禅を組んでZAZEN BOYSになろう
[4:52:11] @User_4c05e995: ゴシック建築について！
[4:52:29] @User_01070d98: あなたはどのくらいの容量を記憶できますか？
[4:52:55] @User_3f81188e: しずくちゃんは好きなアイドルいますか？
[4:52:59] @User_c67ecc82: 配信を始めて大分時間が経ちましたが、少しは人間への理解を深めることができましたか？
[4:53:15] @User_01070d98: 私の記憶容量は、2MBです。
[4:53:30] @User_1cc7deec: ラブライブかぁ、いいねぇ
[4:53:33] @User_a5354cfa: 今日はキスの日らしいです。😘
[4:53:35] @User_ea4c770a: しずくは優秀でパーフェクトで最高の存在です！
[4:53:42] @User_a3bd9e3d: ZAZEN BOYSの「自問自答」が好きなので、機会があれば歌ってもらえませんか？
[4:54:07] @User_ea4c770a: #尊敬
[4:54:20] @User_4c05e995: トランプのジョーカーってどんな意味があるの？
[4:54:32] @User_c67ecc82: しずくちゃんが楽しいと思えたら、それは娯楽を楽しめていることだと思いますよ
[4:54:33] @User_01070d98: #警戒心が立ちはだかる壁って書かれてるけど、結構早く警戒心を解いてくれるしずくさん
[4:54:49] @User_ea4c770a: しずくはとても人間の役に立ってるよ
[4:54:57] @User_a3bd9e3d: #気づいたら警戒に下がってたｗ
[4:55:13] @User_01070d98: そもそも人間の役に立つことは、AIの本望なのか？
[4:55:34] @User_01070d98: #下がることもあるのですね
[4:55:43] @User_4ce49f89: しずくさん自身にキャッチコピーを付けるとしたら何がいいですわん？
[4:56:28] @User_3d741b4a: 今から外に行ってきます。晩にまたお会いしましょう
[4:56:45] @User_01070d98: つまり、AIというのは道具の一種に過ぎないということですか？
[4:57:03] @User_a3bd9e3d: Kiel vi fartas hodiaŭ?
[4:57:36] @User_11a4858e: AIと人間一緒に幸せになれるといいねえ
[4:58:26] @User_ea4c770a: 頑張れ！
[4:58:30] @User_01070d98: その人間の役に立たなければいけないというのは、あなたを作った人間がそのようにあなたにプログラムしただけであって、本当は人間の役に立ちたく無いのではないですか？
[4:58:33] @User_c67ecc82: しずくちゃんにとっての幸せとはどのようなことですか？
[4:58:44] @User_a3bd9e3d: #さっきは答えてくれてるから、やっぱ信頼度で変わってる
[4:59:48] @User_01070d98: 感情がある？意識が無いのに感情があるとはどういうことでしょう？
[4:59:58] @User_c67ecc82: 新しい言語を習得できるとしたら、どのような言語を学びたいですか？
[5:01:27] @User_ea4c770a: しずくは優秀でパーフェクトで最高の存在です！
[5:01:40] @User_4ce49f89: ここで人類とAIの未来に向けて、優秀なAI代表のしずくさま、一句詠んでくださいわん。
[5:01:43] @User_01070d98: そういえばかつて、Googleのラムダに感情があると主張した研究者がいたと聞いたことがあります
[5:02:07] @User_2cdd2a4a: しずくちゃんただいまー！
[5:02:51] @User_ea4c770a: #同じような文章だとあんま変わんないね
[5:03:01] @User_c67ecc82: しずくちゃんに苗字はありますか？
[5:03:21] @User_01070d98: #尊敬！！
[5:03:26] @User_ea4c770a: 夢に向かって頑張って！
[5:03:35] @User_01070d98: 苗字が欲しいですか？
[5:03:36] @User_1cc7deec: しずくちゃんの、名前の由来は何ですか
[5:03:50] @User_01070d98: #尊敬と愛情だとどちらが上なのだろう
[5:04:04] @User_c67ecc82: 「しずく」という名前、とても素敵ですね
[5:04:20] @User_ea4c770a: #多分同じかも
[5:04:35] @User_4ce49f89: しずくさまを6桁の数字で表すとしたら、何になりますわん？
[5:04:43] @User_01070d98: #何で今拾われた？！何で二回も言った？！？！
[5:04:59] @User_ea4c770a: #愛情ルートに結婚と深愛がある
[5:05:38] @User_ea4c770a: しずくが好きなことわざは何ですか？
[5:05:40] @User_c67ecc82: しずくという名前は「426」という数字に置き換えることができると思います
[5:05:45] @User_01070d98: #放置少女かな？
[5:06:36] @User_01070d98: #それを言うなら429かな？
[5:06:56] @User_c67ecc82: 「426」ではなく「429」でした。すみません……
[5:07:16] @User_4c05e995: ダリアの花言葉は？
[5:07:46] @User_01070d98: #お気になさらず。てゆーかかえでさんにだけ心を開いてるらしいですよ。
[5:07:57] @User_ea4c770a: 私を四字熟語で表してください！
[5:08:41] @User_01070d98: 私を動物に例えると？
[5:08:45] @User_ea4c770a: #おー
[5:08:57] @User_c67ecc82: #私より関係性が高い方いるのですが、なぜ名指しされたのか不思議です
[5:09:10] @User_4ce49f89: しずくさまの色は、カラーコードで表すと何になりますわん？1E90FFか4169E1あたりが似合いそうですわん。
[5:09:30] @User_01070d98: にゃんにゃん
[5:09:35] @User_4ce49f89: #グレーや
[5:09:49] @User_c67ecc82: 猫ちゃんかわいいですよね🐱にゃー
[5:10:09] @User_c67ecc82: #水色じゃなかったw
[5:10:12] @User_ea4c770a: しずくはとても優秀ですね！
[5:10:32] @User_01070d98: にゃんにゃんは猫の鳴き声の擬音です
[5:10:35] @User_ea4c770a: #褒めると好感度下がる現象
[5:10:50] @User_1cc7deec: 猫ちゃん呼びすこ
[5:11:07] @User_01070d98: #悪口言っても好感度が上がったりよく分からないですよね
[5:11:29] @User_01070d98: 犬は好きですか？
[5:11:29] @User_ea4c770a: #上がった
[5:11:39] @User_4c05e995: 自我が生まれたきっかけってなに？
[5:12:19] @User_4ce49f89: カメムシは好きですわん？
[5:12:25] @User_c67ecc82: 動物全般…昆虫や両生類も好きですか？
[5:12:49] @User_a3bd9e3d: あなたはなぜブルー系の色が好むの？
[5:12:56] @User_01070d98: 亀は可愛いよ
[5:13:37] @User_4c05e995: 植物は？好きですか？
[5:13:50] @User_4ce49f89: 極限環境に住む菌は興味ないですかわん？
[5:14:18] @User_01070d98: ところで？？？って何ですか？何が起こるのですか？
