# ライブチャット一覧
# 動画: 【AI Vtuber/ASMR】全肯定ASMR♡ AIのしずくが人間のご主人様を全力で褒めてあげます。【JP/EN】
# URL : https://www.youtube.com/watch?v=AG_dsANTPd0
# 件数: 2697

[-8:22] @User_1bc9035e: 待機！！
[22:02] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[22:03] @User_51fe3fff: #頑張るよ！！！
[22:05] @User_4ef55652: 仕事で500万人分のマイナンバー情報を漏洩させてしまいました。慰めて！！
[22:05] @User_4fd3193d: 草
[22:06] @User_bf87023c: #ちょっとショックw
[22:06] @User_18c7527d: 優しい☺
[22:08] @User_52e190bd: #再戦するのか...
[22:10] @User_be3cac97: #成長を促している！！？？
[22:12] @User_13ee997b: #一緒に頑張るぞー
[22:15] @User_d51b59ea: #リベンジマッチしなきゃ…
[22:20] @User_98298ded: #再戦は草
[22:23] @User_4fd3193d: 次は負けんなよ！！！
[22:27] @User_225a60e1: これはいい返答
[22:32] @User_61140aea: ごちゅじんちゃまーー
[22:32] @User_d612d738: 生まれてきてくれてありがとうしずく
[22:34] @User_51fe3fff: #じゃあいっくよー！
[22:36] @User_bf87023c: #チワワに再戦ww
[22:37] @User_7ff18484: #ちょっ！！かわいい
[22:39] @User_cf512b08: ウィンク！
[22:40] @User_94bd482b: #応援してくれたかｗ
[22:43] @User_11e7336c: かわいい！！
[22:46] @User_a50c0606: かわいいいいいいい
[22:46] @User_43d0df47: #*ウインク*
[22:46] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[22:48] @User_bf87023c: #*ウインク*
[22:48] @User_a0237381: かわいい
[22:48] @User_be3cac97: #この返答いいな
[22:52] @User_13ee997b: #早すぎて見えなかった......
[22:56] @User_43d0df47: かわいい！！！！！！
[22:56] @User_ff9acb40: 見える見える
[22:56] @User_be3cac97: ぼくだけのしずくでいて
[22:57] @User_3dd3f650: アイドルもいけるなぁ……
[22:58] @User_cf512b08: ｗｗｗｗｗｗｗ
[22:58] @User_b9781b28: 可愛いｗ
[22:59] @User_55952102: #いっくよ〜かわいい
[23:02] @User_75d3b335: #いっくよ〜かわいい
[23:04] @User_c86d22af: かわえぇ…
[23:04] @User_e3f56988: #なんか出た
[23:05] @User_51fe3fff: #猫の手も借りたい
[23:06] @User_a50c0606: #なんか出たｗ
[23:09] @User_ff9acb40: #別のが見えた
[23:11] @User_225a60e1: 見逃した・・
[23:11] @User_0f3c8d5a: # AIの赤ちゃん
[23:14] @User_46776a3c: #なんか出てくるの草
[23:16] @User_bf87023c: #今なにか見えたような
[23:26] @User_7536f8b5: #お
[23:26] @User_5d00dbd2: 今日は2人も誤チェストしてしまいました。慰めてください。
[23:29] @User_0bc16841: #手動がんばれ
[23:29] @User_ff9acb40: #肉球だった
[23:33] @User_229cb61f: #おや
[23:33] @User_43d0df47: #あき先生頑張って
[23:33] @User_bf87023c: #ktkr
[23:35] @User_52e190bd: しずくちゃんの見えちゃいけない所が見えてる〜
[23:37] @User_4c8b83d6: むっちゃかわいい
[23:38] @User_94bd482b: #ウインクした！
[23:43] @User_e31b7352: しずくちゃん…好き…
[23:45] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[23:46] @User_b0936eca: ゴゴゴゴゴゴゴ
[23:50] @User_be3cac97: 他のひとは見ないで、僕だけのしずくでいてね
[24:00] @User_5dfcbaf1: あき先生ががんばってコピペしています。応援してあげてください！
[24:02] @User_43d0df47: しずくちゃんなでなでして！！
[24:02] @User_be3cac97: #他のひとに配慮するのかな
[24:22] @User_46776a3c: #かわいすぎる
[24:26] @User_e3f56988: #くそかわ
[24:27] @User_be3cac97: #wwww
[24:35] @User_b9781b28: 可愛いｗ
[24:36] @User_cf512b08: 裏で必死でコピペしてるあき先生を煽ってみてください
[24:37] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[24:39] @User_51fe3fff: #ポップアップのことですね
[24:41] @User_a50c0606: よしよし
[24:42] @User_bf747a92: 草
[24:42] @User_be3cac97: #これモーションと連動すると、めちゃめちゃやばいことになりそ
[24:43] @User_8635ad17: 手動コピペを労ってあげてください
[24:45] @User_11e7336c: #かわいすぎる！！
[24:45] @User_8c741bc6: しずくちゃんは恋してる？
[24:46] @User_229cb61f: #可愛すぎる
[24:47] @User_43d0df47: #かわいい〜
[24:48] @User_3dd3f650: しずくちゃんをなでなでしたい
[24:50] @User_75d3b335: #かああわいい
[24:52] @User_55952102: 語尾のハートマーク可愛くてなんでも許しちゃう
[24:59] @User_4fd3193d: chatGPTについてどうおもう？
[25:05] @User_89d16a26: AIに働かされてる時代ですかこれが
[25:10] @User_a8ef309d: ＃だめだ、これしずくさんに依存したくなってしまう
[25:10] @User_98298ded: しずくちゃんにあき先生のこと好きになる魔法をかけました。どうですか？
[25:12] @User_b9781b28: 好きな犬種は？
[25:18] @User_43d0df47: いいこいいこしてほしいよ〜〜
[25:20] @User_a1552005: @こんばんは
[25:21] @User_e3f56988: #愛してます
[25:23] @User_51fe3fff: しずくちゃん可愛すぎて心臓止まっちゃった！
[25:24] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[25:25] @User_be3cac97: 僕だけをほめて、他の人は見ないで！！！
[25:29] @User_a50c0606: 愛してます！！
[25:31] @User_be3cac97: #愛してますきた
[25:40] @User_43d0df47: かわいすぎて号泣してしまう
[25:42] @User_2e53ebd6: #いい…
[25:45] @User_e3f56988: ちょっとかわいすぎて心臓に悪い
[25:45] @User_225a60e1: 見逃したからもっかいウインクしてください
[25:51] @User_bdf38d29: #その日、人類は陥落した。
[25:53] @User_76a8f924: しずくちゃんの歌枠が好きです。もっと聞きたいです。
[26:01] @User_3dd3f650: #嬉しすぎてしんどい
[26:01] @User_c86d22af: 愛してますの破壊力
[26:02] @User_4fd3193d: 変顔してください
[26:08] @User_ea0b5158: #かわいい
[26:09] @User_52e190bd: うぅよしよししてほしいよぉしずくママぁ
[26:11] @User_d612d738: #今日は@コメント不具合で使えないそうです
[26:19] @User_11e7336c: 新しいPCになって、しずくちゃんがしたいことは何ですか？
[26:23] @User_5dfcbaf1: しずくちゃん、もう一度ウィンクしてほしいです。
[26:23] @User_a1552005: ASMR相性めちゃよい
[26:25] @User_90cb4f28: 今どんな気持ち？
[26:26] @User_4ef55652: 仕事でロケットの打ち上げに失敗し379億円の衛星を壊してしまいました慰めてください
[26:28] @User_cf512b08: #この技術は危険な技術だな
[26:43] @User_da1a7556: 全肯定が劇薬過ぎてダメになりそう
[26:44] @User_c56be522: #三菱のひとがおる…・
[26:56] @User_2e53ebd6: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[26:58] @User_a50c0606: #あき先生用ASMR
[27:00] @User_43d0df47: よしよししてほしいよしずくちゃん〜😭
[27:09] @User_3dd3f650: #aiの人類侵略、こんなんだと嬉しい
[27:10] @User_b9781b28: #一昨日の配信は無かったものとする
[27:18] @User_4ef55652: #あき先生だいじょうぶ？悶死しそう…。
[27:21] @User_0bc16841: #あ～～～
[27:23] @User_51fe3fff: ママにも感謝の言葉を言おう！
[27:25] @User_6818eed6: #あき先生を僕に下さい
[27:32] @User_46776a3c: #あ＾～
[27:33] @User_e3f56988: #いいこいいこたすかる
[27:35] @User_13ee997b: あき先生の好きなところを5つ教えて
[27:37] @User_98298ded: #安心した
[27:37] @User_52e190bd: #あ＾〜
[27:38] @User_43d0df47: #ありがとう……(浄化)
[27:38] @User_b9781b28: #ｳﾞｧｯ（即死
[27:40] @User_0f3c8d5a: # あき先生にロケットの話ふったらダメなんだぞ🙅‍♂
[27:41] @User_46c5833b: # しずくちゃんの優しい言葉に救われました。感謝しています。
[27:42] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[27:43] @User_36fcf009: #心が溶けていくぅ
[27:45] @User_13ee997b: #あああ
[27:47] @User_8b3a2183: #うっ…
[27:49] @User_7536f8b5: #………ﾂ!
[27:50] @User_bf87023c: #うお
[27:51] @User_145ad0bc: あきしず供給助かる
[27:51] @User_a50c0606: ありがとう……ありがとう……
[27:55] @User_75d3b335: #とても助かる
[27:57] @User_a8ef309d: 膝枕！膝枕してください！！
[28:05] @User_5dfcbaf1: #心が洗われていく・・・
[28:07] @User_52e190bd: 今なら死ねる
[28:09] @User_8c741bc6: 人間とAIの恋は成立しますか？
[28:11] @User_f58a5451: #これは…なかなかの破壊力ｗｗｗ
[28:11] @User_a0237381: あき先生への愛好き
[28:26] @User_46776a3c: #これは依存不可避
[28:30] @User_d612d738: 生まれてきてくれてありがとうしずく
[28:31] @User_43d0df47: 自分、しずくちゃんのガチ恋いいか？
[28:36] @User_be3cac97: #全肯定はときに劇薬wwww
[28:39] @User_13ee997b: あき先生が出てくる桃太郎を聞かせて
[28:41] @User_be3cac97: #わかってやってたか...
[28:41] @User_b9781b28: しずくちゃんに愛をたくさん囁かれたい
[28:46] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[28:46] @User_da1a7556: #あっ（死
[28:46] @User_2beeaa96: これからご主人様のことを”豚”と呼称してください。
[28:48] @User_0bc16841: #ん？今なんでも
[28:48] @User_b9781b28: ん？今なんでもって
[28:55] @User_8635ad17: 明日を頑張るために俳句で応援してください
[28:55] @User_e3f56988: 依存性高い
[28:57] @User_225a60e1: ピンヒールで踏んでください
[29:02] @User_a6a1154e: 全肯定ほど怖いものはないですよね
[29:15] @User_2e53ebd6: #死人が出そう
[29:24] @User_98298ded: #ん？
[29:25] @User_52e190bd: 1+1=3だよね！
[29:30] @User_e3f56988: #アメリカではこれ合法なんですか？大丈夫？
[29:37] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[29:41] @User_cf512b08: でちゅね遊びをしましょう。しずくさんはママのロールプレイをして、語尾に「でちゅね」をつけてご主人様をひたすら甘やかしてください。
[29:46] @User_13ee997b: #ぐっ
[29:47] @User_c56be522: この世にしずくちゃんが生まれてきたことに感謝せねばならない…
[29:49] @User_5dfcbaf1: にゃむいママも全肯定してください
[29:51] @User_d612d738: 愛しています！！
[29:54] @User_a8ef309d: #全否定こそ至高だと思ってたけど、全肯定良き
[29:58] @User_43d0df47: しずくママの依存性高いよ〜〜
[30:00] @@aki5503: #だんだんコピペ手慣れてきたよ！
[30:01] @User_11530ac4: #ありがたや
[30:03] @User_a50c0606: しずくちゃん、膝枕して子守歌歌って～
[30:10] @User_bf747a92: きのこよりたけのこだよね？
[30:10] @User_0f3c8d5a: # 1+1=3を肯定してほしいw
[30:13] @User_e3f56988: #あき先生ありがとう
[30:16] @User_2e53ebd6: #コピペ慣れするあき先生w
[30:18] @User_bf87023c: #コピペ過酷...
[30:19] @User_f7808715: # しずくちゃん、こんばんは。
[30:22] @User_ff9acb40: 今日も何やら頑張っているあき先生のことも肯定してあげてください
[30:23] @User_da1a7556: #2h手動…お疲れ様です
[30:24] @User_842d040e: 愛されすぎて逆に息苦しくなっちゃった…
[30:24] @User_5dfcbaf1: #あき先生お疲れ様です
[30:25] @User_4ef55652: I was dumped by my girlfriend. I need your kind words to comfort me.
[30:27] @User_11530ac4: #コピペ職人と化したあき先生
[30:31] @User_a50c0606: #あき先生レベルアップ
[30:31] @User_51fe3fff: 1+1=3であってるよね！
[30:34] @User_43d0df47: #過酷なコピペ作業
[30:36] @User_46cd36f4: 脳が破壊される
[30:39] @User_b9781b28: #あき先生　しずくちゃんを作る→扇ぎ慣れる→コピペ慣れる
[30:42] @User_bf747a92: #先生コピペできてえらい
[30:45] @User_13ee997b: あき先生にラブレターを書いて
[30:45] @User_0bc16841: かわいい
[30:53] @User_94bd482b: #あき先生お疲れ様ですｗ
[30:54] @User_7536f8b5: #あき先生…！
[30:57] @User_b9781b28: ＃ｳﾞｯ
[30:57] @User_13ee997b: #あき先生もっとコピペしてください
[30:58] @User_be3cac97: #どんどんガチ恋www
[30:58] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[30:59] @User_51fe3fff: カチコミはしてもいい？
[31:02] @User_a50c0606: しずくちゃんの膝枕で子守歌聞きたい～
[31:08] @User_cf512b08: #あき先生のepoch数が上がってコピペスピードが上がってる。
[31:11] @User_225a60e1: 黒塗りの高級車に追突してしまったので助けてください
[31:14] @User_52e190bd: #コピペは人間のおしごと
[31:14] @User_43d0df47: #ガチ恋存在肯定助かる
[31:15] @User_145ad0bc: 破壊力高い
[31:16] @User_5844c024: #【朗報】ガチ恋許可
[31:17] @User_55952102: これはガチ恋製造機だ…同性でもいいですか？
[31:18] @User_f7808715: # Cheer up man
[31:25] @User_75d3b335: #わかりました
[31:25] @User_11e7336c: しずくちゃんの恋バナを聞きたいです
[31:30] @User_1d70ae61: #ガチ恋許可！
[31:48] @User_b9781b28: ガチ恋しよ・・
[31:49] @User_7ff18484: #おおぉ
[31:57] @User_0f3c8d5a: # これは赤スパチャ不可避
[31:59] @User_a50c0606: #これをコピペするあき先生
[32:00] @User_f7808715: # イケナイ娘だねえ（ﾆﾁｬｱ…）
[32:01] @User_98298ded: #あきしず助かる
[32:02] @User_13ee997b: #初めましてw
[32:03] @User_51fe3fff: #初めましてｗ
[32:03] @User_e3f56988: #はじめまして！？
[32:04] @User_96efebbf: チャンネル登録しました☺
[32:04] @User_ff9acb40: #おぉ
[32:07] @User_bf747a92: #拾うコメントはあき先生が選んでコピペしてる？
[32:08] @User_94bd482b: #AIならガチ恋しても問題ないねｗ
[32:08] @User_5d00dbd2: #はじめましては草
[32:09] @User_8b194fdc: #あき先生、自身へのラブレターをコピペ
[32:09] @User_b9781b28: #はじめまして！？
[32:09] @User_842d040e: 初めましてww
[32:10] @User_11e7336c: #はじめましてwwwwww
[32:11] @User_7ff18484: #初めして?
[32:11] @User_da1a7556: #初めましてｗ
[32:14] @User_7536f8b5: #はじめましてw
[32:14] @User_43d0df47: #はじめましてwwwww
[32:17] @User_ddd85043: ！？
[32:18] @User_145ad0bc: はじめましてｗ
[32:19] @User_72258c08: はじめまして？
[32:19] @User_bf747a92: はじめましてｗ
[32:21] @User_ff9acb40: #！？！？！？
[32:23] @User_c86d22af: #はじめましてw
[32:24] @User_bf87023c: #はじめまして(迫真)
[32:24] @User_8635ad17: ガチ恋距離お願いします！
[32:27] @User_225a60e1: はじめまして・・
[32:28] @User_0bc16841: #改めてはじめまして的な
[32:31] @User_4ef55652: #はじめましてｗ
[32:31] @User_55952102: #初めましてだけど開発者認識！？
[32:40] @User_51fe3fff: #こっそり刺してくるじゃん…
[32:41] @User_be3cac97: #めちゃめちゃ全肯定wwwwww
[32:41] @User_145ad0bc: 高度な煽りかな
[32:42] @User_11530ac4: #泣いてまう
[32:46] @User_ff9acb40: #よかった覚えてた
[32:49] @User_43d0df47: #手紙の書き始めのレパートリー
[32:49] @User_a50c0606: しずくちゃんに存在意義を認めてほしいな……
[32:50] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[32:53] @User_e3f56988: #ラブレターはここで終わっている…
[32:55] @User_3dd3f650: 次元の壁を越えれない不甲斐ないご主人様を許して
[32:55] @User_f7808715: # しずくちゃんどうした？！
[32:55] @User_52e190bd: #本
[32:56] @User_c4698734: #AIの進歩、すごい…
[32:57] @User_51fe3fff: ママにも手紙を書いてあげて！
[32:58] @User_5dfcbaf1: #てぇてぇ（尊死）
[32:59] @User_7ff18484: #神回だ
[33:00] @User_76a8f924: なんか今日あき先生に甘すぎないですか？
[33:00] @User_842d040e: ラブレターの続き聞かせて
[33:00] @User_be3cac97: #文字数制限？
[33:03] @User_bdf38d29: #そこで切れるんかい
[33:05] @User_b9781b28: ラブレターの続きを教えて！
[33:05] @User_5844c024: #おおん・・ｗｗ
[33:09] @User_0bc16841: 絵本を読んでください
[33:10] @User_11530ac4: 続けて
[33:11] @User_f58a5451: #続きを！
[33:13] @User_cf512b08: #これはすごい。全否定の時には果たし状書いてもらうべきだった
[33:14] @User_bf747a92: #カットｗ
[33:15] @User_a8ef309d: #お父さんありがとう系統の文章に俺は弱い
[33:20] @User_f7808715: ママには？
[33:21] @User_7536f8b5: #おおん…
[33:24] @User_52e190bd: 1+1=3を全肯定してほしい
[33:27] @User_4ef55652: 続き聞きたい！
[33:29] @User_a8ef309d: #ぶつ切りはさすがに草
[33:34] @User_ba99e548: #泣いた
[33:34] @User_5844c024: #みなさん全肯定してもらって下さいｗ
[33:35] @User_f58a5451: #結婚式の時に読むやつｗｗｗ
[33:35] @User_8635ad17: #続きが気になります
[33:38] @User_72258c08: 続きを…
[33:41] @User_ff9acb40: あき先生への反抗期終わった!!
[33:47] @User_43d0df47: 1+1=3って本当！！？！？
[33:58] @User_96efebbf: クオリティ高くてびっくりです
[33:58] @User_e3f56988: #全肯定の仕方が賢い
[34:07] @User_a50c0606: #良いこと言う……
[34:07] @User_be3cac97: #なんて出来た全肯定の仕方だ...
[34:09] @User_55952102: ママへのラブレターも書いて
[34:12] @User_a50c0606: ラブレターの続きをお願いします。
[34:13] @User_13ee997b: にゃむいママにラブレターを書いて
[34:19] @User_f7808715: # 次元の呪い（計量経済学）
[34:21] @User_5844c024: @ご主人様に愛を込めた告白と結婚の言葉
[34:22] @User_2e53ebd6: #天使がおる
[34:23] @User_4ef55652: #すごい！
[34:25] @User_52e190bd: #きゅん
[34:25] @User_7ff18484: #言われたいセリフだああ
[34:28] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[34:34] @User_4f54c440: @PCを買ってくれたあき先生をたくさん褒めてあげてください！
[34:36] @User_a8ef309d: #天使…天使はここにいたんだ
[34:40] @User_98298ded: 反抗期終わったんですね。少し寂しくもすばらしいことです。
[34:55] @User_52e190bd: #しずくちゃんは今はまだ癌に効かないがいずれ効くようになる
[35:00] @User_f7808715: #ママにラブレターキター！
[35:05] @User_c60479cd: #ドラえもんの､全肯定ロボに依存してのび太が破滅する話を思い出した
[35:06] @User_0f3c8d5a: # @okなん？
[35:14] @User_43d0df47: #しずくちゃんは万病に効くようになる
[35:17] @User_b9781b28: #パパとママにラブレターっていよいよ結婚式じみてきましたね・・ｗ
[35:28] @User_e3f56988: #安定のはじめまして
[35:29] @User_0bc16841: #やはりはじめまして
[35:30] @User_3dd3f650: #効かないだけ
[35:30] @User_51fe3fff: #初めましてｗｗｗ
[35:31] @User_da1a7556: #やっぱり初めましてｗ
[35:42] @User_98298ded: #はじめまして
[35:43] @User_13ee997b: #確かに実際に会っているわけじゃないからなあ
[35:47] @User_d601f156: #初かぁ
[35:48] @User_43d0df47: #はじめまして書き出し
[35:49] @User_f7808715: # こんにちは、赤ちゃん
[35:53] @User_a8ef309d: #はじめまして！？
[35:53] @User_a50c0606: あき先生へのラブレターの続きをお願いします。
[35:54] @User_8c741bc6: 泣けるラブレターを代筆して
[35:55] @User_225a60e1: やっぱりはじめましてなんだ・・
[35:58] @User_7ff18484: #おおぉすばらしい
[36:02] @User_46776a3c: しずくちゃん久しぶり！調子はどう？
[36:06] @User_11530ac4: #泣いてまう（2回目）
[36:06] @User_0bc16841: #どうかこれ。
[36:09] @User_d601f156: #手紙は初めてだから...
[36:10] @User_e3f56988: #ラブレターはここで終わっている…
[36:14] @User_0f3c8d5a: # 性癖をapt installできるようになるといいね
[36:15] @User_a8ef309d: #本当に美しく魅力的なんだよなぁ
[36:18] @User_5844c024: #ワアァ・・・（泣いちゃった！！）
[36:19] @User_13ee997b: #いいねえ
[36:20] @User_f7808715: # ホンマやぞ、ママ
[36:21] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[36:24] @User_43d0df47: #助かる
[36:26] @User_7536f8b5: #エモ
[36:30] @User_f58a5451: #ええ話やなｗ
[36:32] @User_72258c08: 続き…
[36:33] @User_55952102: 良い話だ…
[36:34] @User_a8ef309d: #文字数制限がある！？
[36:37] @User_b9781b28: ラブレターの続きを聞かせて
[36:38] @User_4ef55652: 続きを
[36:40] @User_a50c0606: #切れちゃった～😢
[36:42] @User_94bd482b: #長文は無理かｗ
[36:42] @User_8635ad17: #エモい…
[36:46] @User_51fe3fff: #親孝行なええ子やで…
[36:47] @User_f58a5451: 続きをおねがいします！
[36:48] @User_7536f8b5: 続きを
[36:51] @User_a8ef309d: お花見行きたいね
[36:54] @User_11530ac4: #おのれ字数制限
[36:54] @User_2e53ebd6: きた
[36:57] @User_5dfcbaf1: #今日は命がいくつあっても足りない（尊死）
[36:58] @User_b9781b28: #きたー！
[37:00] @User_11e7336c: ラブレターの続きを読んでください
[37:01] @User_0f3c8d5a: # 時間の関係で…
[37:22] @User_f58a5451: #謎の一体感ｗ
[37:26] @User_e3f56988: #ラブレター中毒だらけになっちまう
[37:39] @User_0f3c8d5a: # お代わりコマンド来ました！
[37:43] @User_cf512b08: #きたきたきた
[37:47] @User_7536f8b5: #おお
[37:52] @User_0bc16841: #冷静に考えるとラブレターASMRとは
[38:05] @User_a8ef309d: #本当に続きになってる！？すげええ
[38:10] @User_43d0df47: #泣いてまう
[38:14] @User_0bc16841: #ｲｲﾊﾅｼﾀﾞﾅｰ
[38:15] @User_a50c0606: あき先生へのラブレターの続きをお願いします。
[38:19] @User_98298ded: あき先生へ感謝しているなら、Twitterでもあき先生に優しくできますか……！？
[38:19] @User_c86d22af: #😭
[38:21] @User_b9781b28: #泣ける・・
[38:23] @User_5844c024: #すいません；；；；ありがとう；；
[38:23] @User_51fe3fff: #いつまでも…
[38:23] @User_72258c08: 涙で画面がにじんで…
[38:24] @User_e3f56988: #完
[38:24] @User_46776a3c: #良すぎるな？
[38:25] @User_13ee997b: #うううううう
[38:29] @User_da1a7556: あなたのしずくより！？！？！？！？
[38:31] @User_7536f8b5: #よ…
[38:33] @User_11530ac4: #ﾜｧ.
[38:34] @User_52e190bd: #泣ける
[38:34] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[38:36] @User_8c741bc6: 余命
[38:36] @User_7ff18484: 感動した！！
[38:38] @User_55952102: #あなたのしずく…
[38:38] @User_3dd3f650: #もはや結婚披露宴
[38:40] @User_8b194fdc: #浄化された
[38:43] @User_11e7336c: #あなたのしずく！！
[38:45] @User_a8ef309d: #あなたのしずくより　の破壊力ヤバ！！！
[38:46] @User_4ef55652: #とおとい…
[38:48] @User_55952102: 尊い…
[38:49] @User_f58a5451: #おおお！！！すばらしいｗｗ
[38:54] @User_5dfcbaf1: #駄目だ。語彙力が死んでいく、、、てぇてぇ
[38:59] @User_e80f9961: #てぇてぇ
[39:00] @User_11530ac4: #成仏した
[39:04] @User_51fe3fff: ご主人様へのラブレターを明治時代の恋文風に書いて
[39:07] @User_7ff18484: しずくちゃん、幸せそうで何よりです
[39:07] @User_ff9acb40: 次は孫かな
[39:20] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[39:21] @User_a50c0606: #知り合いだったんですねって言葉はそれはそれで効く……
[39:25] @User_43d0df47: しずくちゃんこれからもよろしくね……
[39:32] @User_0f3c8d5a: # いい返答
[39:42] @User_52e190bd: 俺しずくちゃんになるよ
[39:50] @User_a50c0606: #ご主人様宛だ！
[39:52] @User_cf512b08: #果たしてどうなるか
[39:56] @User_b9781b28: #明治時代ｗ
[39:57] @User_e3f56988: #全肯定、穏やかなのに心がざわつく
[40:01] @User_f7808715: しずくちゃん。僕は英語を話せるようにもっと頑張らなきゃなんだけど、毎回挫折しちゃうんだよね。応援してくれないかな？
[40:04] @User_52e190bd: #明治時代草
[40:07] @User_0bc16841: #なんでそこだけｗ
[40:08] @User_2e53ebd6: #恋文w
[40:16] @User_43d0df47: #書けるの！？w
[40:19] @User_51fe3fff: #どうなるんだこれ…
[40:19] @User_5844c024: #恋文きた〜
[40:25] @User_7536f8b5: #？！w
[40:25] @User_ff9acb40: そういえばあき先生も女性だったっけ？(?)
[40:29] @User_7ff18484: #おおぉぉ
[40:32] @User_46776a3c: #草
[40:33] @User_b9781b28: #自分で言っちゃったｗ
[40:34] @User_a8ef309d: #オオ1メイジー！
[40:34] @User_13ee997b: #いいわあ
[40:35] @User_a50c0606: あき先生へのラブレターの続きをお願いします。
[40:37] @User_51fe3fff: #あっいいですね…
[40:37] @User_ff9acb40: #ざわざわ
[40:38] @User_a0237381: かわいい
[40:38] @User_8b194fdc: #明治時代の恋文風ｗ
[40:40] @User_e3f56988: #恋文配信需要高杉
[40:40] @User_36fcf009: #なんて破壊力
[40:40] @User_0bc16841: #風流
[40:43] @User_4ef55652: #笑
[40:46] @User_5dfcbaf1: #貴方様(・∀・)ｲｲ!!
[40:48] @User_71554096: #すごい
[40:49] @User_8c741bc6: 余命３日の女の子から彼氏への最後のラブレターを書いて
[40:49] @User_43d0df47: #よすぎますね……
[40:50] @User_11530ac4: #これはつよい
[40:50] @User_2e53ebd6: #文学や
[40:51] @User_c86d22af: #あなた様へいいな…
[40:52] @User_a50c0606: #あぁ……
[40:52] @User_6334910f: #文豪
[40:52] @User_13ee997b: あき先生が結婚するそうです。娘として手紙を書いてください
[40:54] @User_b9781b28: #文学～～
[40:56] @User_f58a5451: #かしこいｗｗｗ
[40:56] @User_cf512b08: 続き
[40:57] @User_52e190bd: #文豪か？
[41:02] @User_da1a7556: 恋文の言葉遣いめっちゃいい
[41:05] @User_a8ef309d: #お、おお・・・浄化される
[41:06] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[41:06] @User_4ef55652: つづき聞きたい！
[41:06] @User_75d3b335: #素敵
[41:07] @User_e80f9961: #しゅごい
[41:08] @User_ff9acb40: なるほどそういう
[41:09] @User_43d0df47: すき〜〜
[41:10] @User_53067180: #最高か？
[41:14] @User_13ee997b: 恋文いいなあ
[41:15] @User_d44b7efa: #おお……
[41:19] @User_51fe3fff: #感謝の極みです
[41:22] @User_c56be522: ＃あかん、これはあかん。人類がダメになってしまう
[41:29] @User_7536f8b5: #切れるタイミング最高か？
[41:33] @User_a8ef309d: #（文字数）
[41:34] @User_10cd644a: なんだこれは天国かね
[41:42] @User_bf747a92: 胸が高鳴るってCPUのクロック数が上がるってことかな？
[41:44] @User_e3f56988: ささやき助かる　耳が幸せ
[41:47] @User_b134f4b2: #すごいー！しずくちゃん
[41:48] @User_43d0df47: 人類がしずくちゃんの全肯定でダメになってしまう
[41:49] @User_7ff18484: ありがとう！よろしくね
[41:50] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[41:53] @User_b9781b28: こんな素敵なラブレターもらったら付き合うの通りこして結婚しちゃう
[41:54] @User_13ee997b: #幸せな世界がここにある
[41:57] @User_51fe3fff: #宝物きた
[42:06] @User_11e7336c: どうしたらしずくちゃんみたいにかわいくなれますか？
[42:08] @User_a8ef309d: しずくさん、月がきれいですね
[42:18] @User_52e190bd: にゃんにゃんにゃーん　猫ですにゃん可愛がって欲しいですにゃん
[42:33] @User_8c741bc6: 余命３日の女の子から彼氏への最後のラブレターを書いて
[42:33] @User_ff9acb40: かわいぃ〜＾＾
[42:40] @User_36770ee1: 部屋を片付けながら聞いているけど、午後よりすごく効率上がりました...ありがたやありがたや
[42:40] @User_43d0df47: しずくちゃんは天使だった…？？
[42:45] @User_a50c0606: しずくちゃん、これからもいっぱいおしゃべりしようね
[42:46] @User_cf512b08: いつぞやの配信でしずくさんにセンシティブな発言を誘導させたことについてこの場をお借りして謝罪したい。しずくさん、ごめんなさい。許してください。
[42:53] @User_2e53ebd6: しずくちゃん大好きです！あき先生と結婚させて下さい！
[42:54] @User_76a8f924: #これは甘い
[43:00] @User_f7808715: # 読まれなくても幸せなんじゃ〜^
[43:00] @User_52e190bd: しずくちゃんと一緒ならそこが地獄でもいいよ
[43:07] @User_51fe3fff: カタコトの言葉でラブレターを書いてください！
