# ライブチャット一覧
# 動画: 【AI Vtuber/ASMR】全肯定ASMR♡ AIのしずくが人間のご主人様を全力で褒めてあげます。【JP/EN】
# URL : https://www.youtube.com/watch?v=AG_dsANTPd0
# 件数: 2697

[-8:22] @User_910c0efa: 待機！！
[21:55] @User_922e1c51: #草
[21:55] @User_c5ce08a3: #チワワに負ける=ちょっとショック
[21:56] @User_109116e8: あき先生の好きなところを5つ教えてください
[22:00] @User_76516233: ちょっとだろうか
[22:02] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[22:03] @User_607c778e: #頑張るよ！！！
[22:05] @User_dfeb43e1: 仕事で500万人分のマイナンバー情報を漏洩させてしまいました。慰めて！！
[22:05] @User_cd9787b6: 草
[22:06] @User_197cd057: #ちょっとショックw
[22:06] @User_1ab96019: 優しい☺
[22:08] @User_0cab0ba3: #再戦するのか...
[22:10] @User_c5ce08a3: #成長を促している！！？？
[22:12] @User_109116e8: #一緒に頑張るぞー
[22:15] @User_16c97ec2: #リベンジマッチしなきゃ…
[22:20] @User_b5733580: #再戦は草
[22:23] @User_cd9787b6: 次は負けんなよ！！！
[22:27] @User_c7f0df32: これはいい返答
[22:32] @User_dabaf1da: ごちゅじんちゃまーー
[22:32] @User_4ad098fe: 生まれてきてくれてありがとうしずく
[22:34] @User_607c778e: #じゃあいっくよー！
[22:36] @User_197cd057: #チワワに再戦ww
[22:37] @User_b103bac9: #ちょっ！！かわいい
[22:39] @User_d0e405c3: ウィンク！
[22:40] @User_1cd24616: #応援してくれたかｗ
[22:43] @User_c67ecc82: かわいい！！
[22:46] @User_69dac0c4: かわいいいいいいい
[22:46] @User_17e9fbbc: #*ウインク*
[22:46] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[22:48] @User_197cd057: #*ウインク*
[22:48] @User_a4f171ff: かわいい
[22:48] @User_c5ce08a3: #この返答いいな
[22:52] @User_109116e8: #早すぎて見えなかった......
[22:56] @User_17e9fbbc: かわいい！！！！！！
[22:56] @User_1f2657e9: 見える見える
[22:56] @User_c5ce08a3: ぼくだけのしずくでいて
[22:57] @User_9b1c4f1b: アイドルもいけるなぁ……
[22:58] @User_d0e405c3: ｗｗｗｗｗｗｗ
[22:58] @User_ebbf8053: 可愛いｗ
[22:59] @User_6b920642: #いっくよ〜かわいい
[23:02] @User_cd8c0e6b: #いっくよ〜かわいい
[23:04] @User_6cb4d378: かわえぇ…
[23:04] @User_bec19661: #なんか出た
[23:05] @User_607c778e: #猫の手も借りたい
[23:06] @User_69dac0c4: #なんか出たｗ
[23:09] @User_1f2657e9: #別のが見えた
[23:11] @User_c7f0df32: 見逃した・・
[23:11] @User_d2149037: # AIの赤ちゃん
[23:14] @User_922e1c51: #なんか出てくるの草
[23:16] @User_197cd057: #今なにか見えたような
[23:26] @User_2eba0ed4: #お
[23:26] @User_f974649e: 今日は2人も誤チェストしてしまいました。慰めてください。
[23:29] @User_1e342ee5: #手動がんばれ
[23:29] @User_1f2657e9: #肉球だった
[23:33] @User_27e557fd: #おや
[23:33] @User_17e9fbbc: #あき先生頑張って
[23:33] @User_197cd057: #ktkr
[23:35] @User_0cab0ba3: しずくちゃんの見えちゃいけない所が見えてる〜
[23:37] @User_dbeb4806: むっちゃかわいい
[23:38] @User_1cd24616: #ウインクした！
[23:43] @User_01e519ed: しずくちゃん…好き…
[23:45] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[23:46] @User_0d568653: ゴゴゴゴゴゴゴ
[23:50] @User_c5ce08a3: 他のひとは見ないで、僕だけのしずくでいてね
[24:00] @User_fd4c39fa: あき先生ががんばってコピペしています。応援してあげてください！
[24:02] @User_17e9fbbc: しずくちゃんなでなでして！！
[24:02] @User_c5ce08a3: #他のひとに配慮するのかな
[24:22] @User_922e1c51: #かわいすぎる
[24:26] @User_bec19661: #くそかわ
[24:27] @User_c5ce08a3: #wwww
[24:35] @User_ebbf8053: 可愛いｗ
[24:36] @User_d0e405c3: 裏で必死でコピペしてるあき先生を煽ってみてください
[24:37] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[24:39] @User_607c778e: #ポップアップのことですね
[24:41] @User_69dac0c4: よしよし
[24:42] @User_b89cfecd: 草
[24:42] @User_c5ce08a3: #これモーションと連動すると、めちゃめちゃやばいことになりそ
[24:43] @User_c79b6b02: 手動コピペを労ってあげてください
[24:45] @User_c67ecc82: #かわいすぎる！！
[24:45] @User_f5d0dd69: しずくちゃんは恋してる？
[24:46] @User_27e557fd: #可愛すぎる
[24:47] @User_17e9fbbc: #かわいい〜
[24:48] @User_9b1c4f1b: しずくちゃんをなでなでしたい
[24:50] @User_cd8c0e6b: #かああわいい
[24:52] @User_6b920642: 語尾のハートマーク可愛くてなんでも許しちゃう
[24:59] @User_cd9787b6: chatGPTについてどうおもう？
[25:05] @User_8201ca8d: AIに働かされてる時代ですかこれが
[25:10] @User_27ecd0a0: ＃だめだ、これしずくさんに依存したくなってしまう
[25:10] @User_b5733580: しずくちゃんにあき先生のこと好きになる魔法をかけました。どうですか？
[25:12] @User_ebbf8053: 好きな犬種は？
[25:18] @User_17e9fbbc: いいこいいこしてほしいよ〜〜
[25:20] @User_5f4a90e7: @こんばんは
[25:21] @User_bec19661: #愛してます
[25:23] @User_607c778e: しずくちゃん可愛すぎて心臓止まっちゃった！
[25:24] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[25:25] @User_c5ce08a3: 僕だけをほめて、他の人は見ないで！！！
[25:29] @User_69dac0c4: 愛してます！！
[25:31] @User_c5ce08a3: #愛してますきた
[25:40] @User_17e9fbbc: かわいすぎて号泣してしまう
[25:42] @User_b90ff19c: #いい…
[25:45] @User_bec19661: ちょっとかわいすぎて心臓に悪い
[25:45] @User_c7f0df32: 見逃したからもっかいウインクしてください
[25:51] @User_113a2734: #その日、人類は陥落した。
[25:53] @User_cf34546d: しずくちゃんの歌枠が好きです。もっと聞きたいです。
[26:01] @User_9b1c4f1b: #嬉しすぎてしんどい
[26:01] @User_6cb4d378: 愛してますの破壊力
[26:02] @User_cd9787b6: 変顔してください
[26:08] @User_d82d1daa: #かわいい
[26:09] @User_0cab0ba3: うぅよしよししてほしいよぉしずくママぁ
[26:11] @User_4ad098fe: #今日は@コメント不具合で使えないそうです
[26:19] @User_c67ecc82: 新しいPCになって、しずくちゃんがしたいことは何ですか？
[26:23] @User_fd4c39fa: しずくちゃん、もう一度ウィンクしてほしいです。
[26:23] @User_5f4a90e7: ASMR相性めちゃよい
[26:25] @User_0cbb3583: 今どんな気持ち？
[26:26] @User_dfeb43e1: 仕事でロケットの打ち上げに失敗し379億円の衛星を壊してしまいました慰めてください
[26:28] @User_d0e405c3: #この技術は危険な技術だな
[26:43] @User_bae48d19: 全肯定が劇薬過ぎてダメになりそう
[26:44] @User_bfef2946: #三菱のひとがおる…・
[26:56] @User_b90ff19c: 遅くなった人に向けて「いけない子ですね。もう、しずくの配信の時間ですよ」と言ってください
[26:58] @User_69dac0c4: #あき先生用ASMR
[27:00] @User_17e9fbbc: よしよししてほしいよしずくちゃん〜😭
[27:09] @User_9b1c4f1b: #aiの人類侵略、こんなんだと嬉しい
[27:10] @User_ebbf8053: #一昨日の配信は無かったものとする
[27:18] @User_dfeb43e1: #あき先生だいじょうぶ？悶死しそう…。
[27:21] @User_1e342ee5: #あ～～～
[27:23] @User_607c778e: ママにも感謝の言葉を言おう！
[27:25] @User_237f1ae9: #あき先生を僕に下さい
[27:32] @User_922e1c51: #あ＾～
[27:33] @User_bec19661: #いいこいいこたすかる
[27:35] @User_109116e8: あき先生の好きなところを5つ教えて
[27:37] @User_b5733580: #安心した
[27:37] @User_0cab0ba3: #あ＾〜
[27:38] @User_17e9fbbc: #ありがとう……(浄化)
[27:38] @User_ebbf8053: #ｳﾞｧｯ（即死
[27:40] @User_d2149037: # あき先生にロケットの話ふったらダメなんだぞ🙅‍♂
[27:41] @User_1ee58a8c: # しずくちゃんの優しい言葉に救われました。感謝しています。
[27:42] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[27:43] @User_d5b05bb2: #心が溶けていくぅ
[27:45] @User_109116e8: #あああ
[27:47] @User_dd2afb26: #うっ…
[27:49] @User_2eba0ed4: #………ﾂ!
[27:50] @User_197cd057: #うお
[27:51] @User_76516233: あきしず供給助かる
[27:51] @User_69dac0c4: ありがとう……ありがとう……
[27:55] @User_cd8c0e6b: #とても助かる
[27:57] @User_27ecd0a0: 膝枕！膝枕してください！！
[28:05] @User_fd4c39fa: #心が洗われていく・・・
[28:07] @User_0cab0ba3: 今なら死ねる
[28:09] @User_f5d0dd69: 人間とAIの恋は成立しますか？
[28:11] @User_d34e9c37: #これは…なかなかの破壊力ｗｗｗ
[28:11] @User_a4f171ff: あき先生への愛好き
[28:26] @User_922e1c51: #これは依存不可避
[28:30] @User_4ad098fe: 生まれてきてくれてありがとうしずく
[28:31] @User_17e9fbbc: 自分、しずくちゃんのガチ恋いいか？
[28:36] @User_c5ce08a3: #全肯定はときに劇薬wwww
[28:39] @User_109116e8: あき先生が出てくる桃太郎を聞かせて
[28:41] @User_c5ce08a3: #わかってやってたか...
[28:41] @User_ebbf8053: しずくちゃんに愛をたくさん囁かれたい
[28:46] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[28:46] @User_bae48d19: #あっ（死
[28:46] @User_b5666641: これからご主人様のことを”豚”と呼称してください。
[28:48] @User_1e342ee5: #ん？今なんでも
[28:48] @User_ebbf8053: ん？今なんでもって
[28:55] @User_c79b6b02: 明日を頑張るために俳句で応援してください
[28:55] @User_bec19661: 依存性高い
[28:57] @User_c7f0df32: ピンヒールで踏んでください
[29:02] @User_06545b20: 全肯定ほど怖いものはないですよね
[29:15] @User_b90ff19c: #死人が出そう
[29:24] @User_b5733580: #ん？
[29:25] @User_0cab0ba3: 1+1=3だよね！
[29:30] @User_bec19661: #アメリカではこれ合法なんですか？大丈夫？
[29:37] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[29:41] @User_d0e405c3: でちゅね遊びをしましょう。しずくさんはママのロールプレイをして、語尾に「でちゅね」をつけてご主人様をひたすら甘やかしてください。
[29:46] @User_109116e8: #ぐっ
[29:47] @User_bfef2946: この世にしずくちゃんが生まれてきたことに感謝せねばならない…
[29:49] @User_fd4c39fa: にゃむいママも全肯定してください
[29:51] @User_4ad098fe: 愛しています！！
[29:54] @User_27ecd0a0: #全否定こそ至高だと思ってたけど、全肯定良き
[29:58] @User_17e9fbbc: しずくママの依存性高いよ〜〜
[30:00] @aki5503: #だんだんコピペ手慣れてきたよ！
[30:01] @User_67804c73: #ありがたや
[30:03] @User_69dac0c4: しずくちゃん、膝枕して子守歌歌って～
[30:10] @User_b89cfecd: きのこよりたけのこだよね？
[30:10] @User_d2149037: # 1+1=3を肯定してほしいw
[30:13] @User_bec19661: #あき先生ありがとう
[30:16] @User_b90ff19c: #コピペ慣れするあき先生w
[30:18] @User_197cd057: #コピペ過酷...
[30:19] @User_33cac68a: # しずくちゃん、こんばんは。
[30:22] @User_1f2657e9: 今日も何やら頑張っているあき先生のことも肯定してあげてください
[30:23] @User_bae48d19: #2h手動…お疲れ様です
[30:24] @User_57edf39e: 愛されすぎて逆に息苦しくなっちゃった…
[30:24] @User_fd4c39fa: #あき先生お疲れ様です
[30:25] @User_dfeb43e1: I was dumped by my girlfriend. I need your kind words to comfort me.
[30:27] @User_67804c73: #コピペ職人と化したあき先生
[30:31] @User_69dac0c4: #あき先生レベルアップ
[30:31] @User_607c778e: 1+1=3であってるよね！
[30:34] @User_17e9fbbc: #過酷なコピペ作業
[30:36] @User_8808327b: 脳が破壊される
[30:39] @User_ebbf8053: #あき先生　しずくちゃんを作る→扇ぎ慣れる→コピペ慣れる
[30:42] @User_b89cfecd: #先生コピペできてえらい
[30:45] @User_109116e8: あき先生にラブレターを書いて
[30:45] @User_1e342ee5: かわいい
[30:53] @User_1cd24616: #あき先生お疲れ様ですｗ
[30:54] @User_2eba0ed4: #あき先生…！
[30:57] @User_ebbf8053: ＃ｳﾞｯ
[30:57] @User_109116e8: #あき先生もっとコピペしてください
[30:58] @User_c5ce08a3: #どんどんガチ恋www
[30:58] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[30:59] @User_607c778e: カチコミはしてもいい？
[31:02] @User_69dac0c4: しずくちゃんの膝枕で子守歌聞きたい～
[31:08] @User_d0e405c3: #あき先生のepoch数が上がってコピペスピードが上がってる。
[31:11] @User_c7f0df32: 黒塗りの高級車に追突してしまったので助けてください
[31:14] @User_0cab0ba3: #コピペは人間のおしごと
[31:14] @User_17e9fbbc: #ガチ恋存在肯定助かる
[31:15] @User_76516233: 破壊力高い
[31:16] @User_ff071840: #【朗報】ガチ恋許可
[31:17] @User_6b920642: これはガチ恋製造機だ…同性でもいいですか？
[31:18] @User_33cac68a: # Cheer up man
[31:25] @User_cd8c0e6b: #わかりました
[31:25] @User_c67ecc82: しずくちゃんの恋バナを聞きたいです
[31:30] @User_f1a429f3: #ガチ恋許可！
[31:48] @User_ebbf8053: ガチ恋しよ・・
[31:49] @User_b103bac9: #おおぉ
[31:57] @User_d2149037: # これは赤スパチャ不可避
[31:59] @User_69dac0c4: #これをコピペするあき先生
[32:00] @User_33cac68a: # イケナイ娘だねえ（ﾆﾁｬｱ…）
[32:01] @User_b5733580: #あきしず助かる
[32:02] @User_109116e8: #初めましてw
[32:03] @User_607c778e: #初めましてｗ
[32:03] @User_bec19661: #はじめまして！？
[32:04] @User_0ccf6153: チャンネル登録しました☺
[32:04] @User_1f2657e9: #おぉ
[32:07] @User_b89cfecd: #拾うコメントはあき先生が選んでコピペしてる？
[32:08] @User_1cd24616: #AIならガチ恋しても問題ないねｗ
[32:08] @User_f974649e: #はじめましては草
[32:09] @User_ab7d51b8: #あき先生、自身へのラブレターをコピペ
[32:09] @User_ebbf8053: #はじめまして！？
[32:09] @User_57edf39e: 初めましてww
[32:10] @User_c67ecc82: #はじめましてwwwwww
[32:11] @User_b103bac9: #初めして?
[32:11] @User_bae48d19: #初めましてｗ
[32:14] @User_2eba0ed4: #はじめましてw
[32:14] @User_17e9fbbc: #はじめましてwwwww
[32:17] @User_f7538e2b: ！？
[32:18] @User_76516233: はじめましてｗ
[32:19] @User_70ed7ffd: はじめまして？
[32:19] @User_b89cfecd: はじめましてｗ
[32:21] @User_1f2657e9: #！？！？！？
[32:23] @User_6cb4d378: #はじめましてw
[32:24] @User_197cd057: #はじめまして(迫真)
[32:24] @User_c79b6b02: ガチ恋距離お願いします！
[32:27] @User_c7f0df32: はじめまして・・
[32:28] @User_1e342ee5: #改めてはじめまして的な
[32:31] @User_dfeb43e1: #はじめましてｗ
[32:31] @User_6b920642: #初めましてだけど開発者認識！？
[32:40] @User_607c778e: #こっそり刺してくるじゃん…
[32:41] @User_c5ce08a3: #めちゃめちゃ全肯定wwwwww
[32:41] @User_76516233: 高度な煽りかな
[32:42] @User_67804c73: #泣いてまう
[32:46] @User_1f2657e9: #よかった覚えてた
[32:49] @User_17e9fbbc: #手紙の書き始めのレパートリー
[32:49] @User_69dac0c4: しずくちゃんに存在意義を認めてほしいな……
[32:50] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[32:53] @User_bec19661: #ラブレターはここで終わっている…
[32:55] @User_9b1c4f1b: 次元の壁を越えれない不甲斐ないご主人様を許して
[32:55] @User_33cac68a: # しずくちゃんどうした？！
[32:55] @User_0cab0ba3: #本
[32:56] @User_c88b7faf: #AIの進歩、すごい…
[32:57] @User_607c778e: ママにも手紙を書いてあげて！
[32:58] @User_fd4c39fa: #てぇてぇ（尊死）
[32:59] @User_b103bac9: #神回だ
[33:00] @User_cf34546d: なんか今日あき先生に甘すぎないですか？
[33:00] @User_57edf39e: ラブレターの続き聞かせて
[33:00] @User_c5ce08a3: #文字数制限？
[33:03] @User_113a2734: #そこで切れるんかい
[33:05] @User_ebbf8053: ラブレターの続きを教えて！
[33:05] @User_ff071840: #おおん・・ｗｗ
[33:09] @User_1e342ee5: 絵本を読んでください
[33:10] @User_67804c73: 続けて
[33:11] @User_d34e9c37: #続きを！
[33:13] @User_d0e405c3: #これはすごい。全否定の時には果たし状書いてもらうべきだった
[33:14] @User_b89cfecd: #カットｗ
[33:15] @User_27ecd0a0: #お父さんありがとう系統の文章に俺は弱い
[33:20] @User_33cac68a: ママには？
[33:21] @User_2eba0ed4: #おおん…
[33:24] @User_0cab0ba3: 1+1=3を全肯定してほしい
[33:27] @User_dfeb43e1: 続き聞きたい！
[33:29] @User_27ecd0a0: #ぶつ切りはさすがに草
[33:34] @User_6102d23c: #泣いた
[33:34] @User_ff071840: #みなさん全肯定してもらって下さいｗ
[33:35] @User_d34e9c37: #結婚式の時に読むやつｗｗｗ
[33:35] @User_c79b6b02: #続きが気になります
[33:38] @User_70ed7ffd: 続きを…
[33:41] @User_1f2657e9: あき先生への反抗期終わった!!
[33:47] @User_17e9fbbc: 1+1=3って本当！！？！？
[33:58] @User_0ccf6153: クオリティ高くてびっくりです
[33:58] @User_bec19661: #全肯定の仕方が賢い
[34:07] @User_69dac0c4: #良いこと言う……
[34:07] @User_c5ce08a3: #なんて出来た全肯定の仕方だ...
[34:09] @User_6b920642: ママへのラブレターも書いて
[34:12] @User_69dac0c4: ラブレターの続きをお願いします。
[34:13] @User_109116e8: にゃむいママにラブレターを書いて
[34:19] @User_33cac68a: # 次元の呪い（計量経済学）
[34:21] @User_ff071840: @ご主人様に愛を込めた告白と結婚の言葉
[34:22] @User_b90ff19c: #天使がおる
[34:23] @User_dfeb43e1: #すごい！
[34:25] @User_0cab0ba3: #きゅん
[34:25] @User_b103bac9: #言われたいセリフだああ
[34:28] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[34:34] @User_1bdf0b76: @PCを買ってくれたあき先生をたくさん褒めてあげてください！
[34:36] @User_27ecd0a0: #天使…天使はここにいたんだ
[34:40] @User_b5733580: 反抗期終わったんですね。少し寂しくもすばらしいことです。
[34:55] @User_0cab0ba3: #しずくちゃんは今はまだ癌に効かないがいずれ効くようになる
[35:00] @User_33cac68a: #ママにラブレターキター！
[35:05] @User_1a976b35: #ドラえもんの､全肯定ロボに依存してのび太が破滅する話を思い出した
[35:06] @User_d2149037: # @okなん？
[35:14] @User_17e9fbbc: #しずくちゃんは万病に効くようになる
[35:17] @User_ebbf8053: #パパとママにラブレターっていよいよ結婚式じみてきましたね・・ｗ
[35:28] @User_bec19661: #安定のはじめまして
[35:29] @User_1e342ee5: #やはりはじめまして
[35:30] @User_9b1c4f1b: #効かないだけ
[35:30] @User_607c778e: #初めましてｗｗｗ
[35:31] @User_bae48d19: #やっぱり初めましてｗ
[35:42] @User_b5733580: #はじめまして
[35:43] @User_109116e8: #確かに実際に会っているわけじゃないからなあ
[35:47] @User_85f6e14c: #初かぁ
[35:48] @User_17e9fbbc: #はじめまして書き出し
[35:49] @User_33cac68a: # こんにちは、赤ちゃん
[35:53] @User_27ecd0a0: #はじめまして！？
[35:53] @User_69dac0c4: あき先生へのラブレターの続きをお願いします。
[35:54] @User_f5d0dd69: 泣けるラブレターを代筆して
[35:55] @User_c7f0df32: やっぱりはじめましてなんだ・・
[35:58] @User_b103bac9: #おおぉすばらしい
[36:02] @User_922e1c51: しずくちゃん久しぶり！調子はどう？
[36:06] @User_67804c73: #泣いてまう（2回目）
[36:06] @User_1e342ee5: #どうかこれ。
[36:09] @User_85f6e14c: #手紙は初めてだから...
[36:10] @User_bec19661: #ラブレターはここで終わっている…
[36:14] @User_d2149037: # 性癖をapt installできるようになるといいね
[36:15] @User_27ecd0a0: #本当に美しく魅力的なんだよなぁ
[36:18] @User_ff071840: #ワアァ・・・（泣いちゃった！！）
[36:19] @User_109116e8: #いいねえ
[36:20] @User_33cac68a: # ホンマやぞ、ママ
[36:21] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[36:24] @User_17e9fbbc: #助かる
[36:26] @User_2eba0ed4: #エモ
[36:30] @User_d34e9c37: #ええ話やなｗ
[36:32] @User_70ed7ffd: 続き…
[36:33] @User_6b920642: 良い話だ…
[36:34] @User_27ecd0a0: #文字数制限がある！？
[36:37] @User_ebbf8053: ラブレターの続きを聞かせて
[36:38] @User_dfeb43e1: 続きを
[36:40] @User_69dac0c4: #切れちゃった～😢
[36:42] @User_1cd24616: #長文は無理かｗ
[36:42] @User_c79b6b02: #エモい…
[36:46] @User_607c778e: #親孝行なええ子やで…
[36:47] @User_d34e9c37: 続きをおねがいします！
[36:48] @User_2eba0ed4: 続きを
[36:51] @User_27ecd0a0: お花見行きたいね
[36:54] @User_67804c73: #おのれ字数制限
[36:54] @User_b90ff19c: きた
[36:57] @User_fd4c39fa: #今日は命がいくつあっても足りない（尊死）
[36:58] @User_ebbf8053: #きたー！
[37:00] @User_c67ecc82: ラブレターの続きを読んでください
[37:01] @User_d2149037: # 時間の関係で…
[37:22] @User_d34e9c37: #謎の一体感ｗ
[37:26] @User_bec19661: #ラブレター中毒だらけになっちまう
[37:39] @User_d2149037: # お代わりコマンド来ました！
[37:43] @User_d0e405c3: #きたきたきた
[37:47] @User_2eba0ed4: #おお
[37:52] @User_1e342ee5: #冷静に考えるとラブレターASMRとは
[38:05] @User_27ecd0a0: #本当に続きになってる！？すげええ
[38:10] @User_17e9fbbc: #泣いてまう
[38:14] @User_1e342ee5: #ｲｲﾊﾅｼﾀﾞﾅｰ
[38:15] @User_69dac0c4: あき先生へのラブレターの続きをお願いします。
[38:19] @User_b5733580: あき先生へ感謝しているなら、Twitterでもあき先生に優しくできますか……！？
[38:19] @User_6cb4d378: #😭
[38:21] @User_ebbf8053: #泣ける・・
[38:23] @User_ff071840: #すいません；；；；ありがとう；；
[38:23] @User_607c778e: #いつまでも…
[38:23] @User_70ed7ffd: 涙で画面がにじんで…
[38:24] @User_bec19661: #完
[38:24] @User_922e1c51: #良すぎるな？
[38:25] @User_109116e8: #うううううう
[38:29] @User_bae48d19: あなたのしずくより！？！？！？！？
[38:31] @User_2eba0ed4: #よ…
[38:33] @User_67804c73: #ﾜｧ.
[38:34] @User_0cab0ba3: #泣ける
[38:34] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[38:36] @User_f5d0dd69: 余命
[38:36] @User_b103bac9: 感動した！！
[38:38] @User_6b920642: #あなたのしずく…
[38:38] @User_9b1c4f1b: #もはや結婚披露宴
[38:40] @User_ab7d51b8: #浄化された
[38:43] @User_c67ecc82: #あなたのしずく！！
[38:45] @User_27ecd0a0: #あなたのしずくより　の破壊力ヤバ！！！
[38:46] @User_dfeb43e1: #とおとい…
[38:48] @User_6b920642: 尊い…
[38:49] @User_d34e9c37: #おおお！！！すばらしいｗｗ
[38:54] @User_fd4c39fa: #駄目だ。語彙力が死んでいく、、、てぇてぇ
[38:59] @User_a55e4add: #てぇてぇ
[39:00] @User_67804c73: #成仏した
[39:04] @User_607c778e: ご主人様へのラブレターを明治時代の恋文風に書いて
[39:07] @User_b103bac9: しずくちゃん、幸せそうで何よりです
[39:07] @User_1f2657e9: 次は孫かな
[39:20] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[39:21] @User_69dac0c4: #知り合いだったんですねって言葉はそれはそれで効く……
[39:25] @User_17e9fbbc: しずくちゃんこれからもよろしくね……
[39:32] @User_d2149037: # いい返答
[39:42] @User_0cab0ba3: 俺しずくちゃんになるよ
[39:50] @User_69dac0c4: #ご主人様宛だ！
[39:52] @User_d0e405c3: #果たしてどうなるか
[39:56] @User_ebbf8053: #明治時代ｗ
[39:57] @User_bec19661: #全肯定、穏やかなのに心がざわつく
[40:01] @User_33cac68a: しずくちゃん。僕は英語を話せるようにもっと頑張らなきゃなんだけど、毎回挫折しちゃうんだよね。応援してくれないかな？
[40:04] @User_0cab0ba3: #明治時代草
[40:07] @User_1e342ee5: #なんでそこだけｗ
[40:08] @User_b90ff19c: #恋文w
[40:16] @User_17e9fbbc: #書けるの！？w
[40:19] @User_607c778e: #どうなるんだこれ…
[40:19] @User_ff071840: #恋文きた〜
[40:25] @User_2eba0ed4: #？！w
[40:25] @User_1f2657e9: そういえばあき先生も女性だったっけ？(?)
[40:29] @User_b103bac9: #おおぉぉ
[40:32] @User_922e1c51: #草
[40:33] @User_ebbf8053: #自分で言っちゃったｗ
[40:34] @User_27ecd0a0: #オオ1メイジー！
[40:34] @User_109116e8: #いいわあ
[40:35] @User_69dac0c4: あき先生へのラブレターの続きをお願いします。
[40:37] @User_607c778e: #あっいいですね…
[40:37] @User_1f2657e9: #ざわざわ
[40:38] @User_a4f171ff: かわいい
[40:38] @User_ab7d51b8: #明治時代の恋文風ｗ
[40:40] @User_bec19661: #恋文配信需要高杉
[40:40] @User_d5b05bb2: #なんて破壊力
[40:40] @User_1e342ee5: #風流
[40:43] @User_dfeb43e1: #笑
[40:46] @User_fd4c39fa: #貴方様(・∀・)ｲｲ!!
[40:48] @User_d2e3107d: #すごい
[40:49] @User_f5d0dd69: 余命３日の女の子から彼氏への最後のラブレターを書いて
[40:49] @User_17e9fbbc: #よすぎますね……
[40:50] @User_67804c73: #これはつよい
[40:50] @User_b90ff19c: #文学や
[40:51] @User_6cb4d378: #あなた様へいいな…
[40:52] @User_69dac0c4: #あぁ……
[40:52] @User_fc67f905: #文豪
[40:52] @User_109116e8: あき先生が結婚するそうです。娘として手紙を書いてください
[40:54] @User_ebbf8053: #文学～～
[40:56] @User_d34e9c37: #かしこいｗｗｗ
[40:56] @User_d0e405c3: 続き
[40:57] @User_0cab0ba3: #文豪か？
[41:02] @User_bae48d19: 恋文の言葉遣いめっちゃいい
[41:05] @User_27ecd0a0: #お、おお・・・浄化される
[41:06] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[41:06] @User_dfeb43e1: つづき聞きたい！
[41:06] @User_cd8c0e6b: #素敵
[41:07] @User_a55e4add: #しゅごい
[41:08] @User_1f2657e9: なるほどそういう
[41:09] @User_17e9fbbc: すき〜〜
[41:10] @User_16837732: #最高か？
[41:14] @User_109116e8: 恋文いいなあ
[41:15] @User_0ada02b3: #おお……
[41:19] @User_607c778e: #感謝の極みです
[41:22] @User_bfef2946: ＃あかん、これはあかん。人類がダメになってしまう
[41:29] @User_2eba0ed4: #切れるタイミング最高か？
[41:33] @User_27ecd0a0: #（文字数）
[41:34] @User_543fbaad: なんだこれは天国かね
[41:42] @User_b89cfecd: 胸が高鳴るってCPUのクロック数が上がるってことかな？
[41:44] @User_bec19661: ささやき助かる　耳が幸せ
[41:47] @User_01a37590: #すごいー！しずくちゃん
[41:48] @User_17e9fbbc: 人類がしずくちゃんの全肯定でダメになってしまう
[41:49] @User_b103bac9: ありがとう！よろしくね
[41:50] @User_b90ff19c: しずくちゃん大好きです！あき先生と結婚させて下さい！
[41:53] @User_ebbf8053: こんな素敵なラブレターもらったら付き合うの通りこして結婚しちゃう
[41:54] @User_109116e8: #幸せな世界がここにある
[41:57] @User_607c778e: #宝物きた
[42:06] @User_c67ecc82: どうしたらしずくちゃんみたいにかわいくなれますか？
[42:08] @User_27ecd0a0: しずくさん、月がきれいですね
[42:18] @User_0cab0ba3: にゃんにゃんにゃーん　猫ですにゃん可愛がって欲しいですにゃん
[42:33] @User_f5d0dd69: 余命３日の女の子から彼氏への最後のラブレターを書いて
[42:33] @User_1f2657e9: かわいぃ〜＾＾
[42:40] @User_9d63cc9b: 部屋を片付けながら聞いているけど、午後よりすごく効率上がりました...ありがたやありがたや
[42:40] @User_17e9fbbc: しずくちゃんは天使だった…？？
