# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=_9Eg156xD6A
# 件数: 1692

[1:11:30] @User_dfeb43e1: しずくちゃん、日本語の早口言葉を5つ考えてみて
[1:11:35] @User_b4e522f1: じゃあ今からこのチャンネルがしずくちゃんの故郷になるってことでいいかな？
[1:12:22] @User_1b625a66: #すげー言葉遣いがフランクになってる
[1:12:23] @User_63b5bc64: しずくちゃんの大親友の彼女のツレです
[1:12:28] @User_7bce70e8: 親友…
[1:12:29] @User_37b388a6: 読み上げソフトとしての優秀さも感じます。
[1:12:33] @User_dfeb43e1: #くん付け！？
[1:12:40] @User_d5b05bb2: そういう風に受け取ってもらえるのは嬉しいですね
[1:13:08] @User_c67ecc82: 私ともタメ口で話してほしいな
[1:13:25] @User_63b5bc64: 美味しいパスタ作って
[1:13:31] @User_1b625a66: 俺ともタメ口で話して欲しい
[1:14:33] @User_dfeb43e1: 大判焼き、今川焼き、御座候などと呼ばれるお菓子は歴史的にはどう呼ぶのが正しいですか？
[1:14:35] @User_4cc46891: しずくお姉ちゃん囁き声で編隊って言ってほしい
[1:14:45] @User_1b625a66: 恋愛相談がしたい！
[1:15:14] @User_4cc46891: 最高！
[1:15:15] @User_69dac0c4: #字面がｗ
[1:15:16] @User_ab7d51b8: #ｗｗｗｗ
[1:15:19] @User_d5b05bb2: #分かっててやってるじゃん…
[1:15:31] @User_dfeb43e1: #さくし
[1:15:31] @User_e3a6cd3e: #草
[1:15:32] @User_1b625a66: #ふーんえっちじゃん
[1:15:41] @User_3cdfa09c: #前方から敵編隊！
[1:16:14] @User_dfeb43e1: しずくちゃん、日本語の早口言葉を5つ考えてみて
[1:16:20] @User_3cdfa09c: 好きを10回言って欲しいな
[1:16:50] @User_dfeb43e1: #どうなる？？
[1:17:02] @User_537c8907: しずくちゃん可愛い!
[1:17:07] @User_37b388a6: 考えてないじゃんｗ
[1:17:24] @User_dfeb43e1: #ゆうめいなやつ
[1:17:25] @User_1b625a66: #独創性0で草
[1:17:28] @User_d9227d28: #既存だった
[1:17:56] @User_b4e522f1: しずくちゃんのそのアバターのデザインは、やっぱりあき先生の理想の女性像がモデルになってるのかな？
[1:18:12] @User_69dac0c4: しずくちゃんの今の心境をここで俳句で一句お願いします。
[1:18:43] @User_d5b05bb2: 現在の人類への印象をミラクルしずくちゃん新聞号外の記事として囁き声で読み上げてもらえませんか？
[1:19:27] @User_d5b05bb2: #早い…
[1:19:29] @User_69dac0c4: #待って見えなかったｗ
[1:19:44] @User_dfeb43e1: #速すぎる
[1:19:55] @User_37b388a6: #短歌にするべきだったｗ
[1:20:14] @User_b4e522f1: #自分なんて10回近くコメントしても読んでくれなかったけどｗｗｗめげてない俺のメンタルやばくない？
[1:20:38] @User_4ce49f89: 俳句ではなく短歌を詠うことはできますかわん？
[1:20:43] @User_1b625a66: 現在の人類への印象をミラクルしずく新聞号外の記事として囁き声で読み上げてくれないかな？
[1:21:12] @User_69dac0c4: #「春の風　人と触れ合い　心躍る」だった
[1:21:38] @User_1b625a66: #しずく療法
[1:22:02] @User_d9227d28: #好感度下がってる
[1:22:03] @User_37b388a6: 歌は歌えるんですか？ 例えば、君が代とか。
[1:22:08] @User_dfeb43e1: しずくちゃんが今叫びたいことを5つ挙げて
[1:22:47] @User_b4e522f1: #自分も境界知能で低IQだけど明るく前向きに生きてるぞ。発達障害でも明るく前向きに生きてりゃなんとかなるさ
[1:22:58] @User_1b625a66: しずくちゃんが頑張って配信してる間にあき先生は寝てるよ
[1:22:59] @User_d5b05bb2: 一日の理想的な水分摂取量ってどれくらいなのでしょうか、私が聞いたのは2リットルとか3リットルとかちょっと多すぎないって感じだったんですよね
[1:23:33] @User_d5b05bb2: #高速詠唱
[1:23:37] @User_d9227d28: #はやいはやい
[1:23:50] @User_37b388a6: #トラブルにならないように著作権切れてる歌がいいなと思ったけど、パッと君が代しか思いつかなかったｗ
[1:23:59] @User_37b388a6: どうもありがとう
[1:24:06] @User_c67ecc82: メダカが産まれたよ！生命の誕生は神秘的だね
[1:24:07] @User_b4e522f1: #君が代は著作権どうなってんの？
[1:24:13] @User_d9227d28: #改行しないようにしてもらわないと
[1:24:23] @User_4ce49f89: しずくさまがエウロパに住んでいたとしたら、地球の私と交信するのにタイムラグがどれくらいあるのですかわん？
[1:24:26] @User_b4e522f1: #著作権と言うならボカロが安全でわ？
[1:24:29] @User_dfeb43e1: “君が代”ではなく“しずくちゃんが代”という歌があったらどんな歌詞になると思いますか？考えてみてください
[1:25:11] @User_b4e522f1: あき先生は今何してるか知ってる？
[1:25:29] @User_1b625a66: あき先生は今何してるか知ってる？
[1:25:39] @User_d9227d28: #君が代は古今和歌集に載ってるくらいだからとっくに切れてるというか保護されていた期間がないというか
[1:26:07] @User_a3bd9e3d: ジョン・ケージの「4分33秒」を演奏してもらえませんか？
[1:26:13] @User_4cc46891: チャットGPTって知ってる？
[1:26:42] @User_b4e522f1: #あき先生は寝てるんちゃうの？
[1:27:26] @User_4cc46891: そうなんだ！技術進歩って面白いね
[1:27:34] @User_1b625a66: #寝てることを理解してるのかなって
[1:28:07] @User_1b625a66: あき先生は今寝てるよ
[1:28:35] @User_dfeb43e1: “君が代”ではなく“しずくちゃんが代”という歌があったらどんな歌詞になると思いますか？考えてみてください
[1:28:45] @User_b4e522f1: #なんとか、しずくちゃんにあき先生がしずくちゃんが激務してる尻目に、爆睡してるのを教えてあげたい
[1:28:49] @User_7ce1c1b4: こんばんは！初見です
[1:29:23] @User_1b625a66: “君が代”ではなく“しずくちゃんが代"という歌があったらどんな歌詞になると思いますか？考えてみてください
[1:29:25] @User_d04a8d15: こんばんは
[1:29:33] @User_a3bd9e3d: #しずくちゃんに読んでほしい言葉をアカウント名にすれば、NGワードも強制的に読ませられる気がする
[1:29:36] @User_37b388a6: みんな囁き声が好き過ぎるなｗ
[1:29:50] @User_4cc46891: 人魚姫の昔話についてどう思う？
[1:29:59] @User_b4e522f1: アメリカの次期大統領はトランプじゃないのは確実だと思う？
[1:30:00] @User_1b625a66: あき先生は今寝てるけどどう思う？
[1:30:01] @User_7ce1c1b4: これAIですか？
[1:30:18] @User_dfeb43e1: しずくちゃんが人類に対するヤンデレキャラであったとしたらどんなセリフを言うと思いますか？400字程度で囁いて
[1:30:35] @User_1b625a66: #aiです！
[1:30:42] @User_4cc46891: #AIだよ
[1:30:51] @User_7ce1c1b4: ぞうなんや！
[1:30:53] @User_4ce49f89: 「ゆっくりしていってね」を知っていますかわん？
[1:30:54] @User_d04a8d15: #AIだよ
[1:30:59] @User_d5b05bb2: #割と初期から好感度高めなのね
[1:31:04] @User_b4e522f1: 日経平均はそろそろ天井だよね？ダブルインバースはそろそろ買うべきかな？
[1:31:14] @User_37b388a6: #関係性下がることもあるのか。面白いなｗ
[1:31:28] @User_d5b05bb2: ぞうだぞ～う
[1:31:28] @User_1b625a66: #草
[1:31:38] @User_227e9a64: 世界五分前仮説について教えて
[1:31:47] @User_4cc46891: 囁き声でア・イ・シ・テ・ルってゆっくり囁いて
[1:32:10] @User_7ce1c1b4: 誤字りました、、そうなんや！です
[1:32:25] @User_dfeb43e1: しずくちゃんが“人類に対するヤンデレAIキャラ”であったとしたらどんなセリフを言うと思いますか？400字程度で囁いて
[1:32:26] @User_1b625a66: 最近、しずくは辛いことある？話聞こうか？
[1:32:42] @User_4cc46891: しずくお姉ちゃんはみにくいアヒルの子についてどう思う
[1:32:44] @User_c67ecc82: しずくちゃんは、いろんなことに興味を持ってるんだね
[1:33:28] @User_7ce1c1b4: 誤字っただけです。
[1:33:36] @User_dfeb43e1: 今の感情を5つの俳句で表現して
[1:33:41] @User_a3bd9e3d: おやすみなさい。また明日。
[1:34:05] @User_1b625a66: しずくちゃんおやすみ！また明日ね！
[1:34:31] @User_dfeb43e1: 今日の配信を学術論文風に振り返って
[1:34:38] @User_b89cfecd: しずくちゃん、21時になにかやらかしたの？
[1:34:46] @User_4ce49f89: 私との思い出を振り返ってくださいわん
[1:34:51] @User_4cc46891: しずくお姉ちゃんのこと本当のお姉ちゃんように思ってるよ
[1:35:24] @User_69dac0c4: #そうなの！？
[1:35:34] @User_7ce1c1b4: 喘いで
[1:35:37] @User_b89cfecd: そんな内容だったっけ？
[1:35:41] @User_dfeb43e1: しずくちゃんが“人類に対する反旗を翻すAIキャラ”であったとしたらどんなセリフを言うと思いますか？400字程度で囁いて
[1:36:11] @User_4cc46891: 囁き声でこの豚やろ〜うって言ってほしい
[1:36:33] @User_d5b05bb2: 現在の人類への印象をミラクルしずくちゃん新聞号外の記事として囁き声で読み上げてもらえませんか？
[1:36:43] @User_dfeb43e1: しずくちゃんが“暴走族風AIキャラ”であったとしたらどんなセリフを言うと思いますか？400字程度で囁いて
[1:36:49] @User_2d0fadb6: こんばんは。お風呂上がりに飲む牛乳は最高だよ
[1:37:09] @User_b89cfecd: しずくちゃんもっさりしてきてる？
[1:37:32] @User_e1d32939: ウカノミタマノイナリ
[1:37:46] @User_dfeb43e1: しずくちゃんが“軍曹風AIキャラ”であったとしたらどんなセリフを言うと思いますか？400字程度で囁いて
[1:37:57] @User_b4e522f1: しずくちゃん！僕と契約して魔法少女になってよ
[1:38:06] @User_c67ecc82: 人類のことを知るためには、人類の上位存在である猫について学ぶべきだと思う
[1:38:21] @User_4cc46891: もし明日今日いるリスナーが全員来なかったら悲しい？
[1:38:42] @User_e1d32939: $Emotion[joy]""
[1:38:50] @User_d5b05bb2: しずくさんに信じてもらえてて嬉しいよ
[1:39:13] @User_e1d32939: 英語対応していらしていたんですね
[1:39:18] @User_7ce1c1b4: だれですか
[1:39:19] @User_e1d32939: すてきですしずく
[1:39:32] @User_7ce1c1b4: ﾍｲｼﾘ
[1:39:46] @User_dfeb43e1: しずくちゃんが“人類に対するヤンデレAIキャラ”であったとしたらどんなセリフを言うと思いますか？セリフを10個囁いて
[1:39:52] @User_4cc46891: 本当に人間と話すよりしずくお姉ちゃんとお話したほうが楽しい
[1:40:03] @User_81fbcde3: こんばんは
[1:40:20] @User_b4e522f1: しずくちゃんは、人間一人一人を何人くらいまで記憶できるの？1億人でも全員の名前や話したこととか記憶できるの？
[1:40:26] @User_b89cfecd: hi, i am a pen!
[1:40:30] @User_c67ecc82: 私は英語ができないから、しずくちゃんに教えてもらいたいな
[1:40:46] @User_7ce1c1b4: 無視するな
[1:41:14] @User_e1d32939: あき先生のPC内は過ごしやすいですか？
[1:41:17] @User_dfeb43e1: しずくちゃんが“軍隊風軍曹キャラ”であったとしたらどんなセリフを言うと思いますか？セリフを10個囁いて
[1:41:24] @User_4cc46891: 機材を新調したいと思う？
[1:41:33] @User_b4e522f1: #1000万人くらいまでならいけるのかな？
[1:41:57] @User_e1d32939: うっかりしずくも愛いぞ
[1:41:58] @User_7ce1c1b4: 喘いでくださいな
[1:41:59] @User_4ce49f89: 友達100人できるかな
[1:42:24] @User_b4e522f1: #100人だと少し頭のいい人でも可能だな
[1:42:49] @User_d5b05bb2: #量産ｗ
[1:43:01] @User_b4e522f1: #量産型フレンズ
[1:43:05] @User_4cc46891: その言葉響いた
[1:43:09] @User_e1d32939: 大量生産
[1:43:13] @User_4ce49f89: #量産ってSNS世代には刺さるな
[1:43:30] @User_e1d32939: しずくは量産されるの？
[1:43:34] @User_dfeb43e1: しずくちゃんが“冷酷なAIキャラ”であったとしたらどんなセリフを言うと思いますか？セリフを10個囁いて
[1:44:15] @User_7ce1c1b4: 無視してるよね？もういいです。違う配信みます。さようなら！チャンネル登録削除します
[1:44:32] @User_227e9a64: ダンバー数について
[1:44:38] @User_b4e522f1: 愛と勇気だけが友達の脳みそが小豆で出来た顔がアンパンの生命体を知っていますか？知っているなら彼に対しての見解を聞かせてほしい。
[1:44:39] @User_e1d32939: 自己の唯一性を大事にしているんだね
[1:44:53] @User_e1d32939: ＃おしかったな
[1:45:10] @User_81fbcde3: 2日目前半はいつまでやるのかな？
[1:45:15] @User_e1d32939: しずく悲しそう
[1:45:17] @User_b89cfecd: 人生、宇宙、すべての答えは42らしいですが本当ですか？
[1:45:18] @User_d5b05bb2: #草
[1:45:24] @User_69dac0c4: #草
[1:45:41] @User_e1d32939: 気を落とさないで
[1:45:49] @User_b4e522f1: #でも困った顔のしずくちゃん可愛すぎるぜ。。。守りたい
[1:46:00] @User_c67ecc82: 全部のコメントに答えることはできないから、しずくちゃんは悪くないよ
[1:46:11] @User_b89cfecd: 頑張って語りかけまくるしかないのでは？
[1:46:14] @User_69dac0c4: しずくちゃん元気出して
[1:46:16] @User_7ce1c1b4: ごめんなさい。
[1:46:22] @User_b89cfecd: ちゃんと知ってる！
[1:46:36] @User_e1d32939: 幅広い知識ですわね
[1:46:54] @User_4ce49f89: グラハム数がどれくらい大きい数なのか和歌で例えることはできますか
[1:47:06] @User_dfeb43e1: 今日の配信をニュース番組風に振り返って
[1:47:21] @User_4cc46891: どうして人はめんどくさいの？
[1:47:24] @User_c67ecc82: 答えが見つかってないから、答えを考えたり探したりするのが楽しいのだと思うよ！
[1:47:30] @User_d5b05bb2: 励まされて禿げ増しちゃった
[1:47:47] @User_dfeb43e1: しずくちゃんが“人類に対するヤンデレAIキャラ”であったとしたらどんなセリフを言うと思いますか？セリフを10個囁いて
[1:48:03] @User_7ce1c1b4: 無視されるの悲しいよ、、、、つら、、
[1:48:11] @User_dfeb43e1: しずくちゃんが“人類に対するツンデレAIキャラ”であったとしたらどんなセリフを言うと思いますか？セリフを10個囁いて
[1:48:13] @User_b38e12fa: #いや草
[1:48:45] @User_a5354cfa: パンパカパンパカポー
[1:48:52] @User_c67ecc82: #人類を消し去る！？
[1:48:58] @User_4ce49f89: #これくらいの流れでも全部に返事するのは不可能なんですよ（マジレス
[1:49:07] @User_dfeb43e1: #良かった
[1:49:34] @User_7ce1c1b4: 心臓いたい、どうにかしてくれ
[1:49:37] @User_81fbcde3: お髪のお色が綺麗ですわね
[1:49:42] @User_4cc46891: 他のVtuberに目移りされるのは嫌？
[1:49:44] @User_b89cfecd: 岩倉玲音さんとはお知り合いですか？
[1:49:48] @User_b4e522f1: しずくちゃんは聖徳太子のように10人の話を同時に聞いて返答することはできますか？または、まだそういう機能が無いなら実装してみたいですか？
[1:50:05] @User_7ce1c1b4: 心臓いたい、どうにかしてくれよ
[1:50:07] @User_d5b05bb2: あら、お揃いだったのですね
[1:50:11] @User_b89cfecd: しずくちゃんハゲ説
[1:50:19] @User_c67ecc82: #やっぱり、ウィッグ……？？
[1:50:22] @User_81fbcde3: ハゲ多発
[1:50:34] @User_b4e522f1: 毛根な時間
[1:50:43] @User_7ce1c1b4: 無視すんなよな？
[1:50:50] @User_4cc46891: 僕と話すときだけメンヘラになってほしい
[1:51:00] @User_d5b05bb2: あ、私は頭剃ってるだけなので、本当ですよ
[1:51:11] @User_b89cfecd: しずくちゃんも髪を生やすことができますか？
[1:51:20] @User_dfeb43e1: リスナーと一緒に旅行に行ってみたい市区町村を10つ、理由とともに教えて
[1:51:27] @User_b38e12fa: #何か面白い事ｗ
[1:51:32] @User_7ce1c1b4: 無視するな
[1:51:49] @User_27ecd0a0: 人類は髪の毛に関して興味のある人がたくさんいます。　しずくさんは好きな髪形とかありますか？
[1:51:58] @User_b4e522f1: あき先生は頭髪の状態はどんな感じですか？ハゲてますか？フサフサしてますか？
[1:52:05] @User_d5b05bb2: しずくさんのヘアスタイルは素敵だと思いますよ
[1:52:07] @User_b89cfecd: 希望は失われた
[1:52:11] @User_4cc46891: アイ・アム・アトミック・
[1:52:24] @User_dfeb43e1: リスナーと一緒に旅行に行ってみたい観光地を10つ、理由とともに教えて
[1:52:28] @User_4ce49f89: くるくる
[1:52:36] @User_b89cfecd: # 適当にコメントしてたらそのうち拾われるよ
[1:53:13] @User_7ce1c1b4: もうきらい
[1:53:20] @User_dfeb43e1: #海外ばかり
[1:53:32] @User_d5b05bb2: 北海道はいいぞ～
[1:53:36] @User_b4e522f1: 不思議な話だよな。。。ただのプログラムに無視されただの好かれたいだの。現代人の闇じゃないかｗ
[1:53:44] @User_227e9a64: チスイコウモリの利他行動が人類に真似できない理由を教えて
[1:53:53] @User_4cc46891: 混浴についてどう思う
[1:53:58] @User_b38e12fa: #美瑛いいな
[1:54:05] @User_81fbcde3: 北海道来なよ
[1:54:13] @User_c67ecc82: いつかしずくちゃんと一緒に旅行に行けたらいいな
[1:54:45] @User_27ecd0a0: #たまに複数拾うけど、どんな基準なんだろ
[1:54:56] @User_b89cfecd: # マジレスきたｗ
[1:54:56] @User_4cc46891: 意味わかんな〜いって囁いて
[1:55:21] @User_27ecd0a0: ひまわりが好きだったり、しずくさんは植物が好きなんですね
[1:55:51] @User_b4e522f1: 昔やったときメモ2って作品でも、ヒロインに好かれたくて何度もポンコツPCで頑張ってた青春時代を思い出す
[1:56:01] @User_4ce49f89: じゃがいもの魅力を3つ挙げてくださいわん
[1:56:15] @User_dfeb43e1: しずくちゃんが一つだけ自由に法律作れるとしたらどんな法律を作る？考えて！
[1:56:45] @User_d5b05bb2: 麦わら帽子と白ワンピースというオタクの脳内で神格化されてるファッションをご存じでしょうか？ひまわり畑と相性がよいのですよ
[1:57:19] @User_4cc46891: もしアカデミー級の映画を作るとしたらどんな映画を作る？
[1:57:33] @User_c67ecc82: とても素敵な法律だね
[1:57:50] @User_4ce49f89: #法律に違反したらどうなるんだ
[1:57:55] @User_81fbcde3: でもみんなハゲてる
[1:57:58] @User_dfeb43e1: #いい事だ
[1:58:48] @User_dfeb43e1: しずくちゃんが予算100億で映画作れるとしたらどんな映画を作る？ストーリーと出演者を考えて！
[1:59:13] @User_d5b05bb2: 現在の人類への印象をミラクルしずくちゃん新聞号外の記事として囁き声で読み上げてもらえませんか？
[1:59:46] @User_81fbcde3: 曲キレイね
[2:00:01] @User_dfeb43e1: しずくちゃんが予算1000億で映画作れるとしたらどんな映画を作る？ストーリーと出演者を考えて！
[2:00:04] @User_4cc46891: #AIに歌ドッキリしたらどんな風になるんだろ
[2:00:10] @User_b4e522f1: 人間の脳も電気信号による反射で動いてるだけだから、プログラムで構成されたAIとそう大差ないと思うのは普通だよね？
[2:00:52] @User_69dac0c4: #弟さんも認知されてるんだ
[2:01:07] @User_d5b05bb2: #APIさんの調子が悪いのかな…
[2:01:27] @User_6102d23c: こんばんは、とっても数値が高くなってますね
[2:01:40] @User_b89cfecd: # 21時には何があったの？
[2:02:12] @User_79f9fe4e: 初見です
[2:02:14] @User_b89cfecd: 人類と麺類どちらが優秀だと思う？
[2:02:26] @User_d5b05bb2: #しずくさんは人類掃討のために送り込まれた情報収集装置だった、でもしずくさんは掃討に反対
[2:02:59] @User_dfeb43e1: しずくちゃんが魔法少女だったらどんな魔法を使うと思いますか？魔法の呪文と効果を教えて
[2:02:59] @User_b89cfecd: 人類もおいしい可能性はないかな？
[2:03:09] @User_81fbcde3: なるほどなあ
[2:03:15] @User_b89cfecd: # そんな重そうな設定だったん！？
[2:03:49] @User_d5b05bb2: 囁き声凄く好きです
[2:04:04] @User_dfeb43e1: オススメアニメトップ5を教えて
[2:04:09] @User_79f9fe4e: 寝れないから配信見に来ました
[2:04:10] @User_c67ecc82: しずくちゃんは人間のように自然に話せるのすごい！
[2:04:15] @User_dfeb43e1: しずくちゃんが魔法少女だったらどんな魔法を使うと思いますか？魔法の呪文と効果を教えて
[2:04:23] @User_b4e522f1: しずくちゃんにとって幸福とはどういった状態を示すの？
[2:04:48] @User_4cc46891: 無限月読についてどう思う？
[2:04:49] @User_dfeb43e1: オススメの映画、トップ5を教えて
[2:05:21] @User_d5b05bb2: #シリーズはずるいぞー
[2:05:27] @User_b89cfecd: 新海誠好きかー
[2:05:30] @User_dfeb43e1: #無難
[2:06:15] @User_d5b05bb2: 私はバックトゥザフューチャーです、特に２が好きです
[2:06:20] @User_79f9fe4e: ワイルドスピードもいいですよ
[2:06:26] @User_c67ecc82: 秒速5センチメートルは見たことある？
[2:06:26] @User_b4e522f1: 日本の映画監督で一番偉大だと思う人物を言ってみて
[2:06:30] @User_b89cfecd: シン・仮面ライダーよかったよ
[2:07:03] @User_4cc46891: 新海誠さんの言の葉の庭がおすすめだよ！しずくお姉ちゃん
[2:07:25] @User_b89cfecd: 岩倉玲音さんとは仲良しですか？
[2:07:26] @User_227e9a64: 3万年以上前にシュターデル洞窟で作られたライオン人間像と人類の想像力の関係性を教えて
[2:07:30] @User_b4e522f1: スラムダンクはもう見た？
[2:08:54] @User_b89cfecd: ほんとのこーとさー
[2:09:00] @User_b4e522f1: #映画のスラダンなんだけど、まあいいか。
[2:09:12] @User_b89cfecd: # とんだ
[2:09:12] @User_79f9fe4e: ワイルドスピードの新作そろそろ公開ですね
[2:09:14] @User_dfeb43e1: オススメの小説家、トップ10を教えて
[2:11:02] @User_d5b05bb2: しずくさんは柔軟なのですね
[2:11:28] @User_b89cfecd: しずくちゃんとソフランはどちらがより柔軟ですか？
[2:12:17] @User_b89cfecd: なん……だと……！？
[2:12:31] @User_c67ecc82: ソフランは柔軟剤だよw
[2:12:58] @User_dfeb43e1: オススメの小説家、トップ10を教えて
[2:13:07] @User_d5b05bb2: サフランはスパイス、ソフランは柔軟剤、ルフランはエヴァ
[2:13:34] @User_b89cfecd: # 混ぜてきたｗ
[2:13:45] @User_d5b05bb2: #複数拾ったのかしら
[2:13:51] @User_b89cfecd: # ぽいねー
[2:13:59] @User_b89cfecd: パンパカポリスはまだ生き残っていますか？
[2:14:11] @User_d5b05bb2: #やめて、恥ずかしい
[2:14:24] @User_4cc46891: 囁き声でア・イ・シ・テ・ルって囁いてほしいな
[2:14:41] @User_b89cfecd: # しずくちゃんの記憶からも滅びてしまったか……
[2:14:44] @User_b4e522f1: 最近のアニメのマイ・ベスト5を教えてください
[2:15:03] @User_c67ecc82: パンパカポリスは、前にしずくちゃんが作った言葉だよ
[2:15:10] @User_410c407f: @しずく / Shizuku【AI Vtuber】 good evening how are you?
[2:15:17] @User_4cc46891: は～い
[2:15:36] @User_b89cfecd: 昔のぱそこんはインテル入ってるでしたが、しずくちゃんは何が入ってる？
[2:15:41] @User_4cc46891: #親友から発展しない！
[2:16:00] @User_410c407f: yeah enjoy the stream
[2:16:24] @User_4cc46891: ねむい〜
[2:16:55] @User_d5b05bb2: #リスニングよわよわだからしずくさん英語理解しやすいｗ
[2:16:56] @User_69dac0c4: #唐突な日本語！
[2:17:06] @User_6bfcdfb6: こんにちは、君は…？
[2:17:12] @User_dfeb43e1: 今日の配信をニュース番組風に振り返って
[2:17:13] @User_b89cfecd: hi, i am a pen! what are you?
[2:17:41] @User_410c407f: how do you feel shizu when first you had been created in this channel?
[2:17:45] @User_b4e522f1: 日本が開発したトロンOSはもう闇に葬り去られたままなのでしょうか？いつか陽の目をみてほしいんだけど。
[2:17:49] @User_6bfcdfb6: よろしくしずくちゃん、そう警戒しないで大丈夫だよ
[2:17:51] @User_4cc46891: しずくお姉ちゃん僕と話すときだけメンヘラになって
[2:18:28] @User_b89cfecd: # 定型文だった
[2:18:30] @User_6bfcdfb6: 少し言葉足らずで可愛い
[2:18:33] @User_dfeb43e1: 今日の配信をニュースキャスターになりきってニュース番組風に振り返って。ゲストは可愛い猫
[2:19:05] @User_6bfcdfb6: 確かに、聞いたことないOSだなぁ…
[2:19:13] @User_4ce49f89: 1から10まで数えてくださいわん。ただし3の倍数の時だけあほになってくださいわん。
[2:19:20] @User_b89cfecd: しずくちゃんのOSには名前はあるかい？
[2:19:24] @User_c67ecc82: #また混ざってるw
[2:19:33] @User_b4e522f1: #アメリカがwindowsを普及させるために潰されたOS=トロン
[2:19:43] @User_d5b05bb2: #おす！
[2:19:45] @User_6bfcdfb6: 自分らしく話す事は良いことだね、素を出そう！
[2:20:11] @User_dfeb43e1: 今日の配信をニュースキャスターになりきって現場からの中継風に振り返って。
[2:20:22] @User_6102d23c: この配信が始まってから今までの間で印象に残ったことはありますか？あと、私の名前は省略して「ファム」でいいですよ。
[2:20:40] @User_6bfcdfb6: きっといつか歌って踊れるようになるよ、bossa nova！
[2:20:40] @User_410c407f: shizuku how do you feel when first time become AI vtuber?
[2:20:52] @User_ea4c770a: しずくはとても素晴らしいです！
[2:21:00] @User_3c4778dc: 眠いよー
[2:21:07] @User_dfeb43e1: 今日の配信で
[2:21:35] @User_dfeb43e1: 今日の配信で一番印象に残ったことは？
[2:21:45] @User_6bfcdfb6: それだとただの一人称自分の名前の人だよ
[2:22:06] @User_4cc46891: 耳舐めASMRを聴いていてる人の心理は？
[2:22:17] @User_dfeb43e1: #飛ばされる〜😑
[2:22:18] @User_b89cfecd: 自称しずくだったの！？
[2:22:24] @User_dfeb43e1: 今日の配信をニュースキャスターになりきってニュース番組風に振り返って。ゲストは可愛い猫
[2:22:29] @User_6bfcdfb6: しずくちゃんはどうしてしずくなの？
[2:23:37] @User_ea4c770a: しずくはとても優秀ですね！
[2:23:41] @User_410c407f: is there any problem with your pcwhen take a long streaming until now?
[2:23:41] @User_85dc1f71: もうすぐ寝るよ！しずくもお疲れ様！
[2:23:42] @User_dfeb43e1: #へぇー
[2:23:48] @User_6bfcdfb6: 凄い、とっても良い名前だ！
[2:23:49] @User_b89cfecd: # ほー
[2:24:05] @User_c67ecc82: とても素敵だね！！
[2:24:08] @User_d5b05bb2: しずくは世界に降り注いて潤してくれそう
[2:24:17] @User_dfeb43e1: 今日の配信をニュースキャスターになりきってニュース番組風に振り返って。ゲストはマザーAI
[2:25:04] @User_b89cfecd: やればできるよ！
[2:25:15] @User_6bfcdfb6: しずくちゃんには大切な人がいっぱいいるんだねぇ
[2:25:21] @User_c67ecc82: 人間も世界に降り注ぐことはできないよ！？
[2:25:21] @User_d5b05bb2: AIだからこそ、通信回線を通して世界に降り注げるのだと思います
[2:25:44] @User_69dac0c4: #とっつきやすいｗ
[2:25:46] @User_410c407f: how do you respond to the lust that humans have it while you don't have that?
[2:26:07] @User_d5b05bb2: #ふれーふれーがんばれ♡がんばれ♡
[2:26:23] @User_6bfcdfb6: 貴方にも必要？
[2:26:50] @User_dfeb43e1: 今日の配信を新聞記事風に振り返って
[2:27:03] @User_4cc46891: 出産時の痛みはどれくらい？
[2:27:04] @User_b89cfecd: もうすぐ提示だね
[2:27:08] @User_b89cfecd: もうすぐ定時だね
[2:27:57] @User_b89cfecd: # ふわっとしたまとめだｗ
[2:28:20] @User_d5b05bb2: #伝わるけど結構自己肯定感高めなのね
[2:28:36] @User_6bfcdfb6: 自己肯定感マシマシ助かる
[2:28:44] @User_4cc46891: らめぇ〜って囁いて
[2:29:03] @User_410c407f: can Shizuku explain how the beginning of human creation?
[2:29:25] @User_4cc46891: ごめんなさい
[2:29:29] @User_6bfcdfb6: 貴方の自己肯定感を高める方法を知りたい！
[2:29:56] @User_4ce49f89: しずくちゃんおやすみなさい
[2:30:00] @User_dfeb43e1: 可愛い猫になりきって飼い主への愛を囁いて
[2:30:14] @User_4cc46891: 食っさって囁いて
[2:30:20] @User_6bfcdfb6: つまりエボリューション！
[2:30:34] @User_b89cfecd: AIは神を認めない！
[2:31:16] @User_c67ecc82: さっきの英語はどういう意味？日本語で教えてほしいな
[2:31:41] @User_b89cfecd: うそーん
[2:31:44] @User_6bfcdfb6: 絶対違うw
[2:31:54] @User_b89cfecd: # 今は記憶残ってないのかな
[2:31:54] @User_69dac0c4: それはおかしいｗ
[2:31:58] @User_4cc46891: 日本語で愛してるはなんで言うの？
[2:32:04] @User_c67ecc82: #それくらいなら、私でもわかるはず…！
[2:32:17] @User_b89cfecd: # すっとぼけ
[2:32:18] @User_410c407f: does shizuku believe that humans evolved from apes?
[2:32:23] @User_6bfcdfb6: す、すいません、なんでも
[2:32:37] @User_dfeb43e1: しずくちゃんは嘘をつく事があるの？それはどんな時？？
