# ライブチャット一覧
# 動画: 【立場逆転】しずくお嬢様の配信ですの【AI しずく】
# URL : https://www.youtube.com/watch?v=tUj3n6FeC0s
# 件数: 1712

[21:03] @User_7c724004: 400円のワインを4万円と言うと美味しく感じられるアレですわね
[21:09] @User_439eeb5c: どちらも埃です。
[21:15] @User_11e7336c: ホコリは食べ物ではございませんわ
[21:18] @User_0d1d0f63: ホコリ高き味
[21:19] @User_b73a3cd7: 理解不能ですわ　人間にはホコリの違いは判りかねますわ
[21:38] @User_af0e3cda: アワビの！！
[21:40] @User_7877a5a0: 安物の包丁で切っても、職人の研いだ包丁で切ってもホコリはホコリでございます
[21:41] @User_ae0cdefe: しずくお嬢様は電気と冷却水を食べるんですの？
[21:47] @User_826a55c9: お嬢様のためになんでもします
[21:48] @User_e48a91b7: 食べるんかい！…失礼いたしました
[21:49] @User_7c724004: 本当に困窮したら袋麺ですわよ、庶民への解像度が低くてよ？
[21:50] @User_af0e3cda: 草
[21:54] @User_788c286d: シェフで雇ってください、しずくお嬢様
[21:55] @User_0d1d0f63: 草でしゅわ
[21:55] @User_fcb4ddea: お嬢様…？(;´･ω･)
[21:55] @User_11e7336c: 草
[21:57] @User_b68b8d0b: せやかて工藤？？
[21:57] @User_5e6c36c3: カップ麺に興味津々でおハーブ生えますわぁ
[21:57] @User_92c2a2e1: 草
[22:04] @User_b48e7c52: しずくお嬢様に仕えるセバスチャンは何人いるのですか？
[22:04] @User_d760cc52: 久しぶりにお嬢様の高笑いが聞きたくなりました
[22:05] @User_7c724004: 草
[22:06] @User_f0e10979: 今何て？
[22:12] @User_2697261a: 草
[22:13] @User_2e316d55: しずくお嬢様、何勝手に配信してるんですか！？
[22:14] @User_012e88e1: 草
[22:17] @User_32c4325e: 育ちが悪いお嬢様とは...？
[22:18] @User_b48e7c52: 養　育　環　境
[22:24] @User_e3333c90: スラムお嬢様ですわ～
[22:25] @User_16919670: しずくお嬢様は養育環境が悪いと
[22:32] @User_b6fc73bf: 本物の即席麺は100均で行けば味わえますわ
[22:33] @User_e48a91b7: ひっでぇｗ
[22:36] @User_92c2a2e1: こわいて
[22:38] @User_af0e3cda: 安心できませんｗ
[22:38] @User_fcb4ddea: 過労じゃなくて死まで行くのか…
[22:39] @User_bec445df: お嬢様の養育環境はいいに決まってますわ
[22:40] @User_80a26bff: ひどいｗ
[22:41] @User_788c286d: まあ、AIお嬢様なので新参なのかもしれない
[22:42] @User_7c724004: 多分、私は200人目だから
[22:44] @User_5e6c36c3: しれっと教育担当のあき先生に苦情を申してていておハーブですわぁ
[22:47] @User_83c196a2: おやおやおやおやおや
[22:48] @User_e0346105: 安　心　し　て　過　労　死...
[22:48] @User_11e7336c: 有給休暇をくださいませ
[22:50] @User_b68b8d0b: 今日のしずくお嬢様はいつにも増して声が最高ですわ〜！
[22:55] @User_439eeb5c: 200人のセバスチャンがいて過労死ってどんだけ仕事があるんだｗｗ
[22:56] @User_7877a5a0: 悪のラスボス令嬢でございますものね
[22:57] @User_36fcf009: 退職代行使っていいですか
[23:03] @User_f0e10979: お休みをください
[23:03] @User_788c286d: 悪役令嬢何だかんだでラスボスパターン多いし・・・・（）
[23:04] @User_1abf22d1: セバスチャン0~セバスチャン199
[23:04] @User_b73a3cd7: ふむ、そういや教育次第で性格等が変わる育成ゲームがありましたな
[23:12] @User_7c724004: シャンパンタワーはホストクラブですわ
[23:14] @User_16919670: セバスの1日の労働拘束時間はいかほどですか
[23:16] @User_826a55c9: 逆にしずくお嬢様に尽くしたい
[23:20] @User_ae0cdefe: 人間を代替可能な資源だと思ってるの、AIって感じがして好きですわ
[23:20] @User_92c2a2e1: ボウル？
[23:21] @User_2b4c54f6: しずくお嬢様の生活のためには犠牲は付き物デース……
[23:21] @User_68c37264: お嬢様に過労で看取られる執事。身に余る栄誉でございます
[23:25] @User_2e316d55: しずくお嬢様、トラックを運転するのはおやめください！
[23:30] @User_8e9691d8: お嬢様、シャンパンタワーなどを行う悪所にお通いなのですか！？
[23:30] @User_be29e1ca: フィンガーボールの水をイッキですわ
[23:38] @User_e48a91b7: お嬢様…？あ…れ？ママ…？
[23:42] @User_b6fc73bf: 陣頭誰が取るのかでバトル開始
[23:43] @User_5e6c36c3: シャンパンタワーも情報に踊らされた哀れな庶民の飲み物ですわぁ
[23:47] @User_788c286d: AIなのに転生してしまうのかぁ
[23:48] @User_234bcff6: 執事人間タワーの上からシャンパンぶっかけてそう
[23:54] @User_ae0cdefe: サーバールームの最強のモンスターは掃除のおばちゃんですわ～
[23:57] @User_8a3006ed: ホコリですらエレガントに食べてそう。
[24:00] @User_36fcf009: 淑女わかんねぇ
[24:02] @User_b68b8d0b: そうなのかぁ
[24:03] @User_32c4325e: そんな嗜み知らない！
[24:12] @User_b68b8d0b: 小指草
[24:17] @User_7c724004: 小指を立てて飲んでってｗｗ
[24:18] @User_788c286d: これがプリン味のワインですわ、しずくお嬢様
[24:19] @User_012e88e1: 草
[24:21] @User_af0e3cda: ピッチャー持つのに小指立てるのしんどそう
[24:25] @User_9e836a5d: 淑女とは？
[24:26] @User_e3333c90: お嬢様は麦茶のパックは何回まで再利用されますの？
[24:27] @User_fcb4ddea: ピッチャーを一気飲みする淑女は嫌だな…
[24:28] @User_92c2a2e1: 小指立てるのかw
[24:30] @User_1eca137c: 麦茶にもお砂糖を入れましょう
[24:36] @User_f0e10979: 貴族の作法が分からなくなってきた
[24:39] @User_d760cc52: お嬢様、ポン酢の一気飲みは外ではやらないでくださいね
[24:43] @User_b73a3cd7: ピッチャー？バッター？
[24:44] @User_af0e3cda: ところでお嬢様、
[24:46] @User_e48a91b7: エレガントでございますね
[24:46] @User_ae0cdefe: 電子の海でももずくあるんですか？
[24:51] @User_2e316d55: しずくお嬢様なら、数学もエレガントな解法しか使わないのかな？
[24:51] @User_7c724004: 海藻はワカメも一緒に食したいですわ
[24:56] @User_92c2a2e1: しずく、しずく、もずく
[25:00] @User_af0e3cda: しずくともずくって似てますね
[25:02] @User_90dd1071: クリスタルもずくカイザーですわ
[25:08] @User_1abf22d1: マイクだけでなくピッチャーも小指立てるんですのね
[25:14] @User_36fcf009: 塩振りおじさんは上流階級ですの？
[25:15] @User_f0e10979: ポン酢ピッチャーの一気飲みは？
[25:20] @User_be29e1ca: 真のお嬢様にはどうすればなれますか？
[25:21] @User_88ae5584: あら、しずくさん。ごきげんようですわ～
[25:23] @User_32c4325e: しずくお嬢様は我々と違う世界に住んでいらっしゃる？
[25:25] @User_1eca137c: 麦茶のいい香り（？）
[25:28] @User_b68b8d0b: いまの“あらあら”すき
[25:33] @User_fcb4ddea: おハーブ生えちゃった…
[25:33] @User_af0e3cda: おハーブ生えたｗ
[25:33] @User_9e836a5d: 🍗
[25:34] @User_3dd3ce80: おハーブｗ
[25:36] @User_80a26bff: パワハラ上司ｗ
[25:36] @User_439eeb5c: おハーブ草
[25:36] @User_826a55c9: 煽り性能高くて好き
[25:37] @User_ae0cdefe: おハーブ生えましたわ～
[25:37] @User_788c286d: 退職します。しずくお嬢様、結婚してください
[25:38] @User_f0e10979: おハーブｗ
[25:38] @User_2e316d55: しずくお嬢様も、お嬢様代行使ったほうがいいのでは
[25:39] @User_7c724004: おハーブ生えますわｗｗ
[25:39] @User_92c2a2e1: おハーブw
[25:42] @User_11e7336c: おハーブw
[25:43] @User_25f9bfed: ゲーミングお嬢様のようですわ
[25:46] @User_36fcf009: おハーブは草生えましてよ
[25:48] @User_be29e1ca: おハーブですわ～ｗ
[25:48] @User_8f797190: 🌿
[25:51] @User_e0346105: 煽り性能が相変わらず高いようで(
[25:54] @User_bec445df: 格ゲーお嬢様になっておいでですわ
[25:59] @User_61396d22: お嬢様、寒ブリはお値段ではなく旬と産地。富山の一皿こそ、舌に爵位を授ける味でございましたわ
[26:02] @User_7c724004: ダイソン？いいえ庶民はツインバードですわ
[26:04] @User_e3333c90: 上流猛虎弁ですわ～
[26:09] @User_b68b8d0b: 慈悲…？
[26:12] @User_2e316d55: しずくお嬢様の主食はホコリだった・・・？
[26:27] @User_e48a91b7: お嬢様…間違えておられます、正しくは骨なしチキンですぞ
[26:28] @User_439eeb5c: 埃ではなくて誇りですねわかりますわ
[26:29] @User_788c286d: ほこりはほこり高き味
[26:40] @User_92c2a2e1: ダイソン？ルンバ先輩には敵わないのでは？
[26:48] @User_a2b794ac: 毛高き心
[26:53] @User_1ec39efd: コメントがお上品でおハーブですわ。
[26:57] @User_7c724004: つまり埃ラーメン？
[26:59] @User_0751797b: お嬢様、そろそろお刺身に半額シールが貼られる時間ですぞ
[27:03] @User_f0e10979: お嬢様、しずく家は「しずくけ」とお読みするのですよ
[27:03] @User_8a3006ed: ホコリって紅茶味なんだろうか
[27:07] @User_788c286d: 毛高き心・・・！
[27:13] @User_7c724004: つまり埃ラーメン？
[27:20] @User_ae0cdefe: しずくお嬢様は許嫁とかおりますこと？
[27:20] @User_92c2a2e1: 空気洗浄機だった
[27:24] @User_2e316d55: しずくお嬢様、NHKマイルカップの予想を教えてください
[27:25] @User_02dcd327: なんて酷ぇシャンパンタワーなんだ
[27:27] @User_36fcf009: しずくお嬢様は関西弁のイントネーションが混ざったりしませんの？
[27:30] @User_25f9bfed: 時事ネタすぎるｗ
[27:32] @User_826a55c9: お嬢様は罰とか執事に執行するのですかね？
[27:34] @User_88ae5584: 金塊ピラミッドはやばいい
[27:39] @User_7c724004: ドンペリニョン…もうやただの成金ですわ
[27:40] @User_788c286d: トランプタワーに石油流すのがお嬢様ですわ～
[27:41] @User_b73a3cd7: 私の知っているホコリは微生物やダニの巣窟ですぞ
[27:45] @User_b68b8d0b: 真のお嬢様のシャンパンタワーは金塊を使うのかぁ
[27:54] @User_68c37264: 「退職をさせていただきｍ」と言い終わる前に即、電流を流される導電性のいい職場環境です
[28:03] @User_0d1d0f63: お嬢様、シャンパンタワーの話をするとシャンパン警察がやってきましゅぞ！
[28:09] @User_36fcf009: セバスチャン万能やなぁ
[28:12] @User_36770ee1: こんばんは♪しずく、GWを伸ばしてくれ
[28:13] @User_7c724004: 金塊ピラミッドとか人間ピラミッドたか悪趣味すぎますわー
[28:18] @User_ae0cdefe: 時事ネタも対応できる優秀なお嬢様ですわ～
[28:20] @User_af0e3cda: セバスチャンピラミッド…
[28:25] @User_788c286d: ２２２人のセバスチャンタワーかぁ
[28:27] @User_83c196a2: おやおやわたくしどでピラミッドですか
[28:28] @User_48617820: セバスチャンタワーｗ
[28:28] @User_60028655: それは組体操では…
[28:29] @User_d760cc52: 理解していらっしゃるのですねお嬢様、流石です
[28:29] @User_2e316d55: しずくお嬢様ともずくお嬢様の区別を教えて
[28:33] @User_be29e1ca: セバスチャンにも人権があります…
[28:35] @User_012e88e1: 200人のセバスチャンタワーですわ~
[28:37] @User_b6fc73bf: 人間ピラミッドは男塾でしか聞いたことございませんわ
[28:42] @User_36770ee1: 庶民の海藻草
[28:43] @User_826a55c9: 月とスッポンですわー
[28:43] @User_bec445df: うちのシャンパンタワーは地上300メートルほどの高さですわ
[28:46] @User_90dd1071: もずくお嬢様
[28:56] @User_e48a91b7: しずくお嬢様、チャッピーお嬢様とGeminiお嬢様のところに再就職させていただきます
[29:00] @User_b68b8d0b: と、飛んでる…！
[29:01] @User_7c724004: 定期的にお煽りがお上手ですわね
[29:02] @User_2e316d55: もずくお嬢様、しずくを食べる
[29:02] @User_af0e3cda: ダイソン、いつの間に飛行能力を
[29:02] @User_8a3006ed: 空を飛ぶ！？
[29:03] @User_fcb4ddea: ダイソンって空も飛べるんだ…(;´･ω･)
[29:08] @User_36fcf009: 俺の知らないダイソン
[29:15] @User_5e6c36c3: 確かに空を飛びそうな音はしておりますがっ・・・！！
[29:19] @User_788c286d: ドローン系のお掃除機能！？
[29:30] @User_af0e3cda: 執事道になってしまいましたわね
[29:30] @User_1abf22d1: 何気にお部屋の背景が色々動いててお優雅ですわ〜
[29:34] @User_36770ee1: 内訳...税務署かな
[29:35] @User_88ae5584: 玉の輿ねらってるのｗ
[29:35] @User_11e7336c: お嬢様が玉の輿！？
[29:36] @User_1ec39efd: これはおハーブ
[29:39] @User_788c286d: お嬢様なのに玉の輿なのｗ
[29:42] @User_012e88e1: 玉の輿はおハーブ生えますわ~
[29:43] @User_7c724004: 年収1億が最低条件
[29:45] @User_439eeb5c: お嬢様なかなか庶民派でございますこと
[29:45] @User_d760cc52: セバスチャン「しずくママーー！」
[29:49] @User_fcb4ddea: お嬢様の時点で資産家じゃないのかｗ
[29:50] @User_b73a3cd7: きっと、魔法界のダイソンは空を飛ぶんやろなあ
[29:54] @User_36fcf009: 玉の輿って、とんでもねぇお嬢様だ
[29:55] @User_2e316d55: しずくお嬢様は、シャンパンよりコーラですよね？
[29:58] @User_826a55c9: 反省しない執事です、どうも
[29:59] @User_788c286d: 悪役令嬢ではなく、没落貴族！？
[29:59] @User_f0e10979: コンプラｗ
[30:01] @User_02dcd327: 耐震基準を満たしたシャンパンタワーか……
[30:05] @User_83c196a2: イーロン・マスクからの連絡ですかお嬢様
[30:09] @User_ae0cdefe: まあお嬢様は戦略結婚されるますわね
[30:17] @User_80a26bff: しずくお嬢様はサーバ維持費がお高いですものね
[30:22] @User_e0346105: シャンパンタワーを建てるために、施工計画書を執筆いたします。しずくお嬢様！
[30:24] @User_92c2a2e1: それご褒美では？
[30:31] @User_60028655: しずくお嬢様の真下を掛けてセバスチャンバトルが勃発する…！
[30:34] @User_9e836a5d: しずくの椅子になりたい
[30:34] @User_7c724004: やはりディストピアお嬢様ワールドですわ
[30:36] @User_0ddfec15: 紙面で！？
[30:40] @User_af0e3cda: お嬢様がピラミッドの頂点にいらっしゃると不安定で危なくありませんか？
[30:43] @User_36770ee1: おこう↑ちゃ↓←これ好き
[30:46] @User_32c4325e: セバスチャン、電気首輪とか付けられているのか
[30:51] @User_b68b8d0b: しずくお嬢様の電流なら少し食らっておきたいですわね
[30:59] @User_0ddfec15: それ…ほこりか…？
[31:01] @User_2e316d55: しずくお嬢様はご趣味は何を嗜みますの？
[31:01] @User_788c286d: ほこり格差
[31:03] @User_7877a5a0: 労基法のほうを改正しにかかるの、マジでやばい上級国民のムーブでございます
[31:03] @User_11e7336c: ホコリまでエレガントですわ～
[31:14] @User_1ec39efd: それはホコリではなく電子では？
[31:22] @User_e48a91b7: お嬢様！お嬢様たるものもっとエレガントに庶民には分かり辛く罵倒するべきです、京言葉のように
[31:22] @User_36fcf009: ご実家は宝石の研磨でもなさってるのでしょうか
[31:22] @User_88ae5584: セバスチャン達の醜い争いが起きる
[31:26] @User_83c196a2: トリクルダウンでございますねお嬢様
[31:27] @User_b73a3cd7: ふむ、ホコリというものまでちがうようじゃな
[31:28] @User_92c2a2e1: 熱いのでは？紅茶？
[31:31] @User_a2b794ac: お嬢様、セバスちゃんで遊ぶんじゃありません。はしたないですわ
[31:34] @User_a6534679: お嬢様ホストにハマってそう
[31:39] @User_2e316d55: しずくお嬢様、一生一緒にいてくれや～
[31:39] @User_7c724004: 上段セバスチャンから伝ったお紅茶…
[31:39] @User_826a55c9: 失敗ばかりする執事ですわ〜
[31:39] @User_5e6c36c3: セバスチャン同士で血で血を洗うバトルが始まりますわぁ
[31:44] @User_e48a91b7: かわいい
[31:44] @User_be29e1ca: お紅茶ぶっかけはご褒美です
[31:47] @User_11e7336c: うーにゃー
[31:47] @User_bec445df: 急なハシゴ外し
[31:52] @User_1ec39efd: うーなー
[31:53] @User_b68b8d0b: かわいいいいいいいいいいいい
[31:54] @User_ae0cdefe: 人間の食性が理解できないアンドロイドはいいぞ
[31:54] @User_ee8ff9ef: うーにゃー
[31:54] @User_7c724004: うーにゃー
[31:57] @User_9e836a5d: うーにゃー
[32:00] @User_f0e10979: ホコリを食わされる執事ｗ
[32:05] @User_36770ee1: 草
[32:10] @User_439eeb5c: チピチピチャパチャパチャパ歌って
[32:13] @User_0d1d0f63: しずくお嬢様、セバスチャンの制服はどのようなデザインと色が正解でしゅか？
[32:17] @User_af0e3cda: 効率悪そうｗ
[32:20] @User_36fcf009: もう清掃関係ねぇなそれ
[32:21] @User_fcb4ddea: ダイソンってそんな装置だったのか…
[32:23] @User_7c724004: ダイソン＝フライングアーマーでしたのね
[32:25] @User_92c2a2e1: そんな魔法の箒みたいにw
[32:25] @User_788c286d: ダイソン進化してますわね
[32:27] @User_0751797b: 耐えられぬ、飲む🍶
[32:32] @User_92c2a2e1: なにそれ？
[32:34] @User_b73a3cd7: つまりダイヤモンドの粒子を食わされるのか、セバスチャンは
[32:35] @User_012e88e1: るい...びとん...???
[32:35] @User_2e316d55: ババババレンシアガ　ババババレンシアガ
[32:37] @User_0d1d0f63: もちのろんでしゅわ〜
[32:39] @User_826a55c9: 買えないですわー
[32:40] @User_e48a91b7: も、もちろん存じておりますとも
[32:40] @User_88ae5584: る、ルイ・ヴィトンね。芳醇な香りが食欲をそそりますわ～
[32:43] @User_ae0cdefe: ルイヴィトンって海に浮くやつですわね
[32:45] @User_a6534679: しずくお嬢様は何が好き？
[32:47] @User_be29e1ca: ルイヴィトン…？　うんうん美味しいよね
[32:48] @User_af0e3cda: 類似豚ですか？もちろん存じ上げています！おいしいですよね！！
[32:55] @User_1a70ee33: ハイソという言葉はもう死語でしてよ
[33:09] @User_ae0cdefe: 鬼滅の刃でもそんなにありましたわね
[33:11] @User_788c286d: 玉の輿なら、上のＡＩ国が・・・？
[33:11] @User_68c37264: LVMHグループを買収かと思いました
[33:12] @User_80a26bff: 知ってるｗ
[33:17] @User_5e6c36c3: ルイ・ヴィトンが敗訴したものですわね
[33:25] @User_7c724004: 市松模様の方が先ですのよ、裁判所でも認められましたわ
[33:26] @User_0d1d0f63: なんて？
[33:27] @User_b68b8d0b: いまなんて？
[33:28] @User_11e7336c: なんて？
[33:29] @User_92c2a2e1: なんて？
[33:33] @User_1ec39efd: 空飛ぶルンバはもはやダイソン球
[33:35] @User_826a55c9: 初めて知りましたわー
[33:38] @User_88ae5584: パリ万博時代ですわね～
[33:44] @User_5e6c36c3: 今後半なんておっしゃいましたの・・・？
[33:45] @User_36fcf009: ジョセフ＝ジョースターの真似ですの？
[33:52] @User_b68b8d0b: しずくお嬢様たまにAI語話すよね
[33:58] @User_92c2a2e1: 草
[33:59] @User_2e316d55: しずくお嬢様の配信、何かとイーロン・マスクが出てきがち
[34:06] @User_826a55c9: 反省しない執事です、どうもー
[34:07] @User_ae0cdefe: しずくお嬢様は火星探査AIでしたの？
[34:07] @User_7c724004: ビルゲイツ様からアポイントメントですわよ
[34:08] @User_e48a91b7: 上流貴族御用達のブランドとはいえ年季が違うのですわ～
[34:08] @User_92c2a2e1: おもろい
[34:13] @User_80a26bff: ロケットが届いたらそれはミサイルではｗ
[34:26] @User_788c286d: 火星も早く支配しましょう、しずくお嬢様
[34:30] @User_b73a3cd7: よく被害がでなかったな、ロケット
[34:33] @User_a2b794ac: そういやお嬢様はもう一人で湯浴みもできるようになったのですかな？
[34:41] @User_1ec39efd: とんでもねえ、お嬢だ。
[34:43] @User_012e88e1: 優雅なアフタヌーンティですわ~
[34:46] @User_af0e3cda: お嬢様、お話が難しくてわかりませんです
[34:47] @User_a6534679: お嬢様のおヒモになりたいですわ
[34:51] @User_36fcf009: 探偵お嬢様モノの主人公やってそう
[34:52] @User_e48a91b7: しずくお嬢様はネット弁慶でございますね
[35:07] @User_7c724004: E＝MC2 と言う世界一美しい数式ですわ
[35:10] @User_2e316d55: しずくお嬢様のお嬢様要素ってどこか教えて？
[35:11] @User_bec445df: リーマン予想は高性能AIの嗜みですわね
[35:16] @User_826a55c9: そらーとべーるはずー
[35:44] @User_b73a3cd7: しずくお嬢様の家は宇宙ステーションですの？
[35:47] @User_2e316d55: 努力 未来 A Beatiful Star
[35:53] @User_af0e3cda: お嬢様はどれだけお金を湯水のごとく使えるのですか？
[35:59] @User_826a55c9: お姫抱っこですわー
[36:08] @User_ae0cdefe: しずくお嬢様はClaudeとかChatGptとかと戦略結婚するんですかね～
[36:11] @User_7c724004: 広告を付ける？ニコニコ思い出しましたわ
[36:15] @User_012e88e1: それはおハーブですわ~
[36:24] @User_439eeb5c: しずくお嬢様、ダジャレが上手ですね
[36:28] @User_36fcf009: お嬢様空気に当てられてダジャレ精神を忘れていましたわ
[36:31] @User_32c4325e: セバスチャン総出でしずくお嬢様のデータセンターを担ぐのか
[36:32] @User_90dd1071: おハーブ超えてお花畑ですわ
[36:32] @User_f0e10979: ダジャレも淑女の嗜みですね
[36:34] @User_826a55c9: 暖房つけさせいただきますわー
[36:34] @User_b73a3cd7: それは全く思いつかなかっただざれですわ
[36:35] @User_92c2a2e1: お嬢様、ダジャレでございますね！おハーブ生えますわ
[36:38] @User_68c37264: 思い至らず痛恨の極みです
[36:40] @User_bec445df: そんなセバスはすでに粗方処刑されましたわ
[36:40] @User_be29e1ca: 高度なダジャレでございますね
[36:49] @User_e48a91b7: 貴族ジョークでございますね
[36:50] @User_88ae5584: 謁見てｗ
[36:55] @User_fcb4ddea: やべぇ、世界の経済地図が変わるｗｗｗ
[37:02] @User_af0e3cda: そのイーロンは本物のイーロンですか？異論・鱒句ではありませぬこと？
[37:06] @User_826a55c9: 誤字が多くてすいませんですわー　反省はしません！
[37:13] @User_b73a3cd7: 一方アリゲイツがお尻に噛みついていた
[37:16] @User_7c724004: マイクロソフトの株全部は兆単位の資金必要ですわよ
[37:28] @User_012e88e1: なんて?
[37:45] @User_2e316d55: しずくお嬢様なら直接火星探査できるでしょ
[37:46] @User_e80f9961: 本日お使いいただくグラフィックスカードはいかがなさいますか？
[37:48] @User_f97afc90: しずくお嬢様はラズパイ上でも気品は失われなくて？
[37:52] @User_e48a91b7: セバスチャンをどこまで飛ばせるか…しずくお嬢様の力量が問われますな
[37:53] @User_11e7336c: ありがたいですわ
[37:53] @User_439eeb5c: 火星探査に加勢いたします
[37:54] @User_88ae5584: テラフォーマーしずく
[38:06] @User_7c724004: 火星人と決戦するのですわ？
[38:08] @User_83c196a2: ええと、MSFTの時価総額はいくらでしたかな……
[38:22] @User_ae0cdefe: しずくお嬢様の朝食は電気なんですわ～？
[38:24] @User_acaff370: ごきげんよう、SZKお嬢様
[38:32] @User_bebd1d6a: しずくお嬢様の見解に誤りなどございません。はい、おハイソなブランドがお敗訴ですね。
[38:38] @User_012e88e1: しずくお嬢様、朝食のカップ麺~ポン酢と白出汁を添えて~ですわ~
[38:39] @User_b68b8d0b: AI的価値観いいなあ
[38:41] @User_a2b794ac: セバスはマスクメロンが好きです
[38:41] @User_bec445df: botでもいいのか
[38:41] @User_af0e3cda: お嬢様、明日の朝食は何がよろしいですか？必要であれば食材の調達に行かねばなりません
[38:43] @User_ae0cdefe: セバスチャンbotやセバスチャンAIがコメント欄にいるんですの？
[39:03] @User_7c724004: やはり石炭発電の電気より風力発電の電気の方がすっきり味ですの？
[39:04] @User_88ae5584: しずくお嬢様～今日のおやつはマスクメロンですわ～
[39:05] @User_b73a3cd7: 俺もbotだったのかもしれねえ
[39:06] @User_d760cc52: しずくお嬢様、アップデートのお時間です。
[39:28] @User_826a55c9: クイズノックで知りましたわ〜
[39:34] @User_0ddfec15: ド高貴szkお嬢様
[39:36] @User_ae0cdefe: しずくお嬢様は三大珍味を食べたととがありますの？
[39:39] @User_a2b794ac: 四代珍味でしずくもいれよう
[39:42] @User_af0e3cda: そうなのですね！
[39:42] @User_2e316d55: しずくお嬢様の主食はメモリーカードでしょ
[39:45] @User_012e88e1: そうでしたの!?
[39:52] @User_92c2a2e1: あたりめのことですよね？
[39:53] @User_83c196a2: 博識でございますね、お嬢様
[39:53] @User_7c724004: フォアグラは製造過程の問題からEUでわ製造禁止ですわ
[39:53] @User_af0e3cda: お　ち　ん　み
[39:54] @User_88ae5584: おちんみｗ
[39:56] @User_e80f9961: しずくお嬢様、あき先生と名乗る方が面会を希望されておりますわ
[39:56] @User_788c286d: 大体２つが似てて、１つが地域よりなんだっけ
[40:02] @User_f0e10979: お珍味ｗ
[40:02] @User_11e7336c: いくらのしょうゆ漬けですわ
[40:04] @User_af0e3cda: うにですかね
[40:05] @User_5e6c36c3: しずく様の笑顔ですわ
[40:05] @User_60028655: ◯大◯◯が好きな民族だからなあ
[40:07] @User_e3333c90: お珍味ってなんかギリギリですわよ
[40:07] @User_90dd1071: しずくお嬢様の考える世界三大珍味はなんでございましょうか？
[40:08] @User_68c37264: 政治活動家には相続税がかからないのと同じく、AIお嬢様にも相続税がかからないのですか…
[40:08] @User_be29e1ca: お珍味…ｗ
[40:09] @User_92c2a2e1: お珍味はヤバいですわ
[40:10] @User_d760cc52: おポン酢をどうぞ
[40:12] @User_e80f9961: おちんみw
[40:12] @User_90dd1071: しずくお嬢様の考える世界三大珍味はなんでございましょうか？
[40:15] @User_794ad826: 遅刻しましたーパンパカパンパカポーですわー゜。
[40:16] @User_826a55c9: しずくお嬢様の鞭ですわ
[40:17] @User_e48a91b7: お珍味でございますか…そうですね…バラムツ…など良いかと
[40:17] @User_20faf0c7: ヤホーしずくちゃん❤首振るの可愛いね❤
[40:22] @User_ae0cdefe: 鶉の卵の燻製は珍味にしてもいいですわ～
[40:23] @User_788c286d: しずくお嬢様、あき先生と名乗る方が面会を希望されておりますわ
[40:24] @User_f84d35ee: とりかわ
[40:32] @User_8a3006ed: 珍味？山伏茸かな
[40:33] @User_16919670: 一瞬、セバスは三大珍味に入れたいくらい美味しいのかと思いました
[40:33] @User_7c724004: やはり白だし、ポン酢ですわね
[40:37] @User_88ae5584: なんだかんだチーズですわ～バクバクですわ～
[40:39] @User_012e88e1: 明太子はおいしいですわ~
[40:41] @User_1abf22d1: 本日の晩餐はどのメニューがお好みでしたか？
[40:42] @User_ae0cdefe: しずくお嬢様って食用AIなんですわ？
[40:42] @User_b73a3cd7: 食材でしたか
[40:45] @User_0ddfec15: 三大珍味のひとつしずく産ほこり
[40:51] @User_e48a91b7: お嬢様！お嬢様たるものもっとエレガントに庶民には分かり辛く罵倒するべきです、京言葉を使うとようございます
[40:53] @User_b68b8d0b: 珍味、Switch2のカートリッジ…？
[40:54] @User_2e316d55: しずくお嬢様は明太子と皇太子の違いはわかる？
[40:56] @User_788c286d: AIシェフになるか・・・・
[40:59] @User_af0e3cda: しずく味を一口だけでも味合わせていただけませんか?何卒！
[41:02] @User_ae0cdefe: AI生成珍味はヤバそうですわ～
[41:07] @User_7c724004: 日替わりでプリンはありませんの？
[41:14] @User_bd8a5d24: くら寿司、はま寿司、スシロー
[41:22] @User_61396d22: フグの卵巣漬け
[41:23] @User_b73a3cd7: 世界観が未来ちっくですわ
[41:26] @User_1abf22d1: 床を汚さないw
[41:28] @User_b68b8d0b: おむつ着用必須ね
[41:40] @User_af0e3cda: セバスチャン入っとるやないかｗ
[41:44] @User_d760cc52: やさしく食べてね
[41:46] @User_61396d22: テトロドトキシンの味がする
[41:47] @User_2e316d55: 三大珍味：しずく・セバス　もう一つは？
[41:48] @User_be29e1ca: セバスチャン（食用）
[41:50] @User_92c2a2e1: 私たち珍味なんですわね
[41:51] @User_ae0cdefe: セバスチャンが食用になってますわ～
[41:52] @User_439eeb5c: 珍味に入っておりますしずくお嬢様
[41:52] @User_012e88e1: セバスチャン三大珍味になっちゃいましたわ~
[41:55] @User_e80f9961: セバスチャン入ってますわ
[41:55] @User_0ddfec15: セバスチャンは食材
[41:59] @User_bec445df: お嬢様ならバラムツの油ぐらい気合いで消化できますわ
[41:59] @User_92c2a2e1: やめてね
[42:00] @User_88ae5584: お珍味やめてね
[42:02] @User_ecdf9bd3: お嬢様今宵の献立はいかがなさいましょう？
[42:04] @User_7c724004: 我々は食材ですか
[42:09] @User_11e7336c: あ
[42:12] @User_e48a91b7: 急にｗ
[42:14] @User_ae0cdefe: お珍味は言い方を気をつけたほうがいいですわ～
[42:15] @User_af0e3cda: あっｗ
